Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.865,1.895,1.845,1.86,1.8001,293341
2025-07-23,1.86,1.86,1.81,1.81,1.7517,282543
2025-07-24,1.81,1.84,1.8,1.84,1.7808,235252
2025-07-25,1.83,1.84,1.78,1.78,1.7227,330074
2025-07-28,1.78,1.78,1.715,1.755,1.6985,1341656
2025-07-29,1.755,1.795,1.74,1.76,1.7033,416886
2025-07-30,1.76,1.795,1.75,1.765,1.7082,309973
2025-07-31,1.77,1.79,1.745,1.775,1.7178,468145
2025-08-01,1.78,1.78,1.76,1.77,1.713,277916
2025-08-04,1.765,1.775,1.75,1.76,1.7033,152996
2025-08-05,1.77,1.77,1.74,1.76,1.7033,503650
2025-08-06,1.77,1.825,1.755,1.82,1.7614,555865
2025-08-07,1.84,1.925,1.84,1.855,1.7953,1535468
2025-08-08,1.9,1.96,1.8475,1.88,1.8195,2374663
2025-08-11,1.9,1.9175,1.8375,1.85,1.7904,665189
2025-08-12,1.91,2.03,1.9,1.995,1.9308,2217947
2025-08-13,2,2.03,1.98,2.03,1.9646,1532296
2025-08-14,2,2.05,1.97,1.99,1.9259,1154763
2025-08-15,1.99,1.99,1.93,1.94,1.8775,713505
2025-08-18,1.945,1.98,1.93,1.935,1.8727,530805
2025-08-19,1.98,2.01,1.945,1.995,1.9308,958143
2025-08-20,2.1,2.12,1.9,1.98,1.9162,1857453
2025-08-21,2.03,2.05,1.845,1.87,1.8098,1814058
2025-08-22,1.89,1.91,1.825,1.86,1.8001,907201
2025-08-25,1.885,1.95,1.88,1.915,1.8533,757540
2025-08-26,1.945,1.945,1.895,1.915,1.8533,1216808
2025-08-27,1.96,1.99,1.895,1.93,1.8679,986493
2025-08-28,1.94,1.94,1.895,1.93,1.8679,1528729
2025-08-29,1.94,1.96,1.915,1.96,1.8969,1533890
2025-09-01,1.97,2.03,1.925,1.925,1.863,1229795
2025-09-02,1.925,1.94,1.9,1.925,1.863,481262
2025-09-03,1.91,1.935,1.895,1.91,1.8485,1339310
2025-09-04,1.915,1.955,1.87,1.9,1.8388,814522
2025-09-05,1.905,1.965,1.9,1.95,1.8872,1003190
2025-09-08,1.98,1.98,1.915,1.95,1.8872,566675
2025-09-09,1.95,1.95,1.91,1.925,1.863,526466
2025-09-10,1.91,1.965,1.91,1.915,1.8533,606693
2025-09-11,1.92,1.955,1.915,1.945,1.8824,336148
2025-09-12,1.945,2,1.945,1.96,1.8969,478335
2025-09-15,1.97,2.05,1.94,2.03,1.9646,770518
2025-09-16,2.03,2.05,2,2.04,1.9743,609681
2025-09-17,2.04,2.08,2.02,2.08,2.013,858364
2025-09-18,2.05,2.08,2.03,2.06,1.9937,457326
2025-09-19,2.07,2.1,2.04,2.09,2.0227,733188
2025-09-22,2.11,2.13,2.04,2.11,2.0421,982768
2025-09-23,2.05,2.08,2.02,2.05,2.0321,648681
2025-09-24,2.08,2.08,2.01,2.04,2.0222,408970
2025-09-25,2.04,2.06,2.01,2.03,2.0123,441026
2025-09-26,2.05,2.05,2,2.01,1.9925,322007
2025-09-29,2.01,2.06,2.01,2.03,2.0123,389407
2025-09-30,2.07,2.07,1.99,2.04,2.0222,602236
2025-10-01,2.04,2.12,2.02,2.12,2.1015,1086277
2025-10-02,2.14,2.155,2.07,2.09,2.0718,721153
2025-10-03,2.11,2.13,2.08,2.1,2.0817,477332
2025-10-06,2.12,2.14,2.04,2.08,2.0619,726864
2025-10-07,2.08,2.1,2.07,2.09,2.0718,1068090
2025-10-08,2.1,2.15,2.08,2.15,2.1313,295376
2025-10-09,2.15,2.23,2.15,2.2,2.1808,2426052
2025-10-10,2.23,2.28,2.2,2.24,2.2205,644716
2025-10-13,2.23,2.23,2.18,2.2,2.1808,857582
2025-10-14,2.22,2.29,2.205,2.26,2.2403,826014
2025-10-15,2.29,2.29,2.25,2.28,2.2601,984963
2025-10-16,2.28,2.3,2.27,2.28,2.2601,684768
2025-10-17,2.28,2.31,2.24,2.28,2.2601,484234
2025-10-20,2.29,2.37,2.27,2.35,2.3295,1485165
2025-10-21,2.38,2.43,2.36,2.39,2.3692,797841
2025-10-22,2.39,2.39,2.3,2.34,2.3196,705109
2025-10-23,2.34,2.34,2.28,2.31,2.2899,412449
2025-10-24,2.31,2.36,2.27,2.33,2.3097,445746
2025-10-27,2.37,2.4,2.3,2.3,2.28,274914
2025-10-28,2.32,2.34,2.25,2.27,2.2502,315845
2025-10-29,2.3,2.305,2.27,2.28,2.2601,313949
2025-10-30,2.29,2.39,2.26,2.37,2.3494,1988854
2025-10-31,2.4,2.47,2.36,2.46,2.4386,3375387
2025-11-03,2.47,2.59,2.38,2.39,2.3692,595915
2025-11-04,2.43,2.43,2.33,2.35,2.3295,250592
2025-11-05,2.35,2.42,2.25,2.39,2.3692,1550795
2025-11-06,2.4,2.4,2.29,2.29,2.2701,365055
2025-11-07,2.29,2.32,2.26,2.26,2.2403,1368215
2025-11-10,2.27,2.31,2.26,2.29,2.2701,596695
2025-11-11,2.31,2.37,2.28,2.29,2.2701,323491
2025-11-12,2.3,2.32,2.27,2.29,2.2701,411378
2025-11-13,2.35,2.37,2.27,2.3,2.28,519168
2025-11-14,2.3,2.3,2.2,2.24,2.2205,603978
2025-11-17,2.24,2.31,2.21,2.29,2.2701,559848
2025-11-18,2.29,2.295,2.23,2.24,2.2205,794085
2025-11-19,2.22,2.22,2.17,2.19,2.1709,558654
2025-11-20,2.18,2.29,2.18,2.24,2.2205,326665
2025-11-21,2.23,2.24,2.18,2.2,2.1808,546367
2025-11-24,2.16,2.28,2.16,2.25,2.2304,407527
2025-11-25,2.25,2.31,2.25,2.3,2.28,907982
2025-11-26,2.34,2.37,2.28,2.31,2.2899,684569
2025-11-27,2.31,2.39,2.31,2.36,2.3394,2174544
2025-11-28,2.37,2.41,2.35,2.39,2.3692,303204
2025-12-01,2.39,2.39,2.39,2.39,2.3692,0
2025-12-02,2.08,2.23,1.99,2.23,2.2106,3782054
2025-12-03,2.32,2.39,2.27,2.31,2.2899,1639668
2025-12-04,2.34,2.35,2.29,2.34,2.3196,5003649
2025-12-05,2.33,2.38,2.33,2.36,2.3394,870172
2025-12-08,2.36,2.38,2.33,2.35,2.3295,538317
2025-12-09,2.37,2.42,2.34,2.4,2.3791,566103
2025-12-10,2.39,2.39,2.34,2.36,2.3394,298004
2025-12-11,2.33,2.35,2.29,2.33,2.3097,368696
2025-12-12,2.36,2.43,2.335,2.4,2.3791,455095
2025-12-15,2.38,2.41,2.35,2.4,2.3791,318272
2025-12-16,2.45,2.48,2.43,2.46,2.4386,602830
2025-12-17,2.46,2.5,2.44,2.45,2.4287,668502
2025-12-18,2.47,2.47,2.37,2.41,2.389,564184
2025-12-19,2.49,2.515,2.43,2.49,2.4683,636259
2025-12-22,2.5,2.53,2.47,2.52,2.498,2577390
2025-12-23,2.52,2.52,2.48,2.49,2.4683,292640
2025-12-24,2.5,2.52,2.47,2.52,2.498,116786
2025-12-29,2.52,2.52,2.43,2.46,2.4386,301032
2025-12-30,2.44,2.51,2.44,2.5,2.4782,370021
2025-12-31,2.5,2.51,2.47,2.5,2.4782,180497
2026-01-02,2.51,2.52,2.48,2.48,2.4584,350603
2026-01-05,2.48,2.5,2.46,2.47,2.4485,175873
2026-01-06,2.5,2.5,2.45,2.45,2.4287,206062
2026-01-07,2.46,2.48,2.41,2.41,2.389,681476
2026-01-08,2.4,2.42,2.39,2.39,2.3692,204183
2026-01-09,2.39,2.42,2.38,2.4,2.3791,410721
2026-01-12,2.43,2.48,2.41,2.43,2.4088,551217
2026-01-13,2.46,2.51,2.44,2.47,2.4485,830141
2026-01-14,2.47,2.53,2.43,2.52,2.498,283974
2026-01-15,2.53,2.54,2.49,2.53,2.508,161958
2026-01-16,2.53,2.59,2.52,2.56,2.5377,317449
2026-01-19,2.59,2.62,2.54,2.55,2.5278,909856
2026-01-20,2.55,2.55,2.46,2.47,2.4485,351873
2026-01-21,2.46,2.49,2.43,2.49,2.4683,2060403
2026-01-22,2.48,2.54,2.48,2.51,2.4881,261010
2026-01-23,2.51,2.52,2.42,2.44,2.4187,311426
2026-01-27,2.46,2.5,2.455,2.48,2.4584,276219
2026-01-28,2.49,2.55,2.43,2.46,2.4386,495217
2026-01-29,2.46,2.55,2.43,2.54,2.5179,476433
2026-01-30,2.54,2.55,2.47,2.55,2.5278,342043
2026-02-02,2.55,2.59,2.51,2.57,2.5476,470692
2026-02-03,2.58,2.6,2.52,2.59,2.5674,527523
2026-02-04,2.6,2.62,2.52,2.59,2.5674,808822
2026-02-05,2.58,2.73,2.56,2.69,2.6666,3499067
2026-02-06,2.72,2.72,2.55,2.62,2.5972,1371918
2026-02-09,2.69,2.7,2.63,2.7,2.6765,386908
2026-02-10,2.72,2.77,2.69,2.75,2.726,1166010
2026-02-11,2.77,2.84,2.685,2.83,2.8053,2217970
2026-02-12,2.87,2.87,2.79,2.81,2.7855,738698
2026-02-13,2.8,2.87,2.74,2.84,2.8153,828800
2026-02-16,2.98,3,2.84,2.91,2.8847,2672369
2026-02-17,2.9,2.93,2.85,2.86,2.8351,751805
2026-02-18,2.88,3.32,2.87,3.28,3.2514,3599691
2026-02-19,3.31,3.54,3.27,3.45,3.4199,4036227
2026-02-20,3.45,3.48,3.36,3.4,3.3704,2884403
2026-02-23,3.43,3.5,3.37,3.41,3.3803,2018638
2026-02-24,3.31,3.375,3.24,3.27,3.2415,1832742
2026-02-25,3.27,3.27,3.08,3.12,3.0928,1631437
2026-02-26,3.08,3.16,3.08,3.11,3.0829,657154
2026-02-27,3.11,3.11,2.96,2.99,2.964,1096992
2026-03-02,2.93,3.04,2.93,3.01,2.9838,1005666
2026-03-03,2.95,2.99,2.89,2.93,2.9045,1092041
2026-03-04,2.86,2.87,2.74,2.78,2.7558,1301583
