Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.79,0.79,0.78,0.785,0.7661,2041644
2025-07-23,0.785,0.79,0.78,0.78,0.7612,3810663
2025-07-24,0.785,0.79,0.77,0.77,0.7515,4034341
2025-07-25,0.77,0.772,0.76,0.77,0.7515,2392585
2025-07-28,0.77,0.77,0.75,0.765,0.7466,5300244
2025-07-29,0.76,0.78,0.755,0.775,0.7563,2913206
2025-07-30,0.775,0.79,0.77,0.79,0.771,3619601
2025-07-31,0.775,0.78,0.757,0.775,0.7563,3527203
2025-08-01,0.765,0.765,0.74,0.745,0.7271,2479233
2025-08-04,0.74,0.745,0.73,0.735,0.7173,2994038
2025-08-05,0.74,0.76,0.73,0.75,0.7319,3830556
2025-08-06,0.74,0.76,0.73,0.74,0.7222,3853920
2025-08-07,0.74,0.75,0.732,0.74,0.7222,6876985
2025-08-08,0.74,0.745,0.725,0.725,0.7075,2379616
2025-08-11,0.725,0.725,0.715,0.725,0.7075,3291593
2025-08-12,0.72,0.725,0.715,0.72,0.7027,3575534
2025-08-13,0.725,0.725,0.715,0.715,0.6978,3691439
2025-08-14,0.72,0.72,0.7,0.705,0.688,5245713
2025-08-15,0.71,0.72,0.7,0.715,0.6978,9414243
2025-08-18,0.7,0.715,0.695,0.705,0.688,4193860
2025-08-19,0.7,0.715,0.697,0.71,0.6929,4638651
2025-08-20,0.715,0.72,0.7,0.72,0.7027,3803906
2025-08-21,0.72,0.73,0.71,0.715,0.6978,8752137
2025-08-22,0.71,0.715,0.69,0.7,0.6831,5038060
2025-08-25,0.71,0.735,0.705,0.725,0.7075,3974161
2025-08-26,0.735,0.735,0.695,0.71,0.6929,7735881
2025-08-27,0.85,0.94,0.81,0.88,0.8588,24497301
2025-08-28,0.91,0.98,0.905,0.965,0.9418,25686770
2025-08-29,0.965,0.98,0.955,0.98,0.9564,11866970
2025-09-01,0.98,0.99,0.97,0.97,0.9564,9314026
2025-09-02,0.96,1.01,0.96,1.01,0.9958,12153610
2025-09-03,1.015,1.045,1,1.04,1.0254,12068760
2025-09-04,1.035,1.05,0.99,1.015,1.0008,10613090
2025-09-05,1.03,1.04,0.99,1.025,1.0106,7590128
2025-09-08,1.02,1.02,0.995,1,0.986,5763923
2025-09-09,1,1.035,0.995,1.035,1.0205,9397796
2025-09-10,1.03,1.035,1.01,1.02,1.0057,15928450
2025-09-11,1.03,1.035,1.01,1.02,1.0057,3475991
2025-09-12,1.02,1.025,1.005,1.015,1.0008,5791380
2025-09-15,1.01,1.02,0.995,1.015,1.0008,8028287
2025-09-16,1.02,1.035,1.01,1.025,1.0106,5959072
2025-09-17,1.01,1.025,0.995,1,0.986,4012868
2025-09-18,1,1,0.97,0.98,0.9663,5631623
2025-09-19,0.98,0.995,0.955,0.975,0.9613,19847900
2025-09-22,0.975,0.995,0.975,0.985,0.9712,3119572
2025-09-23,0.985,1,0.975,0.99,0.9761,4377760
2025-09-24,0.97,0.995,0.97,0.99,0.9761,2296474
2025-09-25,0.97,0.995,0.97,0.975,0.9613,6635125
2025-09-26,0.98,1.02,0.977,1.02,1.0057,3868407
2025-09-29,1.02,1.035,1,1.01,0.9958,2590632
