Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.5,3.5,3.42,3.45,3.3149,271480
2025-07-23,3.46,3.46,3.31,3.34,3.2092,431020
2025-07-24,3.39,3.45,3.345,3.39,3.2572,855221
2025-07-25,3.39,3.4,3.33,3.34,3.2092,148633
2025-07-28,3.34,3.475,3.31,3.42,3.2861,428688
2025-07-29,3.48,3.61,3.4,3.57,3.4302,570963
2025-07-30,3.6,3.77,3.6,3.7,3.5551,605783
2025-07-31,3.7,3.73,3.66,3.68,3.5359,576221
2025-08-01,3.69,3.82,3.63,3.78,3.632,469959
2025-08-04,3.81,3.89,3.75,3.83,3.68,577165
2025-08-05,3.95,3.99,3.88,3.98,3.8241,356817
2025-08-06,4.04,4.15,4.02,4.09,3.9298,466018
2025-08-07,4.11,4.15,4,4.03,3.8722,450120
2025-08-08,4.1,4.2,4.06,4.16,3.9971,433145
2025-08-11,4.17,4.22,4,4.1,3.9394,364751
2025-08-12,4.15,4.28,4.1,4.21,4.0451,663338
2025-08-13,4.23,4.28,4.15,4.2,4.0355,340495
2025-08-14,4.21,4.275,4.15,4.27,4.1028,429520
2025-08-15,4.3,4.32,4.16,4.21,4.0451,377725
2025-08-18,4.24,4.3,4.14,4.15,3.9875,374861
2025-08-19,4.18,4.18,4.04,4.12,3.9586,475125
2025-08-20,4.1,4.16,4.06,4.07,3.9106,226500
2025-08-21,4.09,4.22,4.05,4.21,4.0451,247510
2025-08-22,4.21,4.28,4.14,4.24,4.0739,181693
2025-08-25,4.3,4.6,4.28,4.34,4.17,793838
2025-08-26,4.36,4.48,4.08,4.14,3.9779,533378
2025-08-27,4.2,4.3,4.06,4.1,3.9394,362202
2025-08-28,4.1,4.2,3.95,3.99,3.8337,347419
2025-08-29,4.01,4.12,4.01,4.06,3.901,204688
2025-09-01,4.1,4.22,4.05,4.1,3.9394,184356
2025-09-02,4.19,4.19,4.05,4.1,3.9394,287628
2025-09-03,4.15,4.34,3.98,4.31,4.1412,933073
2025-09-04,4.35,4.58,4.33,4.43,4.2565,544757
2025-09-05,4.47,4.6,4.46,4.46,4.2853,113926
2025-09-08,4.47,4.675,4.4,4.67,4.4871,884394
2025-09-09,4.71,4.88,4.31,4.35,4.1796,1204591
2025-09-10,4.5,4.59,4.34,4.41,4.2373,633012
2025-09-11,4.5,4.58,4.44,4.55,4.3718,562655
2025-09-12,4.58,4.67,4.53,4.59,4.4102,506405
2025-09-15,4.62,4.75,4.57,4.74,4.5544,543703
2025-09-16,4.77,4.86,4.66,4.85,4.6601,584327
2025-09-17,4.81,4.85,4.71,4.73,4.5448,390666
2025-09-18,4.73,4.82,4.67,4.69,4.5063,357743
2025-09-19,4.71,4.78,4.67,4.75,4.564,316498
2025-09-22,4.77,4.79,4.61,4.72,4.5351,288408
2025-09-23,4.75,4.79,4.66,4.78,4.5928,255179
2025-09-24,4.7,4.79,4.63,4.76,4.5736,359346
2025-09-25,4.79,4.79,4.61,4.68,4.4967,372680
2025-09-26,4.67,4.67,4.48,4.54,4.3622,258918
2025-09-29,4.52,4.6,4.51,4.59,4.4102,213822
2025-09-30,4.58,4.58,4.38,4.53,4.4102,254197
2025-10-01,4.5,4.6,4.47,4.6,4.4784,210872
2025-10-02,4.6,4.73,4.52,4.72,4.5952,508713
2025-10-03,4.7,4.725,4.54,4.72,4.5952,615227
2025-10-06,4.72,4.75,4.53,4.73,4.605,436372
2025-10-07,4.75,4.88,4.64,4.65,4.5271,328659
2025-10-08,4.7,4.76,4.65,4.75,4.6244,339374
2025-10-09,4.75,4.77,4.62,4.72,4.5952,420584
2025-10-10,4.7,4.75,4.58,4.7,4.5757,583430
2025-10-13,4.62,4.63,4.45,4.45,4.3324,546419
2025-10-14,4.47,4.74,4.47,4.73,4.605,427993
2025-10-15,4.73,4.76,4.72,4.73,4.605,327175
2025-10-16,4.76,4.88,4.7,4.7,4.5757,1451210
2025-10-17,4.79,4.88,4.4,4.6,4.4784,725627
2025-10-20,4.65,4.69,4.51,4.69,4.566,300882
2025-10-21,4.7,4.78,4.68,4.68,4.5563,206495
2025-10-22,4.68,4.83,4.61,4.83,4.7023,323414
2025-10-23,4.85,5,4.8,4.98,4.8483,524973
2025-10-24,4.95,4.99,4.8,4.96,4.8289,355534
2025-10-27,5,5.15,4.94,5.13,4.9944,514726
2025-10-28,5.12,5.15,4.99,5,4.8678,1400041
2025-10-29,5,5.14,4.93,4.93,4.7997,253845
2025-10-30,4.92,5.01,4.81,4.96,4.8289,253405
2025-10-31,5,5.08,4.93,5.06,4.9262,219440
2025-11-03,5.07,5.1,4.81,5.04,4.9068,301193
2025-11-04,5.04,5.065,4.93,5.04,4.9068,170795
2025-11-05,5,5.09,4.74,5,4.8678,591650
2025-11-06,5.04,5.09,4.93,5.03,4.897,127254
2025-11-07,4.98,5.07,4.84,4.85,4.7218,354703
2025-11-10,5.01,5.1,4.98,5.07,4.936,455573
