Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.38,5.4,5.35,5.39,5.1474,2500142
2025-07-23,5.39,5.49,5.37,5.45,5.2047,2831583
2025-07-24,5.47,5.48,5.4,5.43,5.1856,2574465
2025-07-25,5.41,5.46,5.38,5.45,5.2047,2614249
2025-07-28,5.45,5.49,5.34,5.38,5.1378,2896264
2025-07-29,5.27,5.39,5.27,5.36,5.1187,2490648
2025-07-30,5.34,5.42,5.34,5.39,5.1474,2416902
2025-07-31,5.34,5.44,5.32,5.42,5.176,2764884
2025-08-01,5.41,5.41,5.35,5.37,5.1283,2533144
2025-08-04,5.36,5.37,5.34,5.37,5.1283,1648815
2025-08-05,5.39,5.44,5.37,5.41,5.1665,1620802
2025-08-06,5.4,5.46,5.38,5.41,5.1665,3103227
2025-08-07,5.41,5.43,5.39,5.41,5.1665,2657387
2025-08-08,5.38,5.43,5.35,5.43,5.1856,2569112
2025-08-11,5.38,5.42,5.375,5.41,5.1665,1429647
2025-08-12,5.4,5.43,5.36,5.39,5.1474,3597401
2025-08-13,5.39,5.41,5.36,5.4,5.1569,1835347
2025-08-14,5.41,5.41,5.37,5.39,5.1474,1871293
2025-08-15,5.4,5.45,5.38,5.43,5.1856,2510211
2025-08-18,5.41,5.43,5.39,5.41,5.1665,2717878
2025-08-19,5.41,5.41,5.23,5.29,5.0519,4091372
2025-08-20,5.47,5.8,5.39,5.66,5.4052,7094803
2025-08-21,5.71,5.855,5.6,5.85,5.5867,17210595
2025-08-22,5.77,5.89,5.755,5.86,5.5962,6678548
2025-08-25,5.86,5.92,5.84,5.89,5.6249,4025836
2025-08-26,5.89,5.9,5.84,5.84,5.5771,6459220
2025-08-27,5.78,5.82,5.73,5.81,5.6304,3100615
2025-08-28,5.82,5.92,5.81,5.91,5.7273,3184976
2025-08-29,5.89,5.93,5.85,5.88,5.6982,2680793
2025-09-01,5.86,5.92,5.86,5.9,5.7176,2760688
2025-09-02,5.92,5.94,5.83,5.86,5.6789,3269774
2025-09-03,5.83,5.89,5.79,5.84,5.6595,5312227
2025-09-04,5.86,5.9,5.84,5.9,5.7176,3767456
2025-09-05,5.91,5.96,5.9,5.92,5.737,4308755
2025-09-08,5.9,5.935,5.85,5.9,5.7176,3670921
2025-09-09,5.86,5.94,5.8,5.92,5.737,3109444
2025-09-10,5.9,5.98,5.9,5.96,5.7758,2610511
2025-09-11,5.94,5.99,5.9,5.94,5.7564,4070138
2025-09-12,5.93,5.99,5.92,5.97,5.7855,2015940
2025-09-15,5.94,5.95,5.9,5.94,5.7564,2479875
2025-09-16,5.92,5.94,5.865,5.91,5.7273,3143005
2025-09-17,5.93,6,5.87,5.91,5.7273,3763094
2025-09-18,5.91,5.91,5.85,5.86,5.6789,3542020
2025-09-19,5.9,5.92,5.86,5.86,5.6789,9981421
2025-09-22,5.9,5.9,5.86,5.88,5.6982,1797854
2025-09-23,5.87,5.87,5.79,5.84,5.6595,2454564
2025-09-24,5.8,5.84,5.76,5.83,5.6498,3145330
2025-09-25,5.79,5.8,5.71,5.74,5.5626,5155975
2025-09-26,5.74,5.865,5.735,5.83,5.6498,3430182
2025-09-29,5.81,5.88,5.81,5.83,5.6498,2040986
2025-09-30,5.85,5.9,5.81,5.88,5.6982,4052650
2025-10-01,5.88,5.88,5.83,5.84,5.6595,2859142
2025-10-02,5.88,5.88,5.69,5.77,5.5916,4468999
2025-10-03,5.75,5.79,5.71,5.76,5.582,4034624
2025-10-06,5.78,5.78,5.71,5.75,5.5723,1532567
2025-10-07,5.72,5.74,5.63,5.64,5.4657,3381304
2025-10-08,5.63,5.64,5.55,5.61,5.4366,4058670
2025-10-09,5.64,5.65,5.59,5.6,5.4269,3967047
2025-10-10,5.58,5.62,5.56,5.59,5.4172,5480466
2025-10-13,5.65,5.65,5.54,5.59,5.4172,1642008
