Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.93,4.95,4.92,4.92,4.624,13899960
2025-07-23,4.92,4.935,4.89,4.92,4.624,22820150
2025-07-24,4.92,4.945,4.885,4.9,4.6052,27860100
2025-07-25,4.92,4.945,4.885,4.91,4.6146,13521920
2025-07-28,4.92,4.96,4.915,4.95,4.6522,12770570
2025-07-29,4.94,4.95,4.92,4.95,4.6522,11925570
2025-07-30,4.95,4.99,4.93,4.97,4.671,26859990
2025-07-31,4.97,4.98,4.95,4.97,4.671,26509260
2025-08-01,4.96,4.97,4.92,4.93,4.6334,24347170
2025-08-04,4.93,4.965,4.93,4.96,4.6616,14667170
2025-08-05,4.96,5,4.95,5,4.6991,18235670
2025-08-06,4.98,5.01,4.95,4.96,4.6616,23323770
2025-08-07,4.97,4.99,4.94,4.99,4.6897,24826381
2025-08-08,4.97,5,4.97,4.97,4.671,24116570
2025-08-11,4.96,4.99,4.95,4.98,4.6803,15211620
2025-08-12,4.98,4.99,4.96,4.98,4.6803,17591051
2025-08-13,4.99,5.01,4.96,4.98,4.6803,33189730
2025-08-14,4.92,4.92,4.81,4.85,4.5582,52990047
2025-08-15,4.84,4.88,4.81,4.88,4.5864,32025551
2025-08-18,4.87,4.93,4.86,4.93,4.6334,23311439
2025-08-19,4.94,4.95,4.92,4.94,4.6428,18004500
2025-08-20,4.96,4.98,4.94,4.98,4.6803,19570109
2025-08-21,4.99,5.02,4.96,5.02,4.7179,23616680
2025-08-22,5.02,5.065,5,5.05,4.7461,37000312
2025-08-25,5.05,5.06,5,5.01,4.7085,25058279
2025-08-26,5.01,5.02,4.97,4.98,4.6803,31901391
2025-08-27,4.89,4.915,4.86,4.89,4.6851,24039020
2025-08-28,4.89,4.9,4.86,4.9,4.6947,17613260
2025-08-29,4.9,4.91,4.88,4.89,4.6851,20041930
2025-09-01,4.89,4.99,4.89,4.98,4.7714,20008449
2025-09-02,4.98,4.985,4.9,4.91,4.7043,18288250
2025-09-03,4.88,4.9,4.84,4.84,4.6372,34178711
2025-09-04,4.84,4.85,4.81,4.82,4.6181,25025189
2025-09-05,4.87,4.87,4.81,4.83,4.6277,22889471
2025-09-08,4.83,4.85,4.81,4.85,4.6468,15239720
2025-09-09,4.84,4.84,4.8,4.81,4.6085,27691289
2025-09-10,4.81,4.89,4.8,4.89,4.6851,22070850
2025-09-11,4.87,4.955,4.87,4.94,4.733,37059832
2025-09-12,4.95,4.97,4.94,4.96,4.7522,32468420
2025-09-15,4.93,4.95,4.9,4.93,4.7235,17617000
2025-09-16,4.94,4.95,4.9,4.92,4.7139,24571449
2025-09-17,4.92,4.93,4.875,4.91,4.7043,21596010
2025-09-18,4.9,4.91,4.87,4.88,4.6756,15371470
2025-09-19,4.88,4.89,4.825,4.83,4.6277,63033609
2025-09-22,4.83,4.88,4.83,4.87,4.666,11626710
2025-09-23,4.86,4.89,4.82,4.87,4.666,20148350
2025-09-24,4.88,4.92,4.87,4.9,4.6947,19034221
2025-09-25,4.88,4.89,4.845,4.87,4.666,18933830
2025-09-26,4.85,4.865,4.81,4.85,4.6468,20876789
2025-09-29,4.84,4.93,4.84,4.89,4.6851,14712640
2025-09-30,4.9,4.92,4.815,4.82,4.6181,28199830
2025-10-01,4.84,4.87,4.82,4.85,4.6468,18956090
2025-10-02,4.87,4.88,4.825,4.88,4.6756,22057760
2025-10-03,4.87,4.89,4.84,4.85,4.6468,16953391
2025-10-06,4.86,4.88,4.845,4.86,4.6564,10006670
2025-10-07,4.84,4.85,4.815,4.83,4.6277,21191609
2025-10-08,4.81,4.83,4.775,4.78,4.5797,23111439
2025-10-09,4.8,4.85,4.795,4.82,4.6181,13106780
2025-10-10,4.81,4.85,4.8,4.85,4.6468,18242930
2025-10-13,4.83,4.85,4.81,4.83,4.6277,10791030
2025-10-14,4.82,4.825,4.74,4.8,4.5989,19935221
2025-10-15,4.82,4.84,4.81,4.82,4.6181,30409160
2025-10-16,4.85,4.875,4.82,4.84,4.6372,29963801
2025-10-17,4.83,4.87,4.83,4.85,4.6468,17575820
2025-10-20,4.86,4.89,4.85,4.88,4.6756,26575760
