Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,25,25.32,24.86,25.12,25.12,846033
2025-07-23,23.4,23.5,21,21.32,21.32,7927017
2025-07-24,21.84,21.96,20.93,20.97,20.97,4249863
2025-07-25,21.15,21.945,21,21.25,21.25,2884213
2025-07-28,21.69,21.72,20.88,21.09,21.09,1540734
2025-07-29,21.05,21.08,20.5,20.54,20.54,2129910
2025-07-30,20.54,21.055,20.41,20.68,20.68,2019138
2025-07-31,20.89,21.21,20.69,21.05,21.05,1373921
2025-08-01,20.9,21.05,19.98,20.15,20.15,4086903
2025-08-04,20.24,20.5,20.02,20.24,20.24,930396
2025-08-05,18.75,18.75,16,18.53,18.53,9589123
2025-08-06,18.74,19.35,18.13,18.58,18.58,3671299
2025-08-07,18.35,18.51,17.8,18.2,18.2,2917367
2025-08-08,18.04,18.04,17.37,17.64,17.64,3628257
2025-08-11,17.42,17.5,16.81,16.89,16.89,2956013
2025-08-12,16.76,17.135,16.515,16.68,16.68,2815379
2025-08-13,16.5,17.23,16.36,17.13,17.13,2778230
2025-08-14,17.26,17.47,16.82,17.02,17.02,1709794
2025-08-15,17.06,17.75,16.88,17.5,17.5,3350423
2025-08-18,17.9,18.28,17.65,17.74,17.74,2139303
2025-08-19,18,18.17,17.39,17.53,17.53,2243878
2025-08-20,17.47,17.54,16.78,16.92,16.92,2805271
2025-08-21,16.75,18.37,16.32,18.1,18.1,3976584
2025-08-22,18.24,18.56,18.08,18.33,18.33,3017680
2025-08-25,18.77,19.07,18.59,18.76,18.76,2638032
2025-08-26,18.32,19.03,18.185,18.93,18.93,2020430
2025-08-27,18.9,18.95,17.95,18.4,18.4,1614800
2025-08-28,14.75,15.87,13.94,14.95,14.95,10704248
2025-08-29,15,15.435,14.57,14.6,14.6,6420144
2025-09-01,14.5,14.9,14.31,14.9,14.9,2800650
2025-09-02,14.36,14.55,13.74,14.31,14.31,5454762
2025-09-03,14.31,14.57,14.08,14.15,14.15,2873803
2025-09-04,14.26,14.28,13.72,13.77,13.77,3694284
2025-09-05,13.77,14.065,13.51,13.8,13.8,3793690
2025-09-08,13.61,13.79,13.455,13.6,13.6,2628168
2025-09-09,14.77,15.04,13.82,13.82,13.82,5252207
2025-09-10,14.29,14.64,14.03,14.42,14.42,3021506
2025-09-11,14.44,14.5,13.76,13.78,13.78,2596152
2025-09-12,13.85,14.06,13.69,13.69,13.69,2228951
2025-09-15,13.58,14.06,13.3,14,14,2061948
2025-09-16,13.91,14.2,13.89,14.1,14.1,1611672
2025-09-17,13.85,13.94,13.705,13.92,13.92,1857414
2025-09-18,13.92,14.04,13.66,13.66,13.66,1751082
2025-09-19,14.12,14.99,14.1,14.53,14.53,6887113
2025-09-22,14.88,15.32,14.74,15,15,2762074
2025-09-23,16.95,18.32,15.85,16.38,16.38,7985430
2025-09-24,15.99,16.19,15.45,15.46,15.46,3827750
2025-09-25,15.33,15.42,14.97,15.38,15.38,2485114
2025-09-26,15.26,15.26,14.78,14.85,14.85,2681756
2025-09-29,15,15.24,14.95,15.06,15.06,2361746
