Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,40.11,40.41,40.07,40.29,39.7775,479246
2025-07-23,40.23,40.45,39.81,40.21,39.6986,638742
2025-07-24,40.26,40.3,39.06,39.27,38.7705,865436
2025-07-25,39.03,39.685,38.64,39.19,38.6915,565140
2025-07-28,39.73,39.86,39.04,39.65,39.1457,397458
2025-07-29,39.5,40.405,39.18,40.2,39.6887,579989
2025-07-30,40.48,40.63,40.04,40.3,39.7874,575149
2025-07-31,40.28,41.39,40.2,41.08,40.5575,747616
2025-08-01,40.93,41.12,40.19,40.19,39.6788,437047
2025-08-04,39.98,40.49,39.59,40.41,39.896,850473
2025-08-05,40.73,41.22,40.58,40.78,40.2613,930648
2025-08-06,40.75,40.93,40.24,40.93,40.4094,753590
2025-08-07,41.04,41.44,40.74,41.27,40.7451,657743
2025-08-08,41.17,41.17,40.29,40.33,39.817,615646
2025-08-11,40.33,40.72,38.97,39.18,38.6817,748972
2025-08-12,38.99,39.08,38.37,38.75,38.2571,1472529
2025-08-13,38.99,39,38.27,38.31,37.8227,804210
2025-08-14,38.37,38.7,37.86,38.24,37.7536,1065661
2025-08-15,38.24,38.705,38.085,38.39,37.9017,1308576
2025-08-18,38.27,38.77,38.08,38.73,38.2374,832521
2025-08-19,38.97,39.56,38.46,38.94,38.4447,453641
2025-08-20,39.01,39.75,38.76,38.76,38.267,721888
2025-08-21,39.29,39.45,38.675,39.2,38.7014,1034469
2025-08-22,39.75,40.5,39.455,40.19,39.6788,1298021
2025-08-25,40.49,40.67,39.85,40.28,39.7677,1008762
2025-08-26,40.28,40.58,39.77,40.43,39.9158,1090424
2025-08-27,40.72,40.77,40.17,40.19,39.6788,703824
2025-08-28,40.52,40.53,38.725,39.25,38.7508,779473
2025-08-29,39.64,40.01,39.2,39.97,39.4616,857018
2025-09-01,39.54,39.78,38.92,38.92,38.425,596667
2025-09-02,39.17,39.39,38.47,38.79,38.2966,460281
2025-09-03,37.83,38.33,37.09,37.3,36.8256,946777
2025-09-04,37.79,37.94,37.21,37.63,37.1514,821837
2025-09-05,37.8,38.24,37.155,38.14,37.6549,860703
2025-09-08,37.1,38.09,37.1,37.65,37.1711,1215802
2025-09-09,37.92,38.69,37.3,38.42,37.9313,1426754
2025-09-10,38.25,38.84,38.06,38.73,38.2374,812344
2025-09-11,37.2,38.46,37.2,37.71,37.2304,775924
2025-09-12,37.6,38.18,37.37,38.06,37.5759,863371
2025-09-15,37.92,37.92,37.21,37.53,37.0527,810812
2025-09-16,37.5,37.73,37.1,37.5,37.023,925445
2025-09-17,37.03,37.445,36.81,37.3,36.8256,937424
2025-09-18,37,37.87,36.64,37.52,37.0428,1011208
2025-09-19,38.3,38.835,37.94,38.35,37.8622,6009003
2025-09-22,37.83,38.56,37.8,38.24,37.7536,763732
2025-09-23,38.79,38.9,38.2,38.22,37.7339,686898
2025-09-24,38.2,38.89,37.87,38.67,38.1782,1321761
2025-09-25,37.69,38.67,37.5,38.55,38.0597,1247841
2025-09-26,38.38,38.59,37.18,37.91,37.4278,687059
2025-09-29,38.5,38.5,38.01,38.48,37.9906,467647
2025-09-30,38.33,38.5,38.095,38.46,37.9708,875130
2025-10-01,37.95,38.39,37.62,38.33,37.8425,606674
2025-10-02,38.65,38.84,38.24,38.4,37.9116,1135643
2025-10-03,38.54,39.32,38.14,39.23,38.731,982382
2025-10-06,39.66,39.69,38.81,38.89,38.3954,532649
2025-10-07,39.29,39.6,38.61,38.8,38.3065,1813789
2025-10-08,38.93,39.19,38.3,39.13,38.6323,629493
2025-10-09,39.44,39.55,38.36,38.85,38.3559,829127
2025-10-10,39.6,39.92,39.17,39.77,39.2642,1658445
2025-10-13,39.02,39.22,38.26,39.05,38.5533,748332
2025-10-14,39.18,39.91,38.805,39.76,39.2543,694810
