Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.52,5.52,5.43,5.47,3.7427,438868
2025-07-23,5.49,5.51,5.46,5.48,3.7496,9282617
2025-07-24,5.5,5.55,5.5,5.52,3.7769,627326
2025-07-25,5.52,5.575,5.5,5.53,3.7838,341424
2025-07-28,5.55,5.62,5.55,5.58,3.818,878854
2025-07-29,5.64,5.64,5.56,5.61,3.8385,725575
2025-07-30,5.6,5.68,5.58,5.65,3.8659,817414
2025-07-31,5.63,5.63,5.48,5.54,3.7906,1470784
2025-08-01,5.53,5.565,5.46,5.48,3.7496,809778
2025-08-04,5.48,5.545,5.45,5.52,3.7769,719710
2025-08-05,5.69,5.75,5.34,5.5,3.7632,3115339
2025-08-06,5.35,5.44,5.18,5.22,3.5717,2782811
2025-08-07,5.4,5.42,5.22,5.26,3.599,2538297
2025-08-08,5.29,5.36,5.22,5.35,3.6606,2484066
2025-08-11,5.33,5.365,5.27,5.34,3.6538,1303057
2025-08-12,5.32,5.32,5.25,5.29,3.6196,1155617
2025-08-13,5.32,5.325,5.24,5.29,3.6196,975863
2025-08-14,5.31,5.315,5.24,5.29,3.6196,713674
2025-08-15,5.31,5.33,5.29,5.31,3.6332,758344
2025-08-18,5.29,5.34,5.29,5.32,3.6401,1124382
2025-08-19,5.29,5.31,5.19,5.2,3.558,1186651
2025-08-20,5.27,5.28,5.17,5.21,3.5648,729935
2025-08-21,5.2,5.28,5.17,5.26,3.599,892963
2025-08-22,5.24,5.28,5.22,5.26,3.599,822324
2025-08-25,5.28,5.3,5.24,5.27,3.6059,642291
2025-08-26,5.25,5.27,5.2,5.27,3.6059,1668738
2025-08-27,5.25,5.33,5.23,5.32,3.6401,1175922
2025-08-28,5.24,5.3,5.07,5.29,3.6196,1316235
2025-08-29,5.31,5.33,5.225,5.29,3.6196,1442273
2025-09-01,5.3,5.315,5.23,5.23,3.5785,562014
2025-09-02,5.21,5.23,5.06,5.12,3.5032,1470938
2025-09-03,5.08,5.12,5.03,5.04,3.4485,964697
2025-09-04,4.96,5.01,4.87,4.9,3.4137,1128448
2025-09-05,4.91,4.95,4.865,4.91,3.4206,3642104
2025-09-08,4.95,4.96,4.9,4.93,3.4346,806299
2025-09-09,4.92,4.96,4.9,4.94,3.4415,953805
2025-09-10,4.95,4.98,4.93,4.94,3.4415,586663
2025-09-11,4.91,4.95,4.89,4.92,3.4276,499972
2025-09-12,4.92,4.94,4.87,4.87,3.3928,456295
2025-09-15,4.85,4.85,4.82,4.84,3.3719,635222
2025-09-16,4.86,4.95,4.86,4.94,3.4415,1014122
2025-09-17,4.92,4.92,4.86,4.91,3.4206,1253562
2025-09-18,4.9,4.93,4.86,4.89,3.4067,813969
2025-09-19,4.92,5.03,4.89,5.03,3.5042,3797020
2025-09-22,4.98,5.06,4.975,5.04,3.5112,889917
2025-09-23,5.04,5.13,5.01,5.11,3.56,1071544
2025-09-24,5.13,5.14,5.04,5.06,3.5251,4734878
2025-09-25,5.03,5.12,5.02,5.1,3.553,4089666
2025-09-26,5,5.1,5,5.03,3.5042,816664
2025-09-29,5.03,5.06,5.01,5.01,3.4903,913270
2025-09-30,5,5.04,4.98,5.02,3.4973,983164
2025-10-01,4.99,5.1,4.96,5.03,3.5042,956485
2025-10-02,5.07,5.08,5.02,5.06,3.5251,729883
2025-10-03,5.1,5.19,5.05,5.16,3.5948,1567576
2025-10-06,5.2,5.21,5.13,5.13,3.5739,1232057
2025-10-07,5.12,5.18,5.11,5.15,3.5878,3844291
2025-10-08,5.15,5.24,5.11,5.23,3.6436,1153457
2025-10-09,5.25,5.41,5.25,5.4,3.762,2678692
2025-10-10,5.41,5.44,5.35,5.4,3.762,2221373
2025-10-13,5.37,5.37,5.24,5.26,3.6645,820753
2025-10-14,5.25,5.25,5.14,5.2,3.6227,932313
