Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.1,8.17,8,8.05,7.8452,2213099
2025-07-23,8.08,8.095,8.03,8.07,7.8647,2337886
2025-07-24,8.07,8.185,8.05,8.08,7.8744,3486662
2025-07-25,8.07,8.09,7.97,8.03,7.8257,3112717
2025-07-28,8.03,8.09,7.91,7.91,7.7087,6564202
2025-07-29,7.9,7.91,7.66,7.68,7.4846,5485123
2025-07-30,7.6,7.75,7.59,7.73,7.5333,5389678
2025-07-31,7.75,7.78,7.52,7.57,7.3774,6115963
2025-08-01,7.55,7.58,7.39,7.53,7.3384,6621058
2025-08-04,7.39,7.55,7.38,7.53,7.3384,7581291
2025-08-05,7.6,7.63,7.55,7.56,7.3676,2715947
2025-08-06,7.54,7.69,7.49,7.68,7.4846,3662066
2025-08-07,7.66,7.68,7.56,7.63,7.4359,2998914
2025-08-08,7.63,7.68,7.58,7.68,7.4846,2524846
2025-08-11,7.68,7.71,7.59,7.61,7.4164,3662477
2025-08-12,7.6,7.7,7.57,7.63,7.4359,6836693
2025-08-13,7.98,8.06,7.62,7.72,7.5236,9464471
2025-08-14,7.63,7.83,7.54,7.75,7.5528,6120712
2025-08-15,7.72,7.82,7.71,7.82,7.621,3748715
2025-08-18,7.82,8.04,7.81,7.93,7.7282,5525255
2025-08-19,7.94,7.99,7.89,7.93,7.7282,2715115
2025-08-20,8.02,8.13,7.96,7.97,7.7672,4369105
2025-08-21,8.04,8.15,7.98,8.15,7.9426,6493595
2025-08-22,8.1,8.14,8.03,8.05,7.8452,2826663
2025-08-25,8.19,8.205,7.99,8.1,7.8939,4356766
2025-08-26,8.08,8.1,7.85,7.86,7.66,4359704
2025-08-27,7.69,7.77,7.65,7.66,7.66,5480148
2025-08-28,7.77,7.79,7.67,7.7,7.7,2669034
2025-08-29,7.77,7.91,7.765,7.83,7.83,5735569
2025-09-01,7.83,7.93,7.81,7.89,7.89,2777523
2025-09-02,7.91,7.92,7.835,7.85,7.85,2684319
2025-09-03,7.85,7.94,7.84,7.85,7.85,6811397
2025-09-04,7.84,7.94,7.775,7.84,7.84,3736402
2025-09-05,7.92,7.94,7.78,7.79,7.79,3278168
2025-09-08,7.86,7.86,7.63,7.64,7.64,4003006
2025-09-09,7.65,7.69,7.56,7.56,7.56,5885449
2025-09-10,7.61,7.71,7.56,7.65,7.65,5248520
2025-09-11,7.66,7.68,7.58,7.64,7.64,3147329
2025-09-12,7.67,7.7,7.58,7.58,7.58,3393973
2025-09-15,7.6,7.61,7.48,7.55,7.55,6343945
2025-09-16,7.57,7.68,7.55,7.55,7.55,4537793
2025-09-17,7.53,7.61,7.51,7.52,7.52,3510341
2025-09-18,7.51,7.56,7.445,7.45,7.45,3985776
2025-09-19,7.46,7.53,7.38,7.38,7.38,13142738
2025-09-22,7.39,7.42,7.305,7.32,7.32,4585765
2025-09-23,7.32,7.39,7.29,7.38,7.38,3598614
2025-09-24,7.37,7.38,7.3,7.31,7.31,3533547
2025-09-25,7.3,7.32,7.16,7.18,7.18,5949172
2025-09-26,7.18,7.2,7.08,7.1,7.1,5226162
2025-09-29,7.1,7.15,7.06,7.09,7.09,3895227
2025-09-30,7.11,7.16,7.07,7.07,7.07,3867838
2025-10-01,7.07,7.15,6.99,7.07,7.07,3229537
2025-10-02,7.11,7.13,7.04,7.12,7.12,2726063
2025-10-03,7.18,7.22,7.06,7.06,7.06,4122635
2025-10-06,7.11,7.14,6.77,6.77,6.77,6334401
2025-10-07,6.81,6.85,6.73,6.78,6.78,14896160
2025-10-08,6.82,6.86,6.74,6.86,6.86,4546838
2025-10-09,6.88,6.94,6.83,6.88,6.88,4281222
2025-10-10,6.9,6.99,6.88,6.98,6.98,5490332
2025-10-13,6.28,6.37,5.87,5.93,5.93,24888474
2025-10-14,5.95,6.1,5.9,6.09,6.09,13774496
2025-10-15,6.19,6.2,6.05,6.16,6.16,7376984
2025-10-16,6.17,6.36,6.09,6.27,6.27,6614473
2025-10-17,6.32,6.58,6.26,6.5,6.5,11363519
2025-10-20,6.5,6.55,6.28,6.28,6.28,4989276
2025-10-21,6.28,6.32,6.12,6.2,6.2,5977138
2025-10-22,6.24,6.28,6.07,6.15,6.15,6381854
2025-10-23,6.11,6.25,6.1,6.25,6.25,5204830
2025-10-24,6.27,6.3,6.23,6.23,6.23,4631322
2025-10-27,6.22,6.23,6.15,6.22,6.22,4716192
2025-10-28,6.16,6.2,5.97,5.97,5.97,15631098
2025-10-29,5.97,6.02,5.93,5.98,5.98,6265903
2025-10-30,5.97,6.06,5.95,6.06,6.06,5195931
2025-10-31,6.06,6.08,5.99,5.99,5.99,3270074
2025-11-03,6,6.03,5.87,5.9,5.9,4278957
2025-11-04,5.88,5.9,5.79,5.83,5.83,3280050
2025-11-05,5.9,5.92,5.735,5.82,5.82,4724489
2025-11-06,5.81,5.86,5.76,5.78,5.78,2950447
2025-11-07,5.81,5.83,5.73,5.76,5.76,3358614
2025-11-10,5.765,5.81,5.72,5.77,5.77,3233670
2025-11-11,5.81,5.94,5.77,5.89,5.89,4689162
2025-11-12,5.93,6.015,5.82,5.92,5.92,4755989
2025-11-13,5.93,5.97,5.91,5.91,5.91,4448745
2025-11-14,5.93,5.96,5.76,5.76,5.76,4105714
2025-11-17,5.8,5.855,5.7,5.82,5.82,4425121
2025-11-18,5.85,5.88,5.66,5.67,5.67,5063968
2025-11-19,5.71,5.74,5.68,5.68,5.68,2519167
2025-11-20,5.7,5.76,5.65,5.65,5.65,5722016
2025-11-21,5.67,5.71,5.58,5.58,5.58,4174684
2025-11-24,5.69,5.73,5.645,5.65,5.65,4172011
2025-11-25,5.7,5.88,5.68,5.74,5.74,6282523
2025-11-26,5.85,5.85,5.67,5.7,5.7,4907807
2025-11-27,5.78,5.78,5.7,5.74,5.74,3489991
2025-11-28,5.75,5.86,5.73,5.82,5.82,4066019
2025-12-01,5.58,5.8,5.45,5.78,5.78,8502130
2025-12-02,5.8,5.93,5.76,5.8,5.8,5282761
2025-12-03,5.83,5.88,5.75,5.76,5.76,3700331
2025-12-04,5.8,5.8,5.65,5.65,5.65,3826891
2025-12-05,5.71,5.75,5.66,5.69,5.69,3149102
2025-12-08,5.72,5.76,5.67,5.74,5.74,2896674
2025-12-09,5.7,5.74,5.63,5.64,5.64,2979668
2025-12-10,5.66,5.7,5.51,5.55,5.55,6635445
2025-12-11,5.63,5.64,5.49,5.53,5.53,3766736
2025-12-12,5.6,5.63,5.49,5.49,5.49,3631144
2025-12-15,5.49,5.49,5.49,5.49,5.49,0
2025-12-16,5.49,5.49,5.49,5.49,5.49,0
2025-12-17,4.64,5.09,4.57,4.98,4.98,29827580
2025-12-18,4.76,4.95,4.66,4.95,4.95,22744925
2025-12-19,4.93,5.005,4.87,4.89,4.89,17036698
2025-12-22,4.88,4.975,4.81,4.95,4.95,6073467
2025-12-23,4.91,5.06,4.9,5.01,5.01,6514004
2025-12-24,5.11,5.39,5.075,5.39,5.39,9140258
2025-12-29,5.42,5.54,5.28,5.28,5.28,7804429
2025-12-30,5.31,5.46,5.19,5.21,5.21,5171712
2025-12-31,5.25,5.29,5.205,5.24,5.24,2286306
2026-01-02,5.25,5.36,5.25,5.3,5.3,3422520
2026-01-05,5.31,5.43,5.27,5.27,5.27,5224498
2026-01-06,5.22,5.29,5.155,5.17,5.17,4615137
2026-01-07,5.2,5.22,5.15,5.17,5.17,4398551
2026-01-08,5.1,5.2,5.1,5.19,5.19,5469064
2026-01-09,5.18,5.24,5.14,5.17,5.17,6301027
2026-01-12,5.13,5.24,5.1,5.21,5.21,3606741
2026-01-13,5.18,5.31,5.17,5.23,5.23,5353357
2026-01-14,5.21,5.39,5.18,5.36,5.36,30647956
2026-01-15,5.27,5.335,5.05,5.1,5.1,14012385
2026-01-16,5.1,5.49,5.08,5.49,5.49,14241674
2026-01-19,5.43,5.64,5.43,5.53,5.53,8993365
2026-01-20,5.47,5.6,5.385,5.52,5.52,7306844
2026-01-21,5.52,5.61,5.36,5.44,5.44,6025418
2026-01-22,5.42,5.585,5.405,5.51,5.51,5269096
2026-01-23,5.5,5.58,5.41,5.42,5.42,3685717
2026-01-27,5.45,5.45,5.33,5.36,5.36,4549259
2026-01-28,5.37,5.39,5.2,5.27,5.27,3491300
2026-01-29,5.25,5.4,5.21,5.39,5.39,5041689
2026-01-30,5.42,5.47,5.31,5.36,5.36,3629438
2026-02-02,5.33,5.37,5.23,5.3,5.3,4559600
2026-02-03,5.34,5.38,5.29,5.3,5.3,3636352
2026-02-04,5.27,5.31,5.16,5.16,5.16,5076126
2026-02-05,5.25,5.56,5.21,5.52,5.52,7139980
2026-02-06,5.35,5.38,4.98,5.08,5.08,10365212
2026-02-09,5.14,5.21,5.12,5.17,5.17,3255579
2026-02-10,5.42,5.59,5.33,5.35,5.35,9568473
2026-02-11,5.21,5.33,5.16,5.3,5.3,5543142
2026-02-12,5.28,5.37,5.26,5.29,5.29,3486993
2026-02-13,5.25,5.34,5.24,5.24,5.24,4863883
2026-02-16,5.12,5.39,4.87,4.97,4.97,12247405
2026-02-17,4.93,4.93,4.67,4.74,4.74,9446569
2026-02-18,4.8,4.86,4.69,4.72,4.72,6119811
2026-02-19,4.72,4.75,4.655,4.72,4.72,5967733
2026-02-20,4.7,4.95,4.68,4.85,4.85,7510117
2026-02-23,4.8,4.83,4.63,4.68,4.68,7383415
2026-02-24,4.68,4.74,4.49,4.5,4.5,7483410
2026-02-25,4.49,4.66,4.49,4.64,4.64,5113515
2026-02-26,4.6,4.69,4.55,4.6,4.6,3935245
2026-02-27,4.6,4.61,4.52,4.54,4.54,4790036
2026-03-02,4.53,4.63,4.52,4.59,4.59,4495570
2026-03-03,4.6,4.63,4.51,4.51,4.51,8221070
2026-03-04,4.5,4.53,4.21,4.24,4.24,9224934
2026-03-05,4.25,4.41,4.24,4.36,4.36,4999377
2026-03-06,4.27,4.32,4.14,4.31,4.31,8877385
2026-03-09,4.15,4.2,4.05,4.13,4.13,6524486
2026-03-10,4.2,4.21,4.075,4.13,4.13,7038478
2026-03-11,4.1,4.15,4.06,4.07,4.07,3978800
2026-03-12,4.06,4.1,4.005,4.03,4.03,4266522
2026-03-13,4,4.01,3.92,3.94,3.94,5141016
2026-03-16,3.92,3.98,3.75,3.83,3.83,8504330
2026-03-17,3.83,3.87,3.76,3.84,3.84,4869185
2026-03-18,3.89,3.89,3.81,3.86,3.86,3932553
2026-03-19,3.76,3.8,3.72,3.73,3.73,6723798
2026-03-20,3.73,3.76,3.63,3.64,3.64,59668503
2026-03-23,3.63,3.655,3.56,3.57,3.57,5524736
2026-03-24,3.61,3.64,3.54,3.55,3.55,7241390
2026-03-25,3.57,3.63,3.53,3.54,3.54,5263389
2026-03-26,3.54,3.54,3.34,3.37,3.37,7585824
2026-03-27,3.42,3.72,3.4,3.62,3.62,11181137
2026-03-30,3.6,3.62,3.52,3.59,3.59,5287179
2026-03-31,3.6,3.75,3.54,3.71,3.71,9621960
2026-04-01,3.74,3.83,3.69,3.76,3.76,9125280
2026-04-02,3.85,3.875,3.71,3.73,3.73,5618048
2026-04-07,3.73,3.82,3.69,3.78,3.78,4962040
2026-04-08,3.87,4,3.85,3.99,3.99,3954922
2026-04-09,3.97,4.04,3.91,3.95,3.95,3282296
2026-04-10,3.97,3.98,3.87,3.98,3.98,5106242
2026-04-13,3.97,3.97,3.9,3.92,3.92,3153464
2026-04-14,3.99,3.995,3.86,3.89,3.89,2649568
2026-04-15,3.92,3.93,3.86,3.91,3.91,2470334
2026-04-16,3.91,3.99,3.86,3.97,3.97,3783248
2026-04-17,3.97,4.07,3.95,4.01,4.01,4137807
2026-04-20,4.02,4.11,3.98,4.1,4.1,3921089
2026-04-21,4.11,4.11,4.03,4.05,4.05,3108783
2026-04-22,4.65,4.85,4.53,4.72,4.72,19503053
2026-04-23,4.69,4.785,4.485,4.55,4.55,11134005
2026-04-24,4.57,4.68,4.48,4.5,4.5,3522695
2026-04-27,4.46,4.51,4.42,4.47,4.47,2753633
2026-04-28,4.45,4.46,4.33,4.36,4.36,2778394
2026-04-29,4.4,4.43,4.33,4.35,4.35,3044814
2026-04-30,4.28,4.4,4.25,4.33,4.33,4104969
2026-05-01,4.36,4.38,4.26,4.29,4.29,2910540
2026-05-04,4.33,4.33,4.17,4.27,4.27,3888024
2026-05-05,4.23,4.25,4.17,4.23,4.23,2863998
2026-05-06,4.29,4.31,4.21,4.29,4.29,3520446
2026-05-07,4.31,4.41,4.255,4.34,4.34,7142381
2026-05-08,4.3,4.37,4.255,4.34,4.34,3229331
2026-05-11,4.29,4.38,4.27,4.36,4.36,2496965
2026-05-12,4.35,4.38,4.2,4.22,4.22,3243258
2026-05-13,4.2,4.22,4.12,4.18,4.18,3019737
2026-05-14,4.13,4.22,4.07,4.17,4.17,4241799
2026-05-15,4.31,4.33,4.17,4.25,4.25,3843255
2026-05-18,4.24,4.28,4.18,4.2,4.2,5700455
2026-05-19,4.27,4.35,4.24,4.34,4.34,3401252
