Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,107.62,107.87,107.13,107.45,104.2722,195582
2025-07-23,107.95,108.33,107.7,108.15,104.9515,345626
2025-07-24,108.39,108.5,107.67,107.82,104.6313,551515
2025-07-25,107.52,107.56,107.22,107.32,104.1461,147138
2025-07-28,107.49,107.8,107.46,107.73,104.544,243510
2025-07-29,107.12,107.78,107.03,107.73,104.544,161655
2025-07-30,107.65,108.62,107.5,108.41,105.2038,308613
2025-07-31,107.96,108.35,107.69,108.19,104.9904,187560
2025-08-01,107.46,107.54,107.05,107.25,104.0782,207955
2025-08-04,106.94,107.28,106.87,107.28,104.1073,218736
2025-08-05,108.14,108.665,108.07,108.61,105.3979,148371
2025-08-06,108.71,109.59,108.7,109.48,106.2422,326344
2025-08-07,109.58,109.58,109.21,109.35,106.116,171075
2025-08-08,109.08,109.39,108.91,109.07,105.8443,162700
2025-08-11,109.26,109.67,109.19,109.52,106.281,145674
2025-08-12,109.38,110.03,109.33,110.02,106.7662,213166
2025-08-13,110.22,110.25,109.21,109.39,106.1549,208195
2025-08-14,109.86,110.32,109.84,110.01,106.7565,159785
2025-08-15,110.03,110.8,109.92,110.79,107.5135,174940
2025-08-18,110.34,111.06,110.34,110.99,107.7075,209520
2025-08-19,110.66,110.73,110.16,110.38,107.1156,366691
2025-08-20,110.5,111.11,110.2,110.72,107.4455,218162
2025-08-21,111.28,111.98,111.19,111.92,108.61,241334
2025-08-22,112.02,112.1,111.36,111.36,108.0666,177352
2025-08-25,112.35,112.5,111.44,111.47,108.1734,182004
2025-08-26,111.47,111.68,110.87,111.08,107.7949,187781
2025-08-27,111.59,111.64,111.11,111.49,108.1928,687235
2025-08-28,111.63,111.75,111.38,111.74,108.4354,266064
2025-08-29,111.61,111.9,111.35,111.62,108.3189,284609
2025-09-01,111.42,111.6,110.88,111.14,107.8531,192762
2025-09-02,111.01,111.29,110.8,111,107.7173,182614
2025-09-03,110.55,110.61,108.93,109.02,105.7958,435318
2025-09-04,109.65,110.42,109.63,110.32,107.0574,406001
2025-09-05,110.82,111.02,110.63,110.92,107.6396,388891
2025-09-08,110.77,110.77,110.29,110.59,107.3194,337313
2025-09-09,110.58,110.58,109.82,110.08,106.8245,388678
2025-09-10,110.01,110.54,109.96,110.41,107.1447,440668
2025-09-11,110.19,110.36,109.9,110.16,106.9021,245120
2025-09-12,110.63,111.23,110.62,110.93,107.6493,247272
2025-09-15,110.31,110.84,110.01,110.77,107.4941,178463
2025-09-16,111,111.3,111,111.18,107.8919,232925
2025-09-17,110.84,111,110.23,110.34,107.0768,271898
2025-09-18,110.22,110.22,109.41,109.59,106.349,288105
2025-09-19,110.25,110.59,109.85,109.85,106.6013,194690
2025-09-22,110.34,110.89,110.16,110.37,107.1059,221908
2025-09-23,110.61,111.24,110.42,110.81,107.5329,178682
