Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.4,0.425,0.4,0.41,2.6283,4670422
2025-07-23,0.42,0.42,0.402,0.405,2.5963,4504575
2025-07-24,0.4,0.41,0.392,0.405,2.5963,4828768
2025-07-25,0.4,0.405,0.395,0.395,2.5322,4442532
2025-07-28,0.39,0.397,0.38,0.38,2.436,3672695
2025-07-29,0.375,0.38,0.362,0.38,2.436,4890760
2025-07-30,0.375,0.38,0.367,0.375,2.404,8633557
2025-07-31,0.365,0.375,0.36,0.365,2.3399,5070149
2025-08-01,0.37,0.375,0.367,0.37,2.3719,6267108
2025-08-04,0.385,0.4,0.375,0.395,2.5322,5370652
2025-08-05,0.4,0.405,0.395,0.4,2.5642,4519705
2025-08-06,0.405,0.415,0.405,0.405,2.5963,5392748
2025-08-07,0.41,0.425,0.407,0.42,2.6925,5030666
2025-08-08,0.435,0.44,0.42,0.43,2.7566,6036856
2025-08-11,0.415,0.42,0.41,0.42,2.6925,3382106
2025-08-12,0.415,0.42,0.41,0.42,2.6925,2545863
2025-08-13,0.42,0.43,0.417,0.425,2.7245,2373802
2025-08-14,0.43,0.44,0.42,0.425,2.7245,6459755
2025-08-15,0.425,0.44,0.42,0.43,2.7566,3778546
2025-08-18,0.435,0.442,0.422,0.425,2.7245,3777631
2025-08-19,0.425,0.43,0.42,0.42,2.6925,1914449
2025-08-20,0.41,0.42,0.4,0.42,2.6925,4332328
2025-08-21,0.45,0.48,0.447,0.47,3.013,14383523
2025-08-22,0.48,0.5,0.475,0.495,3.1733,10383800
2025-08-25,0.5,0.515,0.49,0.495,3.1733,9512743
2025-08-26,0.5,0.52,0.49,0.52,3.3335,7820937
2025-08-27,0.53,0.532,0.52,0.53,3.3976,13076148
2025-08-28,0.53,0.532,0.52,0.53,3.3976,6117120
2025-08-29,0.535,0.537,0.522,0.535,3.4297,5850609
2025-09-01,0.545,0.575,0.542,0.57,3.654,8679246
2025-09-02,0.565,0.575,0.56,0.565,3.622,6007054
2025-09-03,0.585,0.585,0.565,0.57,3.654,8768458
2025-09-04,0.58,0.587,0.56,0.57,3.654,8313640
2025-09-05,0.575,0.605,0.565,0.6,3.8464,7575660
2025-09-08,0.61,0.62,0.597,0.6,3.8464,9027264
2025-09-09,0.605,0.63,0.602,0.625,4.0066,8887490
2025-09-10,0.61,0.64,0.605,0.635,4.0707,9722855
2025-09-11,0.65,0.66,0.64,0.645,4.1348,10089856
2025-09-12,0.65,0.66,0.645,0.66,4.231,8923722
2025-09-15,0.64,0.655,0.632,0.645,4.1348,8189246
2025-09-16,0.655,0.665,0.645,0.655,4.1989,9335082
2025-09-17,0.66,0.66,0.64,0.65,4.1669,8522822
2025-09-18,0.65,0.665,0.64,0.66,4.231,6669634
2025-09-19,0.67,0.68,0.66,0.66,4.231,49312000
2025-09-22,0.67,0.71,0.67,0.69,4.4233,10739257
2025-09-23,0.68,0.69,0.64,0.66,4.231,19345922
2025-09-24,0.64,0.66,0.635,0.66,4.231,7374314
2025-09-25,0.64,0.655,0.635,0.635,4.0707,9901243
2025-09-26,0.63,0.655,0.625,0.655,4.1989,5418991
2025-09-29,0.665,0.67,0.65,0.67,4.2951,5787828
2025-09-30,0.67,0.672,0.652,0.66,4.231,8349669
2025-10-01,0.66,0.67,0.645,0.665,4.2631,7495631
2025-10-02,0.665,0.695,0.665,0.685,4.3913,7049634
2025-10-03,0.67,0.685,0.665,0.685,4.3913,3797401
2025-10-06,0.685,0.725,0.685,0.715,4.5836,6721773
2025-10-07,0.72,0.742,0.72,0.74,4.7439,7314523
2025-10-08,0.73,0.732,0.705,0.73,4.6797,9482069
2025-10-09,0.73,0.732,0.71,0.72,4.6156,5380499
2025-10-10,0.695,0.7,0.68,0.685,4.3913,5494282
2025-10-13,0.695,0.715,0.685,0.685,4.3913,7379642
2025-10-14,0.7,0.725,0.692,0.71,4.5515,8890149
2025-10-15,0.72,0.74,0.71,0.73,4.6797,6425004
2025-10-16,0.74,0.77,0.735,0.765,4.9041,6427320
2025-10-17,0.79,0.795,0.765,0.785,5.0323,10886953
2025-10-20,0.75,0.755,0.735,0.75,4.808,6930325
2025-10-21,0.775,0.775,0.755,0.765,4.9041,4265840
2025-10-22,0.7,0.7,0.665,0.695,4.4554,7112028
2025-10-23,0.68,0.722,0.675,0.71,4.5515,5696163
2025-10-24,0.72,0.725,0.705,0.715,4.5836,7246920
2025-10-27,0.725,0.73,0.707,0.725,4.6477,5018074
2025-10-28,0.675,0.69,0.665,0.69,4.4233,7118572
2025-10-29,0.695,0.71,0.685,0.71,4.5515,4453800
2025-10-30,0.695,0.705,0.69,0.69,4.4233,5183008
2025-10-31,0.71,0.735,0.71,0.73,4.6797,5174208
2025-11-03,0.72,0.73,0.705,0.725,4.6477,4052408
2025-11-04,0.72,0.72,0.7,0.71,4.5515,7095969
2025-11-05,0.695,0.7,0.675,0.695,4.4554,3936802
2025-11-06,0.71,0.725,0.702,0.715,4.5836,3331303
2025-11-07,0.715,0.735,0.71,0.715,4.5836,3098414
2025-11-10,0.72,0.75,0.72,0.75,4.808,3139920
2025-11-11,0.765,0.772,0.755,0.77,4.9362,5748188
2025-11-12,0.775,0.785,0.767,0.785,5.0323,3992372
2025-11-13,0.8,0.815,0.79,0.795,5.0964,5755369
2025-11-14,0.77,0.777,0.755,0.775,4.9682,2876054
2025-11-17,4.9725,5.005,4.875,4.9075,4.84,4533091
2025-11-18,4.79,5.03,4.6,4.6,4.5367,3965427
2025-11-19,4.65,4.78,4.6,4.7,4.6354,4156515
2025-11-20,4.72,4.76,4.49,4.58,4.517,3932655
2025-11-21,4.48,4.49,4.33,4.4,4.3395,4213651
2025-11-24,4.44,4.64,4.35,4.64,4.5762,8744769
2025-11-25,4.7,4.79,4.63,4.74,4.6748,3325680
2025-11-26,4.83,5.1,4.79,5.05,4.9806,4913889
2025-11-27,5.09,5.1,4.82,4.87,4.803,2934384
2025-11-28,4.87,5.05,4.87,5,4.9312,6119857
2025-12-01,5.1,5.14,5,5.04,4.9707,5504561
2025-12-02,5.01,5.18,5.01,5.07,5.0003,2919904
2025-12-03,5.07,5.15,5.02,5.08,5.0101,3242486
2025-12-04,5.1,5.11,4.83,4.9,4.8326,3735921
2025-12-05,5.11,5.12,4.895,4.92,4.8523,3076462
2025-12-08,4.85,4.86,4.745,4.81,4.7439,4098577
2025-12-09,4.76,4.835,4.705,4.78,4.7143,2365878
2025-12-10,4.9,4.97,4.825,4.94,4.8721,3893477
2025-12-11,5.07,5.165,5,5.03,4.9608,2596878
2025-12-12,5.2,5.35,5.17,5.35,5.2764,4184940
