Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,29.8,29.97,29.52,29.62,29.62,65877
2025-04-28,29.71,29.92,29.5,29.88,29.88,64729
2025-04-29,29.99,30.15,29.82,29.93,29.93,52076
2025-04-30,30.05,30.22,29.93,30.07,30.07,60392
2025-05-01,29.98,30.3,29.75,30.19,30.19,24106
2025-05-02,30.58,30.85,30.58,30.72,30.72,71944
2025-05-05,29.84,29.9,29.37,29.67,29.67,62554
2025-05-06,29.74,29.89,29.6,29.74,29.74,20981
2025-05-07,30.16,30.55,30.11,30.21,30.21,35127
2025-05-08,30.75,31.29,30.57,31.14,31.14,70745
2025-05-09,32.88,32.88,32.43,32.6,32.6,112312
2025-05-12,32.76,33.21,32.76,32.82,32.82,66404
2025-05-13,32.89,32.89,32.28,32.45,32.45,106731
2025-05-14,32.64,32.73,32.45,32.69,32.69,37784
2025-05-15,32.63,32.81,32.35,32.35,32.35,35262
2025-05-16,32.98,33.1,32.79,32.8,32.8,54516
2025-05-19,33.64,33.88,32.55,32.65,32.65,86195
2025-05-20,33.21,33.74,33.15,33.7,33.7,70307
2025-05-21,33.7,33.93,33.48,33.9,33.9,77870
2025-05-22,34.6,35.24,34.5,35.01,35.01,121756
2025-05-23,35.3,35.44,34.85,35,35,99498
2025-05-26,34.35,34.35,33.98,34.18,34.18,99356
2025-05-27,34.29,34.38,33.7,34.18,34.18,57480
2025-05-28,34.39,34.49,34.19,34.42,34.42,68857
2025-05-29,34.18,34.35,33.9,34.11,34.11,79264
2025-05-30,33.59,33.59,33,33.4,33.4,89347
2025-06-02,33.5,33.5,32.85,32.87,32.87,42358
2025-06-03,33.19,33.37,33.01,33.1,33.1,19742
2025-06-04,33.1,33.24,33.09,33.16,33.16,36664
2025-06-05,32.84,32.92,32.65,32.75,32.75,46605
2025-06-06,31.79,32.35,31.55,32.2,32.2,100271
2025-06-10,34.09,34.49,34,34.13,34.13,95740
2025-06-11,34.2,34.32,34.06,34.12,34.12,44441
2025-06-12,33.99,34,33.55,33.63,33.63,43563
2025-06-13,32.96,32.96,32.27,32.6,32.6,150353
2025-06-16,32.89,33.35,32.88,33.29,33.29,50989
2025-06-17,33.59,33.59,33.12,33.25,33.25,50328
2025-06-18,32.9,32.93,32.65,32.9,32.9,47476
2025-06-19,32.84,32.95,32.67,32.95,32.95,31089
2025-06-20,32.95,32.95,32.55,32.69,32.69,31676
2025-06-23,32.33,32.33,31.68,32.2,32.2,104616
2025-06-24,33.02,33.68,32.73,32.97,32.97,39122
2025-06-25,33.3,33.34,33.08,33.19,33.19,27648
2025-06-26,33.42,33.58,33.38,33.47,33.47,40468
2025-06-27,33.27,33.38,32.99,33.29,33.29,44629
2025-06-30,33.57,33.79,33.49,33.54,33.54,45761
2025-07-01,33.53,33.53,32.9,32.97,32.97,43907
2025-07-02,32.8,32.91,32.47,32.9,32.9,67422
2025-07-03,33.62,33.87,33.53,33.8,33.8,47998
2025-07-04,34,34,33.64,33.66,33.66,40164
2025-07-07,33.8,34.15,33.7,34.04,34.04,56280
2025-07-08,33.75,34.15,33.42,33.58,33.58,56747
2025-07-09,33.86,33.95,33.63,33.73,33.73,38269
2025-07-10,34.5,34.58,34.38,34.44,34.44,43600
2025-07-11,35.5,36.5,35.5,36.4,36.4,139230
2025-07-14,37,37.91,36.68,37.82,37.82,138791
2025-07-15,37.25,37.25,36.05,36.26,36.26,164246
2025-07-16,36.8,36.8,36.42,36.65,36.65,70045
2025-07-17,37,37.15,36.8,37.08,37.08,74892
2025-07-18,37.2,37.67,37.18,37.66,37.66,72206
2025-07-21,37,37.01,36.35,36.89,36.89,136281
2025-07-22,36.59,36.74,36.2,36.51,36.51,58773
2025-07-23,37.19,37.59,36.63,36.65,36.65,54257
2025-07-24,36.56,36.64,36.05,36.05,36.05,80737
2025-07-25,36.47,36.47,35.46,35.67,35.67,85409
2025-07-28,36.6,36.99,36.6,36.95,36.95,60387
2025-07-29,37,37,36.55,36.95,36.95,52668
2025-07-30,36.95,36.95,36.48,36.74,36.74,35807
2025-07-31,36.98,37.3,36.98,37.1,37.1,49292
2025-08-01,36.59,36.59,36.04,36.42,36.42,93354
2025-08-04,35.88,36.03,35.69,35.82,35.82,85085
2025-08-05,36,36.06,35.85,35.9,35.9,55336
2025-08-06,35.83,35.83,35.36,35.68,35.68,90766
2025-08-07,35.76,35.94,35.54,35.67,35.67,37818
2025-08-08,36.35,36.61,36.22,36.28,36.28,42890
2025-08-11,36.98,38,36.98,37.95,37.95,127302
2025-08-12,37.13,37.15,36.87,37.07,37.07,83310
2025-08-13,37.35,37.36,36.95,36.99,36.99,54037
2025-08-14,38.04,38.5,37.79,37.79,37.79,126167
2025-08-15,37.63,37.7,36.82,37.1,37.1,91844
2025-08-18,36.69,36.69,35.79,35.99,35.99,102146
2025-08-19,36.14,36.46,35.77,35.98,35.98,73852
2025-08-20,35.53,35.79,35.38,35.76,35.76,72569
2025-08-21,35.95,36.15,35.87,35.88,35.88,78330
2025-08-22,35.72,35.79,35.41,35.7,35.7,81900
2025-08-25,35.69,35.97,35.02,35.02,35.02,110546
2025-08-26,34.46,34.53,34,34.47,34.47,123904
2025-08-27,35,35,34.59,34.76,34.76,126949
2025-08-28,34.63,35.2,34.5,35.15,35.15,39549
2025-08-29,34.99,34.99,34.41,34.45,34.45,39064
2025-09-01,34.7,34.7,33.2,33.35,33.35,134305
2025-09-02,33.59,34.22,33.59,34.17,34.17,47813
