Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.5,2.51,2.48,2.49,2.3163,11571355
2025-07-23,2.49,2.51,2.48,2.5,2.3256,9136707
2025-07-24,2.5,2.51,2.45,2.46,2.2884,9673751
2025-07-25,2.45,2.47,2.42,2.44,2.2698,15660222
2025-07-28,2.44,2.47,2.43,2.47,2.2977,13008048
2025-07-29,2.44,2.45,2.42,2.43,2.2605,8159519
2025-07-30,2.43,2.5,2.42,2.47,2.2977,9541363
2025-07-31,2.46,2.48,2.46,2.47,2.2977,12828879
2025-08-01,2.43,2.455,2.43,2.44,2.2698,6346639
2025-08-04,2.44,2.46,2.41,2.45,2.2791,5058156
2025-08-05,2.48,2.49,2.45,2.48,2.307,4979267
2025-08-06,2.5,2.5,2.47,2.49,2.3163,5713894
2025-08-07,2.5,2.51,2.49,2.5,2.3256,5159593
2025-08-08,2.49,2.51,2.47,2.5,2.3256,4016131
2025-08-11,2.48,2.51,2.48,2.51,2.3349,2341958
2025-08-12,2.5,2.52,2.49,2.51,2.3349,5426216
2025-08-13,2.52,2.52,2.5,2.52,2.3442,5847909
2025-08-14,2.51,2.54,2.5,2.51,2.3349,7470542
2025-08-15,2.51,2.53,2.5,2.52,2.3442,5579023
2025-08-18,2.5,2.53,2.5,2.53,2.3535,5126745
2025-08-19,2.54,2.54,2.5,2.54,2.3628,4197121
2025-08-20,2.57,2.63,2.5,2.61,2.428,6259115
2025-08-21,2.6,2.63,2.58,2.63,2.4466,6787315
2025-08-22,2.61,2.63,2.59,2.61,2.428,5140468
2025-08-25,2.61,2.61,2.56,2.59,2.4665,7779510
2025-08-26,2.6,2.61,2.58,2.6,2.4761,12565780
2025-08-27,2.6,2.61,2.56,2.59,2.4665,5724267
2025-08-28,2.59,2.605,2.57,2.6,2.4761,14216373
2025-08-29,2.58,2.6,2.57,2.59,2.4665,12292468
2025-09-01,2.58,2.63,2.58,2.62,2.4951,8292138
2025-09-02,2.6,2.61,2.555,2.57,2.4475,9691656
2025-09-03,2.58,2.58,2.49,2.49,2.3713,16902262
2025-09-04,2.51,2.52,2.475,2.52,2.3999,9197308
2025-09-05,2.51,2.56,2.5,2.56,2.438,9203233
2025-09-08,2.56,2.57,2.54,2.55,2.4284,4761943
2025-09-09,2.57,2.57,2.53,2.55,2.4284,4104864
2025-09-10,2.53,2.57,2.52,2.56,2.438,9060820
2025-09-11,2.55,2.58,2.54,2.58,2.457,4779757
2025-09-12,2.59,2.62,2.575,2.6,2.4761,4476993
2025-09-15,2.58,2.61,2.57,2.6,2.4761,4364379
2025-09-16,2.61,2.61,2.57,2.58,2.457,5930731
2025-09-17,2.56,2.57,2.49,2.49,2.3713,10854035
2025-09-18,2.5,2.52,2.485,2.51,2.3903,8277320
2025-09-19,2.5,2.51,2.485,2.5,2.3808,33623739
2025-09-22,2.5,2.505,2.47,2.48,2.3618,3566748
2025-09-23,2.48,2.5,2.45,2.49,2.3713,6810549
2025-09-24,2.48,2.5,2.47,2.48,2.3618,5951084
2025-09-25,2.47,2.52,2.47,2.5,2.3808,11357235
2025-09-26,2.52,2.54,2.5,2.53,2.4094,9976403
2025-09-29,2.52,2.54,2.51,2.52,2.3999,5037214
2025-09-30,2.52,2.55,2.52,2.52,2.3999,10113400
2025-10-01,2.52,2.54,2.51,2.52,2.3999,6095298
2025-10-02,2.54,2.56,2.53,2.53,2.4094,8128760
2025-10-03,2.51,2.55,2.51,2.54,2.4189,6507230
2025-10-06,2.55,2.555,2.53,2.53,2.4094,2646186
2025-10-07,2.51,2.55,2.51,2.54,2.4189,11421827
