Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.2,3.25,3.17,3.2,3.2,893127
2025-07-23,3.19,3.21,3.17,3.2,3.2,655682
2025-07-24,3.2,3.24,3.17,3.2,3.2,1343868
2025-07-25,3.2,3.21,3.15,3.16,3.16,217821
2025-07-28,3.17,3.21,3.145,3.19,3.19,972982
2025-07-29,3.21,3.28,3.17,3.19,3.19,4396628
2025-07-30,3.19,3.2,3.14,3.17,3.17,626265
2025-07-31,3.19,3.2,3.15,3.15,3.15,609110
2025-08-01,3.15,3.2,3.14,3.18,3.18,417004
2025-08-04,3.2,3.21,3.14,3.19,3.19,598299
2025-08-05,3.2,3.23,3.17,3.21,3.21,795450
2025-08-06,3.21,3.27,3.195,3.26,3.26,1242658
2025-08-07,3.25,3.28,3.195,3.27,3.27,1787645
2025-08-08,3.27,3.28,3.21,3.28,3.28,5763893
2025-08-11,3.28,3.31,3.24,3.28,3.28,758320
2025-08-12,3.28,3.29,3.21,3.23,3.23,577412
2025-08-13,3.24,3.28,3.22,3.25,3.25,949447
2025-08-14,3.28,3.31,3.15,3.17,3.17,2456271
2025-08-15,3.18,3.27,3.16,3.27,3.27,708357
2025-08-18,3.26,3.33,3.25,3.31,3.31,913083
2025-08-19,3.29,3.39,3.28,3.36,3.36,1465641
2025-08-20,3.33,3.38,3.32,3.36,3.36,2038056
2025-08-21,3.36,3.36,3.25,3.26,3.26,582875
2025-08-22,3.27,3.27,3.17,3.18,3.18,675864
2025-08-25,3.22,3.29,3.18,3.23,3.23,1725977
2025-08-26,3.24,3.33,3.24,3.28,3.28,3029404
2025-08-27,3.28,3.31,3.25,3.29,3.29,665941
2025-08-28,3.31,3.58,3.31,3.49,3.49,3967529
2025-08-29,3.56,3.58,3.35,3.45,3.45,7238293
2025-09-01,3.45,3.5,3.4,3.44,3.44,1107321
2025-09-02,3.43,3.44,3.29,3.42,3.42,1147149
2025-09-03,3.4,3.52,3.38,3.47,3.47,1708664
2025-09-04,3.5,3.5,3.36,3.38,3.38,721102
2025-09-05,3.39,3.41,3.33,3.36,3.36,362676
2025-09-08,3.36,3.4,3.3,3.33,3.33,513487
2025-09-09,3.33,3.33,3.26,3.26,3.26,592807
2025-09-10,3.26,3.27,3.18,3.26,3.26,1349198
2025-09-11,3.29,3.29,3.21,3.21,3.21,717566
2025-09-12,3.25,3.3,3.21,3.22,3.22,494639
2025-09-15,3.23,3.27,3.21,3.27,3.27,692454
2025-09-16,3.3,3.32,3.25,3.28,3.28,544998
2025-09-17,3.22,3.33,3.22,3.33,3.33,936707
2025-09-18,3.3,3.34,3.24,3.33,3.33,706833
2025-09-19,3.33,3.36,3.29,3.35,3.35,9623818
2025-09-22,3.32,3.36,3.25,3.36,3.36,885343
2025-09-23,3.34,3.48,3.31,3.47,3.47,1880018
2025-09-24,3.47,3.55,3.39,3.52,3.52,2729047
2025-09-25,3.52,3.58,3.47,3.54,3.54,2314297
2025-09-26,3.54,3.68,3.45,3.64,3.64,1501627
2025-09-29,3.65,3.65,3.59,3.6,3.6,1073478
2025-09-30,3.65,3.67,3.595,3.62,3.62,3359508
2025-10-01,3.64,3.67,3.59,3.65,3.65,4641581
2025-10-02,3.67,3.8,3.64,3.72,3.72,3784024
2025-10-03,3.73,3.755,3.68,3.7,3.7,2109527
2025-10-06,3.75,3.78,3.7,3.7,3.7,659654
2025-10-07,3.71,3.71,3.65,3.67,3.67,1177209
2025-10-08,3.66,3.66,3.61,3.63,3.63,801696
2025-10-09,3.61,3.63,3.53,3.54,3.54,3735366
2025-10-10,3.56,3.64,3.54,3.6,3.6,3010211
2025-10-13,3.65,3.655,3.59,3.6,3.6,1525610
2025-10-14,3.6,3.635,3.54,3.55,3.55,2692282
2025-10-15,3.56,3.57,3.5,3.5,3.5,1613379
2025-10-16,3.49,3.51,3.42,3.51,3.51,2234643
2025-10-17,3.53,3.53,3.45,3.45,3.45,1488631
2025-10-20,3.48,3.51,3.44,3.51,3.51,2356163
2025-10-21,3.51,3.615,3.5,3.6,3.6,6292605
2025-10-22,3.61,3.61,3.475,3.48,3.48,1325091
2025-10-23,3.5,3.51,3.43,3.49,3.49,2732474
2025-10-24,3.51,3.52,3.35,3.35,3.35,1804221
2025-10-27,3.41,3.43,3.34,3.42,3.42,886887
2025-10-28,3.48,3.48,3.3,3.37,3.37,1764622
2025-10-29,3.37,3.39,3.3,3.3,3.3,1306078
2025-10-30,3.3,3.33,3.26,3.31,3.31,1131356
2025-10-31,3.36,3.36,3.285,3.31,3.31,1408397
2025-11-03,3.32,3.35,3.285,3.32,3.32,1945155
2025-11-04,3.32,3.33,3.26,3.26,3.26,2971087
2025-11-05,3.32,3.32,3.2,3.25,3.25,1173438
2025-11-06,3.28,3.34,3.24,3.28,3.28,1363922
2025-11-07,3.28,3.3,3.2,3.22,3.22,1577935
2025-11-10,3.23,3.26,3.22,3.23,3.23,947827
2025-11-11,3.26,3.28,3.22,3.22,3.22,948230
2025-11-12,3.23,3.255,3.2,3.2,3.2,1125732
2025-11-13,3.22,3.22,3.115,3.16,3.16,1882640
2025-11-14,3.16,3.2,3.12,3.14,3.14,948846
2025-11-17,3.18,3.19,3.135,3.16,3.16,907090
2025-11-18,3.17,3.17,3.05,3.06,3.06,1552660
2025-11-19,3.1,3.1,3,3.05,3.05,2597793
2025-11-20,3.11,3.11,3.015,3.06,3.06,1570963
2025-11-21,3.08,3.11,2.98,3.01,3.01,1524548
2025-11-24,3.07,3.13,2.96,2.96,2.96,11860350
2025-11-25,3,3.13,2.95,2.95,2.95,12115428
2025-11-26,2.96,3.06,2.955,3,3,3946901
2025-11-27,3.05,3.05,3,3.04,3.04,493507
2025-11-28,3.04,3.05,3.01,3.03,3.03,972080
2025-12-01,3.02,3.05,2.985,3,3,1090891
2025-12-02,3.05,3.05,2.96,2.99,2.99,584244
2025-12-03,2.97,2.99,2.95,2.99,2.99,1012986
2025-12-04,2.99,3.01,2.93,2.97,2.97,1024554
2025-12-05,3,3.06,2.96,3.02,3.02,3522493
2025-12-08,3,3.045,2.985,3.04,3.04,785132
2025-12-09,3.05,3.07,3.03,3.04,3.04,1175876
2025-12-10,3.07,3.26,3.035,3.1,3.1,3526673
2025-12-11,3.19,3.28,3.14,3.22,3.22,3819608
2025-12-12,3.23,3.26,3.205,3.22,3.22,1291473
2025-12-15,3.2,3.235,3.15,3.2,3.2,906422
2025-12-16,3.2,3.32,3.18,3.32,3.32,1575274
2025-12-17,3.27,3.4,3.26,3.39,3.39,1421402
2025-12-18,3.36,3.5,3.35,3.42,3.42,1270312
2025-12-19,3.42,3.54,3.42,3.45,3.45,13564847
2025-12-22,3.42,3.43,3.37,3.43,3.43,835943
2025-12-23,3.35,3.52,3.35,3.52,3.52,977297
2025-12-24,3.52,3.52,3.47,3.51,3.51,383107
2025-12-29,3.44,3.51,3.44,3.5,3.5,478019
2025-12-30,3.52,3.52,3.46,3.48,3.48,266499
2025-12-31,3.46,3.5,3.46,3.5,3.5,175992
2026-01-02,3.51,3.51,3.47,3.48,3.48,399936
2026-01-05,3.47,3.5,3.43,3.47,3.47,1744222
2026-01-06,3.47,3.47,3.32,3.33,3.33,1044871
2026-01-07,3.33,3.37,3.32,3.36,3.36,521951
2026-01-08,3.32,3.39,3.32,3.34,3.34,857508
2026-01-09,3.34,3.37,3.33,3.33,3.33,1076909
2026-01-12,3.39,3.39,3.27,3.32,3.32,630599
2026-01-13,3.28,3.35,3.28,3.31,3.31,666354
2026-01-14,3.25,3.38,3.25,3.36,3.36,1078168
2026-01-15,3.36,3.37,3.32,3.33,3.33,8164511
2026-01-16,3.33,3.335,3.27,3.27,3.27,377766
2026-01-19,3.28,3.31,3.24,3.3,3.3,391354
2026-01-20,3.26,3.33,3.26,3.31,3.31,989337
2026-01-21,3.29,3.3,3.25,3.3,3.3,665675
2026-01-22,3.3,3.315,3.26,3.29,3.29,479953
2026-01-23,3.25,3.32,3.24,3.25,3.25,747347
2026-01-27,3.25,3.29,3.2,3.2,3.2,1154787
2026-01-28,3.25,3.25,3.18,3.2,3.2,875242
2026-01-29,3.21,3.21,3.14,3.19,3.19,729070
2026-01-30,3.15,3.185,3.13,3.13,3.13,1098650
2026-02-02,3.19,3.19,3.115,3.15,3.15,1802761
2026-02-03,3.2,3.2,3.1,3.1,3.1,675404
2026-02-04,3.1,3.1,3.05,3.08,3.08,670225
2026-02-05,3.08,3.08,3.01,3.02,3.02,1492320
2026-02-06,3.01,3.02,2.96,2.99,2.99,1866413
2026-02-09,3,3.21,3,3.21,3.21,1045032
2026-02-10,3.23,3.28,3.18,3.21,3.21,992285
2026-02-11,3.24,3.35,3.23,3.3,3.3,1325103
2026-02-12,3.31,3.33,3.26,3.31,3.31,844137
2026-02-13,3.31,3.35,3.26,3.26,3.26,1123962
2026-02-16,3.26,3.29,3.22,3.27,3.27,381795
2026-02-17,3.25,3.31,3.23,3.29,3.29,515459
2026-02-18,3.29,3.31,3.265,3.3,3.3,1203686
2026-02-19,3.3,3.35,3.29,3.3,3.3,1002835
2026-02-20,3.33,3.33,3.19,3.2,3.2,716764
2026-02-23,3.2,3.2,3.15,3.16,3.16,442901
