Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,75.3,75.51,74.8,75,72.2541,106553
2025-07-23,75.6,75.79,75.42,75.79,73.0152,81856
2025-07-24,75.9,75.94,75.45,75.55,72.7839,112088
2025-07-25,75.41,75.41,75.06,75.2,72.4468,110497
2025-07-28,75.38,75.45,75.22,75.36,72.6009,140145
2025-07-29,75.25,75.42,74.9,75.4,72.6394,104533
2025-07-30,75.45,76.02,75.25,75.91,73.1308,175529
2025-07-31,75.5,75.62,75.29,75.57,72.8032,136033
2025-08-01,75.5,75.51,74.89,75.25,72.4949,157264
2025-08-04,75.24,75.24,74.83,75.12,72.3697,134078
2025-08-05,75.6,75.91,75.52,75.89,73.1115,130836
2025-08-06,75.99,76.24,75.91,76.22,73.4294,192237
2025-08-07,76.22,76.25,75.98,76.1,73.3138,124577
2025-08-08,76.1,76.2,75.84,76,73.2175,147891
2025-08-11,76.2,76.5,76.2,76.36,73.5643,116725
2025-08-12,76.5,77,76.37,76.86,74.046,115029
2025-08-13,77,77.12,76.24,76.48,73.6799,108613
2025-08-14,76.65,77.07,76.65,76.65,73.8437,99134
2025-08-15,76.84,77.5,76.8,77.5,74.6625,122063
2025-08-18,77.55,77.6,77.2,77.6,74.7589,168670
2025-08-19,77.6,77.7,77.4,77.68,74.836,113550
2025-08-20,77.7,78.87,77.7,78.52,75.6452,150454
2025-08-21,78.93,79.32,78.68,79.27,76.3677,138961
2025-08-22,79.33,79.46,79.05,79.46,76.5508,112398
2025-08-25,79.76,79.8,79.04,79.06,76.1654,173231
2025-08-26,79.15,79.3,78.69,78.84,75.9535,102372
2025-08-27,79.12,79.39,79.03,79.36,76.4545,124972
2025-08-28,79.45,79.7,79.4,79.7,76.782,102531
2025-08-29,79.61,79.91,79.46,79.63,76.7146,97864
2025-09-01,79.56,79.68,79.14,79.42,76.5123,189558
2025-09-02,79.25,79.63,79.21,79.25,76.3485,119988
2025-09-03,79.25,79.25,77.94,77.96,75.1057,181925
2025-09-04,78.26,79,78.26,78.94,76.0498,115880
2025-09-05,79.4,79.4,78.95,79.08,76.1847,106993
2025-09-08,78.97,78.97,78.44,78.67,75.7897,150082
2025-09-09,78.7,78.7,78.01,78.16,75.2984,112776
2025-09-10,78.2,78.58,78.16,78.5,75.6259,83975
2025-09-11,78.5,78.66,78.08,78.29,75.4236,103069
2025-09-12,78.45,78.93,78.45,78.74,75.8572,107011
2025-09-15,78.66,78.76,78.2,78.76,75.8764,133448
2025-09-16,79,79.06,78.83,78.98,76.0884,105647
2025-09-17,78.98,78.98,78.43,78.61,75.7319,106515
2025-09-18,78.61,78.68,77.64,77.64,74.7974,259756
2025-09-19,78.15,78.15,77.6,77.62,74.7782,192090
2025-09-22,77.95,78.08,77.58,77.76,74.913,156718
2025-09-23,77.8,78.3,77.7,78.03,75.1731,146002
2025-09-24,77.9,77.97,77.24,77.35,74.518,162475
2025-09-25,77.45,77.89,77.41,77.89,75.0383,100598
