Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.2,5.25,5.19,5.2,4.9891,1128041
2025-07-23,5.24,5.24,5.19,5.22,5.0082,1891438
2025-07-24,5.24,5.24,5.11,5.11,4.9027,1320077
2025-07-25,5.1,5.15,5.01,5.08,4.8739,1023208
2025-07-28,5.11,5.15,5.08,5.12,4.9123,1204611
2025-07-29,5.09,5.11,5.03,5.1,4.8931,1335933
2025-07-30,5.12,5.205,5.07,5.18,4.9699,1200185
2025-07-31,5.17,5.25,5.16,5.21,4.9986,1151042
2025-08-01,5.2,5.26,5.185,5.24,5.0274,992124
2025-08-04,5.19,5.23,5.17,5.2,4.9891,610796
2025-08-05,5.22,5.225,5.16,5.22,5.0082,1413653
2025-08-06,5.2,5.22,5.15,5.22,5.0082,1410137
2025-08-07,5.23,5.3,5.21,5.3,5.085,1730039
2025-08-08,5.29,5.3,5.25,5.25,5.037,1690817
2025-08-11,5.24,5.32,5.23,5.3,5.085,1126834
2025-08-12,5.28,5.34,5.25,5.32,5.1042,2426115
2025-08-13,5.34,5.355,5.15,5.2,4.9891,1748020
2025-08-14,4.97,5.28,4.82,5.28,5.0658,3269991
2025-08-15,5.3,5.51,5.25,5.5,5.2769,2544484
2025-08-18,5.49,5.56,5.445,5.52,5.2961,2324297
2025-08-19,5.53,5.53,5.41,5.43,5.2097,1737728
2025-08-20,5.5,5.57,5.44,5.49,5.2673,3888453
2025-08-21,5.52,5.58,5.47,5.58,5.3536,4047846
2025-08-22,5.6,5.61,5.49,5.54,5.3153,1873233
2025-08-25,5.56,5.62,5.52,5.53,5.3057,1871284
2025-08-26,5.54,5.555,5.46,5.55,5.3249,1969537
2025-08-27,5.55,5.57,5.49,5.52,5.2961,1495613
2025-08-28,5.48,5.5,5.4,5.45,5.3324,875906
2025-08-29,5.42,5.45,5.35,5.44,5.3226,1383440
2025-09-01,5.4,5.45,5.28,5.28,5.166,1252240
2025-09-02,5.29,5.32,5.25,5.32,5.2052,1246342
2025-09-03,5.29,5.31,5.18,5.18,5.0682,1287068
2025-09-04,5.23,5.28,5.19,5.19,5.078,954128
2025-09-05,5.22,5.26,5.19,5.2,5.0878,1033012
2025-09-08,5.25,5.25,5.05,5.05,4.941,1592294
