Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-29,0.0138,0.0168,0.0119,0.0158,0.0158,14525928
2025-04-30,0.0158,0.0168,0.0148,0.0148,0.0148,6173436
2025-05-01,0.0148,0.0158,0.0138,0.0158,0.0158,8385103
2025-05-02,0.0158,0.0168,0.0148,0.0158,0.0158,885780
2025-05-05,0.0148,0.0158,0.0148,0.0158,0.0158,2564181
2025-05-06,0.0158,0.0158,0.0158,0.0158,0.0158,3669575
2025-05-07,0.0158,0.0188,0.0158,0.0178,0.0178,9421837
2025-05-08,0.0168,0.0247,0.0168,0.0237,0.0237,11787782
2025-05-09,0.0227,0.0257,0.0198,0.0217,0.0217,16067267
2025-05-12,0.0227,0.0267,0.0227,0.0247,0.0247,7636398
2025-05-13,0.0257,0.0277,0.0237,0.0277,0.0277,10977154
2025-05-14,0.0267,0.0267,0.0247,0.0257,0.0257,6100300
2025-05-15,0.0257,0.0257,0.0247,0.0247,0.0247,6374329
2025-05-16,0.0247,0.0247,0.0237,0.0247,0.0247,3307044
2025-05-19,0.0247,0.0267,0.0247,0.0267,0.0267,3144762
2025-05-20,0.0267,0.0286,0.0257,0.0286,0.0286,4717947
2025-05-21,0.0296,0.0296,0.0277,0.0286,0.0286,4006419
2025-05-22,0.0286,0.0286,0.0237,0.0257,0.0257,4535399
2025-05-23,0.0257,0.0267,0.0237,0.0237,0.0237,3826786
2025-05-26,0.0267,0.0316,0.0267,0.0296,0.0296,19901940
2025-05-27,0.0296,0.0296,0.0267,0.0267,0.0267,8739865
2025-05-28,0.0267,0.0286,0.0257,0.0286,0.0286,8362133
2025-05-29,0.0267,0.0296,0.0267,0.0277,0.0277,2368926
2025-05-30,0.0286,0.0306,0.0286,0.0286,0.0286,5161156
2025-06-02,0.0296,0.0296,0.0277,0.0277,0.0277,2015677
2025-06-03,0.0286,0.0306,0.0267,0.0277,0.0277,4271136
2025-06-04,0.0286,0.0336,0.0286,0.0316,0.0316,13657121
2025-06-05,0.0326,0.0326,0.0296,0.0296,0.0296,6073310
2025-06-06,0.0296,0.0306,0.0286,0.0296,0.0296,6385860
