Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,65.45,65.82,64.21,65.82,61.1272,17932
2025-04-28,65.69,65.99,65.52,65.52,60.8486,19038
2025-04-29,66,66.88,65.74,66.62,61.8701,10734
2025-04-30,67,67.09,66.74,66.86,62.093,9428
2025-05-01,67,67.54,67,67.41,62.6038,23443
2025-05-02,68,68,67.1,67.88,63.0403,14365
2025-05-05,67.99,68.28,67.54,67.54,62.7245,8394
2025-05-06,67.92,68.32,67.63,68.05,63.1982,9101
2025-05-07,68.37,68.89,68.03,68.71,63.8111,6055
2025-05-08,68.93,69.77,68.93,69.45,64.4983,10118
2025-05-09,69.71,70,69.58,69.88,64.8977,12884
2025-05-12,70.05,70.22,69.77,69.77,64.7955,11682
2025-05-13,70,70.47,69.73,69.87,64.8884,43214
2025-05-14,69.58,70.34,69.58,69.96,64.972,15364
2025-05-15,69.25,69.8,69.25,69.45,64.4983,50611
2025-05-16,70,70.1,69.86,69.98,64.9906,11803
2025-05-19,69.67,69.78,69.1,69.1,64.1733,31442
2025-05-20,69.98,69.98,69.4,69.57,64.6098,14692
2025-05-21,70.06,70.48,70.06,70.27,65.2599,14956
2025-05-22,69.91,70.21,69.38,70,65.0091,20336
2025-05-23,70.11,70.53,70.1,70.3,65.2877,12697
2025-05-26,70.32,70.84,70.32,70.46,65.4363,17740
2025-05-27,70.62,70.88,70.45,70.6,65.5664,15081
2025-05-28,70.89,71.17,70.7,70.7,65.6592,10047
2025-05-29,70.93,71.2,70.84,70.87,65.8171,9126
2025-05-30,70.54,71.1,70.5,71.06,65.9936,12540
2025-06-02,71,71.13,70.69,70.69,65.6499,12459
2025-06-03,71.19,71.3,70.86,70.95,65.8914,13562
2025-06-04,71.2,71.83,71.2,71.71,66.5972,15601
2025-06-05,72,72.17,71.89,71.97,66.8387,13915
2025-06-06,71.92,72.21,71.5,71.53,66.43,8814
2025-06-10,71.8,72.06,71.71,71.95,66.8201,20068
2025-06-11,71.85,72.2,71.85,71.96,66.8294,12959
2025-06-12,71.95,72.34,71.79,71.79,66.6715,17524
2025-06-13,71.96,72.14,71.5,71.96,66.8294,16758
2025-06-16,71.96,72.24,71.67,71.67,66.5601,10764
2025-06-17,71.87,72.24,71.69,71.91,66.783,32352
2025-06-18,72.23,72.23,71.69,71.69,66.5786,9652
2025-06-19,71.91,71.91,71.05,71.06,65.9936,7376
2025-06-20,71.29,71.29,70.81,71.12,66.0493,13734
2025-06-23,71.12,71.12,70.295,70.38,65.362,21240
2025-06-24,71.22,71.27,70.94,71.04,65.975,13160
2025-06-25,71.04,71.04,70.65,70.77,65.7242,12541
2025-06-26,70.78,71,70.28,70.95,65.8914,46495
2025-06-27,71.39,71.84,71.23,71.25,66.17,25111
2025-06-30,71.32,71.6,71.25,71.58,66.4765,21502
2025-07-01,68.5,69.4,67.59,67.65,66.526,43253
2025-07-02,67.65,68.04,67.65,67.96,66.8309,28219
2025-07-03,68,68.11,67.54,68.09,66.9587,15399
2025-07-04,68.33,68.56,68.28,68.3,67.1652,37953
2025-07-07,68.4,68.41,68.07,68.07,66.9391,11621
2025-07-08,68,68.54,67.9,68.08,66.9489,14776
2025-07-09,68.16,68.16,67.73,67.93,66.8014,35148
2025-07-10,68.39,68.41,68.06,68.28,67.1456,14514
2025-07-11,68.6,68.77,68.09,68.11,66.9784,18252
2025-07-14,67.91,68.56,67.91,68.38,67.2439,18685
2025-07-15,68.78,69.02,68.7,68.92,67.7749,20580
2025-07-16,68.71,68.78,68.38,68.74,67.5979,22598
2025-07-17,68.93,69.49,68.89,69.08,67.9323,31974
2025-07-18,69.5,70.27,69.5,70.26,69.0927,25994
2025-07-21,70.01,70.06,69.48,69.61,68.4535,20388
2025-07-22,69.65,70.23,69.65,70.2,69.0337,22981
2025-07-23,70.43,70.69,70.43,70.6,69.427,15561
2025-07-24,70.73,70.79,70.3,70.35,69.1812,17881
2025-07-25,70.3,70.3,70,70.1,68.9353,18981
2025-07-28,70.13,70.25,69.87,69.87,68.7092,45274
2025-07-29,69.15,69.71,69.15,69.61,68.4535,16368
2025-07-30,69,70.2,69,70.12,68.955,237493
2025-07-31,69.74,69.76,69.31,69.76,68.601,33447
2025-08-01,69.41,69.54,69.06,69.54,68.3846,15644
2025-08-04,69.3,69.82,69.08,69.67,68.5125,21780
2025-08-05,70.4,70.76,70.4,70.62,69.4467,19824
2025-08-06,70.68,71.44,70.68,71.37,70.1842,33362
2025-08-07,71.6,71.76,71.48,71.76,70.5678,18632
2025-08-08,71.5,72.14,71.5,72.04,70.8431,17871
2025-08-11,72.19,72.44,72.05,72.14,70.9414,37414
2025-08-12,72.4,72.4,71.96,72.27,71.0693,17211
2025-08-13,71.5,72.61,71.5,72.29,71.0889,17933
2025-08-14,72.48,72.99,72.48,72.67,71.4626,27591
2025-08-15,72.89,73.26,72.71,73.26,72.0428,17093
2025-08-18,73.2,73.61,72.79,73.46,72.2395,15443
2025-08-19,73.25,73.48,73.03,73.44,72.2198,39680
2025-08-20,73.57,73.68,72.91,72.97,71.7576,26400
2025-08-21,73.23,74.1,73.23,74.04,72.8099,24059
2025-08-22,74.11,74.2,73.51,73.51,72.2887,67503
2025-08-25,74.13,74.93,74.13,74.93,73.6851,14134
2025-08-26,74.89,74.89,74.135,74.3,73.0656,17606
2025-08-27,75.01,75.14,74.84,75.06,73.8129,22554
2025-08-28,75.17,75.17,74.34,74.34,73.1049,25544
2025-08-29,74.5,75.15,74.35,75.15,73.9014,15476
2025-09-01,75.5,75.5,75.01,75.28,74.0293,21140
2025-09-02,75.28,75.42,74.69,74.7,73.4589,22722
2025-09-03,74.51,74.93,73.78,73.78,72.5542,14839
2025-09-04,74.12,74.47,74,74.14,72.9082,15581
2025-09-05,75,75.38,74.51,75.2,73.9506,12660
2025-09-08,75.17,75.18,74.895,74.93,73.6851,13504
2025-09-09,75.01,75.2,74.9,75.19,73.9408,18124
2025-09-10,74.9,74.9,74.36,74.71,73.4687,20042
2025-09-11,74.71,74.88,74.57,74.71,73.4687,56171
2025-09-12,75,75.4,74.96,75.14,73.8916,23450
2025-09-15,74.95,75.41,74.63,75.39,74.1374,16349
2025-09-16,75.5,76.04,75.5,75.84,74.58,20505
2025-09-17,76.26,76.83,75.43,75.45,74.1964,31999
2025-09-18,76,76.03,75.18,75.59,74.3341,30687
2025-09-19,75.84,76.41,75.84,75.92,74.6586,19163
2025-09-22,76.4,76.58,76.24,76.36,75.0913,20393
2025-09-23,76.8,76.92,76.49,76.88,75.6027,25154
2025-09-24,77.8,77.8,76.11,76.42,75.1503,70808
2025-09-25,76.17,76.66,76.01,76.28,75.0127,20265
2025-09-26,76.27,77.67,75.96,76.12,74.8553,18575
2025-09-29,76.3,77.06,76.22,76.22,74.9537,21425
2025-09-30,76.77,77.15,76.67,76.79,75.5142,24899
