Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.06,4.13,4.01,4.05,4.05,1090733
2025-07-23,4.37,4.57,4.16,4.2,4.2,2257326
2025-07-24,4.22,4.41,4.08,4.31,4.31,1259858
2025-07-25,4.26,4.41,4.15,4.34,4.34,1223243
2025-07-28,4.3,4.34,3.93,3.95,3.95,1119874
2025-07-29,3.9,4,3.83,3.95,3.95,964274
2025-07-30,3.99,4.04,3.71,3.98,3.98,1133167
2025-07-31,3.83,3.89,3.62,3.64,3.64,1300923
2025-08-01,3.65,3.73,3.645,3.72,3.72,559035
2025-08-04,3.72,3.87,3.7,3.84,3.84,699118
2025-08-05,3.87,3.96,3.86,3.87,3.87,866834
2025-08-06,3.8,3.93,3.77,3.83,3.83,585423
2025-08-07,3.81,3.82,3.64,3.7,3.7,1331119
2025-08-08,3.7,3.74,3.67,3.71,3.71,741648
2025-08-11,3.81,4.07,3.81,4.01,4.01,2268667
2025-08-12,3.97,4.01,3.71,3.76,3.76,2148365
2025-08-13,3.71,3.755,3.68,3.7,3.7,1085575
2025-08-14,3.73,3.81,3.62,3.65,3.65,1113868
2025-08-15,3.63,3.7,3.58,3.68,3.68,623441
2025-08-18,3.71,3.83,3.68,3.75,3.75,974324
2025-08-19,3.75,3.795,3.71,3.77,3.77,1104868
2025-08-20,3.76,3.78,3.51,3.55,3.55,1487123
2025-08-21,3.6,3.63,3.535,3.6,3.6,1012055
2025-08-22,3.65,3.69,3.57,3.65,3.65,881223
2025-08-25,3.69,3.905,3.69,3.89,3.89,1621980
2025-08-26,3.82,3.88,3.755,3.87,3.87,1552176
2025-08-27,3.86,3.98,3.82,3.98,3.98,1312419
2025-08-28,3.95,4,3.84,3.99,3.99,1422380
2025-08-29,3.99,4.23,3.99,4.14,4.14,1789035
2025-09-01,4.07,4.11,3.99,4.03,4.03,862699
2025-09-02,4.02,4.03,3.87,3.91,3.91,662981
2025-09-03,3.88,3.88,3.72,3.72,3.72,961998
2025-09-04,3.73,3.82,3.67,3.69,3.69,941412
2025-09-05,3.87,4.02,3.75,4,4,1660750
2025-09-08,3.97,4.13,3.97,4.08,4.08,1208554
2025-09-09,4.07,4.07,3.855,3.88,3.88,1035664
2025-09-10,3.97,4.04,3.69,3.75,3.75,1750495
2025-09-11,3.85,3.91,3.72,3.73,3.73,1105337
2025-09-12,3.8,3.81,3.7,3.75,3.75,650308
2025-09-15,3.75,4.34,3.75,4.19,4.19,3717431
2025-09-16,4.17,4.4,4.165,4.25,4.25,1392520
2025-09-17,4.27,4.585,4.25,4.44,4.44,1915925
2025-09-18,4.38,4.805,4.38,4.69,4.69,2421178
2025-09-19,4.9,4.9,4.635,4.72,4.72,9678857
2025-09-22,4.7,4.77,4.56,4.6,4.6,807050
2025-09-23,4.65,4.8,4.65,4.75,4.75,690942
2025-09-24,4.75,5.07,4.72,5.07,5.07,993553
2025-09-25,5.06,5.06,4.735,5,5,1251927
2025-09-26,5.4,5.84,5.26,5.78,5.78,3548436
2025-09-29,5.64,5.82,5.54,5.68,5.68,1285787
2025-09-30,5.88,6,5.77,6,6,1884587
2025-10-01,5.81,5.825,5.54,5.57,5.57,1362482
