Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.27,2.42,2.27,2.4,2.4,5583553
2025-07-23,2.47,2.48,2.38,2.42,2.42,6580700
2025-07-24,2.36,2.4,2.32,2.39,2.39,3160861
2025-07-25,2.38,2.43,2.375,2.38,2.38,2829259
2025-07-28,2.38,2.39,2.28,2.29,2.29,4699814
2025-07-29,2.31,2.35,2.265,2.3,2.3,4554847
2025-07-30,2.36,2.46,2.33,2.39,2.39,6528113
2025-07-31,2.38,2.39,2.32,2.35,2.35,4598068
2025-08-01,2.33,2.34,2.24,2.26,2.26,5640617
2025-08-04,2.34,2.38,2.29,2.33,2.33,6558998
2025-08-05,2.4,2.47,2.36,2.47,2.47,6690305
2025-08-06,2.52,2.64,2.52,2.61,2.61,6607387
2025-08-07,2.61,2.7,2.61,2.66,2.66,3641958
2025-08-08,2.69,2.7,2.65,2.67,2.67,3558716
2025-08-11,2.7,2.76,2.7,2.71,2.71,4528905
2025-08-12,2.65,2.7,2.61,2.68,2.68,3013956
2025-08-13,2.71,2.72,2.645,2.7,2.7,3558910
2025-08-14,2.69,2.74,2.68,2.73,2.73,3378407
2025-08-15,2.71,2.78,2.68,2.77,2.77,2295270
2025-08-18,2.76,2.77,2.69,2.71,2.71,2512838
2025-08-19,2.7,2.72,2.66,2.68,2.68,2163735
2025-08-20,2.62,2.65,2.55,2.63,2.63,3242886
2025-08-21,2.7,2.74,2.68,2.7,2.7,2900286
2025-08-22,2.73,2.79,2.72,2.79,2.79,3362508
2025-08-25,2.85,2.89,2.78,2.85,2.85,6531508
2025-08-26,2.96,3.07,2.85,2.9,2.9,7182270
2025-08-27,3.01,3.09,2.99,3.04,3.04,6297174
2025-08-28,3.04,3.04,3.04,3.04,3.04,0
2025-08-29,3.04,3.04,3.04,3.04,3.04,0
2025-09-01,3.04,3.04,3.04,3.04,3.04,0
2025-09-02,3.04,3.04,3.04,3.04,3.04,0
2025-09-03,3.04,3.04,3.04,3.04,3.04,0
2025-09-04,3.04,3.04,3.04,3.04,3.04,0
2025-09-05,3.04,3.04,3.04,3.04,3.04,0
2025-09-08,3.04,3.04,3.04,3.04,3.04,0
2025-09-09,3.04,3.04,3.04,3.04,3.04,0
2025-09-10,3.04,3.04,3.04,3.04,3.04,0
2025-09-11,3.04,3.04,3.04,3.04,3.04,0
2025-09-12,3.04,3.04,3.04,3.04,3.04,0
2025-09-15,3.04,3.04,3.04,3.04,3.04,0
2025-09-16,3.04,3.04,3.04,3.04,3.04,0
2025-09-17,3.04,3.04,3.04,3.04,3.04,0
2025-09-18,3.04,3.04,3.04,3.04,3.04,0
2025-09-19,3.04,3.04,3.04,3.04,3.04,0
2025-09-22,3.04,3.04,3.04,3.04,3.04,0
2025-09-23,3.04,3.04,3.04,3.04,3.04,0
2025-09-24,3.04,3.04,3.04,3.04,3.04,0
2025-09-25,3.04,3.04,3.04,3.04,3.04,0
2025-09-26,3.04,3.04,3.04,3.04,3.04,0
2025-09-29,3.04,3.04,3.04,3.04,3.04,0
2025-09-30,3.04,3.04,3.04,3.04,3.04,0
2025-10-01,3.04,3.04,3.04,3.04,3.04,0
2025-10-02,3.04,3.04,3.04,3.04,3.04,0
2025-10-03,3.04,3.04,3.04,3.04,3.04,0
2025-10-06,3.04,3.04,3.04,3.04,3.04,0
2025-10-07,3.04,3.04,3.04,3.04,3.04,0
2025-10-08,3.04,3.04,3.04,3.04,3.04,0
2025-10-09,3.04,3.04,3.04,3.04,3.04,0
2025-10-10,3.04,3.04,3.04,3.04,3.04,0
2025-10-13,3.04,3.04,3.04,3.04,3.04,0
2025-10-14,3.04,3.04,3.04,3.04,3.04,0
2025-10-15,3.04,3.04,3.04,3.04,3.04,0
2025-10-16,3.04,3.04,3.04,3.04,3.04,0
2025-10-17,3.04,3.04,3.04,3.04,3.04,0
2025-10-20,3.04,3.04,3.04,3.04,3.04,0
2025-10-21,3.04,3.04,3.04,3.04,3.04,0
2025-10-22,3.04,3.04,3.04,3.04,3.04,0
2025-10-23,3.04,3.04,3.04,3.04,3.04,0
2025-10-24,3.04,3.04,3.04,3.04,3.04,0
2025-10-27,3.04,3.04,3.04,3.04,3.04,0
2025-10-28,3.04,3.04,3.04,3.04,3.04,0
2025-10-29,3.04,3.04,3.04,3.04,3.04,0
2025-10-30,3.04,3.04,3.04,3.04,3.04,0
