Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.66,1.665,1.65,1.65,1.5114,617337
2025-07-23,1.655,1.675,1.655,1.675,1.5343,607808
2025-07-24,1.675,1.675,1.655,1.67,1.5297,812774
2025-07-25,1.67,1.67,1.655,1.655,1.516,676399
2025-07-28,1.66,1.67,1.65,1.665,1.5251,772520
2025-07-29,1.665,1.675,1.66,1.665,1.5251,712982
2025-07-30,1.66,1.67,1.655,1.655,1.516,853382
2025-07-31,1.655,1.675,1.655,1.66,1.5205,929885
2025-08-01,1.665,1.685,1.665,1.675,1.5343,1167585
2025-08-04,1.675,1.68,1.67,1.675,1.5343,1147501
2025-08-05,1.68,1.69,1.68,1.68,1.5389,1697103
2025-08-06,1.69,1.71,1.69,1.705,1.5618,802365
2025-08-07,1.71,1.72,1.7025,1.705,1.5618,515646
2025-08-08,1.705,1.715,1.7,1.7,1.5572,648811
2025-08-11,1.71,1.72,1.7,1.7,1.5572,1093038
2025-08-12,1.705,1.72,1.705,1.705,1.5618,636173
2025-08-13,1.715,1.73,1.705,1.705,1.5618,1121433
2025-08-14,1.715,1.73,1.7,1.72,1.5755,1476379
2025-08-15,1.725,1.735,1.715,1.725,1.5801,814498
2025-08-18,1.73,1.74,1.73,1.73,1.5847,579752
2025-08-19,1.735,1.74,1.71,1.72,1.5755,1122960
2025-08-20,1.725,1.735,1.72,1.72,1.5755,846319
2025-08-21,1.735,1.74,1.73,1.74,1.5938,970988
2025-08-22,1.74,1.74,1.725,1.725,1.5801,1101181
2025-08-25,1.735,1.745,1.7275,1.73,1.5847,806134
2025-08-26,1.735,1.74,1.73,1.735,1.5892,527367
2025-08-27,1.74,1.74,1.73,1.73,1.5847,821709
2025-08-28,1.735,1.74,1.73,1.73,1.5847,731687
2025-08-29,1.73,1.74,1.72,1.72,1.5755,1202335
2025-09-01,1.735,1.74,1.725,1.735,1.5892,799034
2025-09-02,1.74,1.75,1.73,1.75,1.603,1164728
2025-09-03,1.75,1.755,1.74,1.745,1.5984,472848
2025-09-04,1.745,1.775,1.745,1.77,1.6213,952491
2025-09-05,1.77,1.79,1.7625,1.77,1.6213,865677
2025-09-08,1.77,1.77,1.755,1.76,1.6121,853930
2025-09-09,1.765,1.79,1.765,1.78,1.6305,869079
2025-09-10,1.78,1.79,1.775,1.78,1.6305,468832
2025-09-11,1.78,1.79,1.77,1.77,1.6213,934948
2025-09-12,1.78,1.79,1.78,1.785,1.635,654392
2025-09-15,1.785,1.81,1.785,1.8,1.6488,1129733
2025-09-16,1.81,1.85,1.81,1.81,1.6579,903479
2025-09-17,1.82,1.83,1.82,1.82,1.6671,601575
2025-09-18,1.82,1.845,1.81,1.845,1.69,765296
2025-09-19,1.845,1.85,1.825,1.845,1.69,1270774
2025-09-22,1.85,1.85,1.835,1.84,1.6854,1246135
2025-09-23,1.84,1.87,1.84,1.86,1.7037,704702
2025-09-24,1.86,1.875,1.845,1.86,1.7037,688463
2025-09-25,1.86,1.89,1.855,1.885,1.7266,1065901
2025-09-26,1.885,1.9,1.865,1.88,1.7221,874811
2025-09-29,1.895,1.915,1.89,1.9,1.7404,1017468
2025-09-30,1.905,1.92,1.895,1.9,1.7404,754615
2025-10-01,1.9,1.92,1.885,1.91,1.7495,1359994
2025-10-02,1.92,1.92,1.895,1.9,1.7404,1047654
2025-10-03,1.9,1.905,1.895,1.9,1.7404,1132501
2025-10-06,1.9,1.915,1.9,1.905,1.745,1193498
2025-10-07,1.915,1.915,1.905,1.905,1.745,627379
2025-10-08,1.905,1.92,1.9,1.905,1.745,1545700
2025-10-09,1.905,1.925,1.905,1.915,1.7541,1312510
2025-10-10,1.92,1.92,1.9,1.9,1.7404,920439
2025-10-13,1.9,1.905,1.865,1.9,1.7404,2034307
2025-10-14,1.9,1.905,1.89,1.905,1.745,850493
2025-10-15,1.9,1.91,1.895,1.895,1.7358,1657239
2025-10-16,1.9,1.91,1.895,1.895,1.7358,1026599
2025-10-17,1.895,1.905,1.895,1.9,1.7404,1099199
2025-10-20,1.825,1.83,1.78,1.8,1.7189,3096332
2025-10-21,1.8,1.83,1.785,1.785,1.7046,2236953
