Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.26,2.26,2.1,2.13,2.13,590374
2025-07-23,2.11,2.16,2.05,2.14,2.14,514784
2025-07-24,2.15,2.24,2.13,2.2,2.2,514267
2025-07-25,2.17,2.21,2.13,2.17,2.17,326676
2025-07-28,2.18,2.18,2.1,2.12,2.12,380620
2025-07-29,2.1,2.18,2.07,2.17,2.17,274588
2025-07-30,2.15,2.16,2.02,2.03,2.03,670102
2025-07-31,2.01,2.445,1.95,2.42,2.42,2045364
2025-08-01,2.47,2.51,2.21,2.28,2.28,1501226
2025-08-04,2.26,2.315,2.2,2.27,2.27,543055
2025-08-05,2.3,2.44,2.3,2.42,2.42,783747
2025-08-06,2.41,2.45,2.33,2.4,2.4,649328
2025-08-07,2.4,2.55,2.38,2.49,2.49,777364
2025-08-08,2.51,2.51,2.24,2.26,2.26,1081824
2025-08-11,2.23,2.28,2.2,2.22,2.22,444579
2025-08-12,2.2,2.21,2.14,2.19,2.19,407038
2025-08-13,2.23,2.3,2.13,2.14,2.14,681299
2025-08-14,2.14,2.195,2.11,2.17,2.17,563999
2025-08-15,2.17,2.55,2.15,2.5,2.5,1445106
2025-08-18,2.54,2.91,2.535,2.87,2.87,2783753
2025-08-19,2.9,2.95,2.53,2.95,2.95,2241074
2025-08-20,2.93,2.94,2.63,2.72,2.72,1214911
2025-08-21,2.73,2.92,2.67,2.89,2.89,897640
2025-08-22,2.85,3.02,2.82,2.95,2.95,909368
2025-08-25,3,3.04,2.82,2.85,2.85,828410
2025-08-26,2.83,2.85,2.77,2.83,2.83,280823
2025-08-27,2.88,2.885,2.775,2.81,2.81,593939
2025-08-28,2.93,3.08,2.83,2.83,2.83,1180302
2025-08-29,2.93,2.94,2.79,2.83,2.83,619252
2025-09-01,2.75,2.75,2.6,2.68,2.68,761843
2025-09-02,2.69,2.71,2.59,2.63,2.63,552722
2025-09-03,2.57,2.58,2.44,2.44,2.44,1052781
2025-09-04,2.45,2.58,2.43,2.48,2.48,970371
2025-09-05,2.5,2.64,2.455,2.61,2.61,895667
2025-09-08,2.64,2.64,2.54,2.59,2.59,490533
2025-09-09,2.55,2.6,2.51,2.53,2.53,410307
2025-09-10,2.51,2.57,2.49,2.53,2.53,415810
2025-09-11,2.53,2.54,2.47,2.5,2.5,320158
2025-09-12,2.48,2.65,2.47,2.57,2.57,488128
2025-09-15,2.58,2.73,2.53,2.73,2.73,538945
2025-09-16,2.74,2.99,2.73,2.88,2.88,1451374
2025-09-17,2.87,3.01,2.85,2.95,2.95,966164
2025-09-18,2.91,2.96,2.87,2.89,2.89,330340
2025-09-19,2.92,3.31,2.92,3.2,3.2,2684844
2025-09-22,3.25,3.305,3.13,3.26,3.26,713334
2025-09-23,3.33,3.37,3.13,3.22,3.22,872520
2025-09-24,3.15,3.2,3.1,3.2,3.2,449809
2025-09-25,3.2,3.39,3.05,3.29,3.29,1138086
2025-09-26,3.29,3.32,3.2,3.32,3.32,475288
2025-09-29,3.37,3.4,3.2,3.24,3.24,458082
2025-09-30,3.23,3.28,3.16,3.18,3.18,677339
2025-10-01,3.18,3.47,3.14,3.37,3.37,926029
2025-10-02,3.38,3.62,3.38,3.52,3.52,1073993
2025-10-03,3.52,3.63,3.44,3.57,3.57,773673
2025-10-06,3.72,3.84,3.6,3.8,3.8,1510533
2025-10-07,3.92,4.18,3.92,4.07,4.07,1806658
2025-10-08,4.1,4.35,4.01,4.28,4.28,1286466
2025-10-09,4.35,4.42,4.17,4.26,4.26,1235988
2025-10-10,4.27,4.61,4.24,4.56,4.56,1300568
2025-10-13,4.38,4.46,4.23,4.27,4.27,1355418
2025-10-14,4.36,4.41,4.04,4.12,4.12,1192008
2025-10-15,4.12,4.16,3.92,4.04,4.04,1027816
2025-10-16,3.99,4,3.87,3.99,3.99,629958
2025-10-17,3.98,4.24,3.91,4.11,4.11,1292745
2025-10-20,4.1,4.1,3.83,3.89,3.89,829644
2025-10-21,3.95,4.21,3.94,4.08,4.08,926657
2025-10-22,4.33,4.89,4.33,4.85,4.85,2681293
2025-10-23,4.75,5.1,4.67,4.8,4.8,1926640
2025-10-24,4.83,5.135,4.59,5.12,5.12,1683602
2025-10-27,5.1,5.25,4.87,4.97,4.97,1150964
2025-10-28,4.96,5.435,4.92,5.42,5.42,1379871
2025-10-29,5.43,5.59,5.23,5.32,5.32,996962
2025-10-30,5.3,5.34,5.17,5.25,5.25,835839
2025-10-31,5.24,5.55,5.2,5.44,5.44,582292
2025-11-03,5.4,5.65,5.13,5.15,5.15,1344110
2025-11-04,5.15,5.15,4.51,4.61,4.61,1764051
