Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,24.58,24.85,24.41,24.85,23.4449,3294709
2025-07-23,25.13,25.44,24.87,25.21,23.7845,4635192
2025-07-24,25.55,25.74,25.26,25.26,23.8317,4724666
2025-07-25,25.35,26.325,25.28,26.2,24.7185,7292553
2025-07-28,26.19,26.49,26.04,26.19,24.7091,3473886
2025-07-29,26.3,26.67,26.25,26.6,25.0959,5026246
2025-07-30,27,27.07,26.49,26.57,25.0676,5448283
2025-07-31,26.46,26.63,26.24,26.59,25.0865,4275019
2025-08-01,26.4,26.59,26.21,26.53,25.0299,2647575
2025-08-04,26,26.23,25.92,26.19,24.7091,3374321
2025-08-05,26.4,26.57,26.35,26.56,25.0582,3016753
2025-08-06,26.75,27.02,26.6,26.9,25.3789,3721378
2025-08-07,26.9,27,26.73,27,25.4733,2817418
2025-08-08,26.75,26.975,26.63,26.83,25.3129,3340623
2025-08-11,26.83,27.02,26.83,27.02,25.4922,2475078
2025-08-12,27,27.05,26.86,27.02,25.4922,2791302
2025-08-13,26.99,27.1,26.78,26.78,25.2657,3511035
2025-08-14,26.85,26.96,26.67,26.76,25.2469,2603701
2025-08-15,26.98,26.98,26.67,26.82,25.3035,3340376
2025-08-18,26.75,26.9,26.62,26.89,25.3695,3368216
2025-08-19,26.75,27.15,26.02,26.14,24.6619,6129915
2025-08-20,26.18,26.3,25.7,26.16,24.6808,5564965
2025-08-21,26.4,26.65,26.17,26.51,25.011,5045052
2025-08-22,26.72,26.9,26.61,26.61,25.1053,5904830
2025-08-25,26.85,27.03,26.75,26.85,25.3318,5154676
2025-08-26,27.1,27.3,26.665,27.03,25.5016,7501868
2025-08-27,27.01,27.21,26.97,27.08,25.5488,4683533
2025-08-28,26.16,26.24,25.92,26.15,25.44,4353289
2025-08-29,26.3,26.43,26.12,26.41,25.6929,3892628
2025-09-01,26.36,26.4,26.03,26.13,25.4205,2955846
2025-09-02,25.97,26.16,25.86,26.15,25.44,2814753
2025-09-03,26.34,26.53,25.83,25.95,25.2454,5350111
2025-09-04,25.42,25.79,25.26,25.77,25.0703,4675934
2025-09-05,25.68,25.76,25.51,25.68,24.9827,3429559
2025-09-08,25.15,25.16,24.67,24.98,24.3018,4983285
2025-09-09,25,25,24.61,24.68,24.0099,3092567
2025-09-10,24.61,24.845,24.57,24.77,24.0975,2649646
2025-09-11,24.99,25.15,24.82,25.07,24.3893,3846992
2025-09-12,25,25.02,24.14,24.22,23.5624,6196737
2025-09-15,24.25,24.33,24,24.21,23.5527,3427037
2025-09-16,24.07,24.36,24.06,24.28,23.6208,3206340
2025-09-17,24.38,24.62,24.36,24.6,23.9321,3920013
2025-09-18,23.76,23.81,23.04,23.06,22.4339,12622634
2025-09-19,23.24,23.34,23.03,23.03,22.4047,11677481
2025-09-22,22.82,22.835,22.58,22.81,22.1907,5879261
2025-09-23,22.81,22.91,22.7,22.87,22.249,2921764
2025-09-24,23,23.16,22.87,22.87,22.249,4761959
2025-09-25,23.14,23.52,23.04,23.45,22.8133,6585720
2025-09-26,23.6,23.6,23.27,23.33,22.6966,4053362
2025-09-29,23.47,23.54,23.31,23.42,22.7841,3203415
2025-09-30,23,23.03,22.85,23.03,22.4047,6101261
2025-10-01,22.81,22.91,22.68,22.85,22.2296,4909179
2025-10-02,22.98,23.1,22.82,23.01,22.3852,4019973
2025-10-03,22.89,23.12,22.88,23,22.3755,3695704
2025-10-06,23.02,23.3,23.02,23.15,22.5214,2465782
2025-10-07,23.11,23.33,23.01,23.01,22.3852,3853022
2025-10-08,23.07,23.11,22.79,22.81,22.1907,3101357
2025-10-09,22.97,23,22.71,22.82,22.2004,3113470
2025-10-10,22.65,22.7,22.485,22.55,21.9377,5681249
2025-10-13,22.11,22.27,21.96,22.27,21.6653,4101182
2025-10-14,22.27,22.46,22.08,22.35,21.7432,4100485
2025-10-15,22.45,22.46,22.13,22.43,21.821,5169388
2025-10-16,22.44,22.78,22.24,22.7,22.0837,3541151
2025-10-17,22.38,22.5,22.1,22.1,21.5,5561724
2025-10-20,22.2,22.26,22.01,22.26,21.6556,3524182
2025-10-21,22.28,22.64,22.22,22.39,21.7821,4581724
2025-10-22,23.26,23.38,22.89,23.17,22.5409,6338244
2025-10-23,23.75,24.29,23.7,24.17,23.5137,6992666
2025-10-24,24.42,24.64,24.21,24.4,23.7375,5044669
2025-10-27,24.4,24.725,24.23,24.69,24.0196,4129232
2025-10-28,24.6,24.655,24.22,24.26,23.6013,3674494
2025-10-29,24.05,24.18,23.91,24.16,23.504,3100267
2025-10-30,24.36,24.57,24.3,24.5,23.8348,3988820
2025-10-31,24.5,24.85,24.36,24.8,24.1266,4962034
2025-11-03,24.8,25.185,24.79,25.12,24.438,3448707
2025-11-04,25.06,25.07,24.85,24.94,24.2628,2545326
2025-11-05,24.93,25.16,24.83,25.16,24.4769,4151152
2025-11-06,25.15,25.6,25.13,25.56,24.866,4385654
2025-11-07,25.8,26.07,25.67,25.84,25.1384,4640984
2025-11-10,26.03,26.26,25.96,26.14,25.4303,4268404
2025-11-11,26.2,26.65,26.19,26.55,25.8291,4398786
2025-11-12,26.74,26.925,26.66,26.92,26.1891,4152356
2025-11-13,26.4,26.48,25.93,26.16,25.4497,4279824
2025-11-14,26,26.45,25.88,26.24,25.5275,3416305
2025-11-17,26.25,26.6,26.21,26.47,25.7513,3928614
2025-11-18,26.3,26.45,25.775,25.96,25.2551,4167313
2025-11-19,26.3,26.44,26.11,26.27,25.5567,3181795
2025-11-20,25.96,26.19,25.9,26.12,25.4108,3961840
2025-11-21,25.91,25.97,25.41,25.41,24.7201,4895233
2025-11-24,25.31,25.49,24.91,25.08,24.399,6635707
2025-11-25,25.02,25.15,24.95,25.11,24.4282,2610355
2025-11-26,25.03,25.32,24.93,25.27,24.5839,5187721
2025-11-27,25.2,25.35,24.93,25.02,24.3407,1965585
2025-11-28,25.03,25.12,24.89,24.93,24.2531,3203115
2025-12-01,24.93,25.25,24.87,25.16,24.4769,3492178
2025-12-02,25.57,25.58,25.29,25.4,24.7104,3494099
2025-12-03,25.4,25.5,25.28,25.4,24.7104,6149814
2025-12-04,25.6,25.69,25.43,25.55,24.8563,3419352
2025-12-05,25.57,25.69,25.14,25.15,24.4671,4713697
2025-12-08,25.2,25.37,25.04,25.2,24.5158,2313343
2025-12-09,25.02,25.11,24.82,24.9,24.2239,3696389
2025-12-10,24.85,24.935,24.61,24.69,24.0196,3493512
2025-12-11,24.7,24.83,24.67,24.75,24.078,3323815
2025-12-12,24.47,24.79,24.3,24.73,24.0585,4018994
2025-12-15,24.75,24.8,24.51,24.55,23.8834,2634515
2025-12-16,24.35,24.405,23.91,23.99,23.3386,4246598
2025-12-17,23.55,23.72,23.37,23.42,22.7841,6190482
2025-12-18,22.9,23.26,22.75,22.8,22.1809,8340210
2025-12-19,22.33,22.86,22.25,22.8,22.1809,10886790
2025-12-22,22.89,23.13,22.75,22.99,22.3658,4274645
2025-12-23,23.05,23.48,22.97,23.27,22.6382,4566662
2025-12-24,23.3,23.33,23.16,23.16,22.5312,1975820
2025-12-29,23.12,23.17,23.01,23.08,22.4533,2881224
2025-12-30,23.4,23.5,23.31,23.37,22.7355,2500895
2025-12-31,23.4,23.69,23.37,23.59,22.9495,1958795
2026-01-02,23.73,23.78,23.56,23.66,23.0176,1937428
2026-01-05,23.67,24.01,23.25,23.33,22.6966,4191764
2026-01-06,23.56,23.59,23.31,23.52,22.8814,4050919
2026-01-07,23.31,23.34,22.85,22.86,22.2393,4907389
2026-01-08,22.85,23.08,22.83,22.95,22.3269,3464919
2026-01-09,23.38,23.68,23.28,23.59,22.9495,5110120
2026-01-12,23.75,24.08,23.72,23.72,23.076,3254281
2026-01-13,23.95,23.96,23.28,23.31,22.6771,4712921
2026-01-14,23.64,24.04,23.62,23.92,23.2705,4935587
