Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.13,4.23,4.13,4.19,4.19,1390622
2025-04-28,4.22,4.28,4.19,4.21,4.21,1139974
2025-04-29,4.2,4.3,4.2,4.28,4.28,1073593
2025-04-30,4.33,4.34,4.26,4.31,4.31,1793820
2025-05-01,4.3,4.35,4.23,4.34,4.34,1405971
2025-05-02,4.3,4.315,4.12,4.16,4.16,3105628
2025-05-05,4.19,4.25,4.12,4.14,4.14,1377475
2025-05-06,4.15,4.16,4.11,4.14,4.14,877443
2025-05-07,4.12,4.19,4.07,4.19,4.19,1522183
2025-05-08,4.22,4.27,4.14,4.23,4.23,2148992
2025-05-09,4.24,4.25,4.15,4.25,4.25,2104473
2025-05-12,4.24,4.35,4.23,4.35,4.35,1773399
2025-05-13,4.39,4.57,4.39,4.57,4.57,3070209
2025-05-14,4.54,4.665,4.5,4.61,4.61,2934236
2025-05-15,4.6,4.6,4.5,4.5,4.5,1681969
2025-05-16,4.5,4.56,4.44,4.53,4.53,1665864
2025-05-19,4.47,4.52,4.38,4.51,4.51,1280335
2025-05-20,4.56,4.635,4.54,4.58,4.58,1318214
2025-05-21,4.6,4.71,4.56,4.71,4.71,3706984
2025-05-22,4.62,4.75,4.6,4.66,4.66,1845676
2025-05-23,4.69,4.79,4.65,4.77,4.77,1683763
2025-05-26,4.77,4.85,4.73,4.75,4.75,1700906
2025-05-27,4.78,4.78,4.68,4.68,4.68,1481017
2025-05-28,5.05,5.49,5.03,5.26,5.26,11271200
2025-05-29,5.35,5.4,5.105,5.17,5.17,5251940
2025-05-30,5.15,5.195,5.04,5.06,5.06,3695284
2025-06-02,5.06,5.1,4.965,5,5,2602210
2025-06-03,5.09,5.15,5.03,5.06,5.06,3119722
2025-06-04,5.15,5.23,5.07,5.1,5.1,2996116
2025-06-05,5.14,5.17,5.03,5.05,5.05,1818549
2025-06-06,5.03,5.06,4.98,5.03,5.03,1415397
2025-06-10,5.05,5.09,4.95,5.01,5.01,1891360
2025-06-11,5,5.04,4.94,4.95,4.95,1580869
2025-06-12,5,5,4.785,4.81,4.81,2291826
2025-06-13,4.78,4.78,4.66,4.67,4.67,2741526
2025-06-16,4.72,4.74,4.59,4.64,4.64,1078761
2025-06-17,4.66,4.69,4.6,4.6,4.6,1032668
2025-06-18,4.64,4.66,4.57,4.59,4.59,1196335
2025-06-19,4.56,4.57,4.5,4.52,4.52,1852621
2025-06-20,4.5,4.52,4.43,4.5,4.5,4092259
2025-06-23,4.47,4.52,4.36,4.4,4.4,2509475
2025-06-24,4.46,4.555,4.46,4.53,4.53,2527676
2025-06-25,4.55,4.69,4.48,4.55,4.55,3335988
2025-06-26,4.54,4.6,4.49,4.49,4.49,2857952
2025-06-27,4.49,4.52,4.265,4.35,4.35,7023560
2025-06-30,4.31,4.45,4.3,4.45,4.45,2188451
2025-07-01,4.38,4.47,4.38,4.39,4.39,1141340
2025-07-02,4.4,4.42,4.33,4.37,4.37,1563693
2025-07-03,4.34,4.43,4.33,4.41,4.41,1165197
2025-07-04,4.43,4.5,4.41,4.45,4.45,1054097
2025-07-07,4.49,4.53,4.425,4.49,4.49,1071713
2025-07-08,4.47,4.52,4.41,4.52,4.52,1428235
2025-07-09,4.52,4.6,4.505,4.58,4.58,953574
2025-07-10,4.6,4.65,4.59,4.61,4.61,1526587
2025-07-11,4.67,4.805,4.635,4.8,4.8,2240865
2025-07-14,4.78,4.845,4.76,4.78,4.78,1874898
2025-07-15,4.81,4.81,4.66,4.68,4.68,1217442
2025-07-16,4.65,4.79,4.61,4.77,4.77,1320281
2025-07-17,4.8,4.85,4.75,4.83,4.83,1103028
2025-07-18,4.89,4.91,4.845,4.9,4.9,911055
2025-07-21,4.85,4.88,4.77,4.78,4.78,1001049
2025-07-22,4.78,4.83,4.725,4.82,4.82,1917265
2025-07-23,4.88,4.93,4.85,4.86,4.86,4527305
2025-07-24,4.89,4.9,4.78,4.79,4.79,1367205
2025-07-25,4.75,4.75,4.67,4.67,4.67,1630000
2025-07-28,4.69,4.71,4.59,4.63,4.63,2166163
2025-07-29,4.64,4.67,4.56,4.59,4.59,2115311
2025-07-30,4.59,4.61,4.55,4.58,4.58,2486261
2025-07-31,4.55,4.55,4.39,4.48,4.48,2864946
2025-08-01,4.44,4.505,4.415,4.42,4.42,2558448
2025-08-04,4.37,4.43,4.36,4.4,4.4,1345556
2025-08-05,4.4,4.44,4.35,4.39,4.39,2567698
2025-08-06,4.38,4.42,4.35,4.37,4.37,3173423
2025-08-07,4.4,4.47,4.385,4.47,4.47,1878362
2025-08-08,4.45,4.52,4.42,4.45,4.45,3254088
2025-08-11,4.42,4.445,4.2,4.26,4.26,4521166
2025-08-12,4.26,4.31,4.24,4.3,4.3,4101623
2025-08-13,4.33,4.375,4.29,4.36,4.36,2081609
2025-08-14,4.4,4.48,4.35,4.45,4.45,1870139
2025-08-15,4.45,4.46,4.395,4.46,4.46,1121297
2025-08-18,4.41,4.44,4.34,4.42,4.42,1970929
2025-08-19,4.45,4.51,4.4,4.49,4.49,1219231
2025-08-20,4.54,4.55,4.38,4.47,4.47,1267107
2025-08-21,4.45,4.52,4.415,4.5,4.5,1386472
2025-08-22,4.48,4.58,4.42,4.56,4.56,2062288
2025-08-25,4.58,4.63,4.53,4.6,4.6,1299970
2025-08-26,4.5,4.51,4.2,4.34,4.34,10686737
2025-08-27,4.4,4.45,4.3,4.35,4.35,7706367
2025-08-28,4.36,4.52,4.33,4.44,4.44,5678157
2025-08-29,4.43,4.53,4.4,4.42,4.42,2152307
2025-09-01,4.4,4.4,4.33,4.35,4.35,1899612
2025-09-02,4.35,4.35,4.26,4.3,4.3,1643163
2025-09-03,4.26,4.31,4.19,4.19,4.19,4367205
2025-09-04,4.2,4.22,4.175,4.21,4.21,1387025
