Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,83.8,84.31,82.94,83.1,79.6162,724265
2025-07-23,83.33,83.655,82.59,83.12,79.6353,1185736
2025-07-24,83.5,83.61,82.2,82.59,79.1275,1086765
2025-07-25,82,82.8,81.54,82.43,78.9743,1036388
2025-07-28,82.55,83.34,82.4,82.95,79.4725,1246439
2025-07-29,82.37,83.37,82.28,83.21,79.7216,1239204
2025-07-30,83.21,85,83.01,84.74,81.1874,3124491
2025-07-31,84.52,85.75,84.19,85.75,82.1551,1781174
2025-08-01,84.38,85.37,84.32,84.97,81.4078,1430315
2025-08-04,84.6,86.1,84.6,85.11,81.5419,876961
2025-08-05,86,87.745,85.67,87.52,83.8509,1734733
2025-08-06,87.01,89.04,86.83,88.88,85.1538,1199777
2025-08-07,89,89.74,88.74,89.52,85.767,1186898
2025-08-08,89.61,90.425,89.4,90.26,86.476,1666300
2025-08-11,90,90.3,88.4,88.61,84.8952,2639680
2025-08-12,88.62,89,88.4,88.75,85.0293,1708422
2025-08-13,88.98,89.5,88.07,88.07,84.3778,2360946
2025-08-14,88.45,89.09,87.58,88.79,85.0676,1406138
2025-08-15,89.22,89.63,88.58,89.4,85.652,1412837
2025-08-18,88.95,90.75,88.63,90.42,86.6293,1217843
2025-08-19,90.52,90.89,89.63,90.09,86.3131,2184011
2025-08-20,90.95,92.47,90.45,92.47,88.5933,2003461
2025-08-21,93.37,94.76,92.42,94.76,90.7873,2795652
2025-08-22,94.64,95.175,94.06,94.63,90.6628,3423854
2025-08-25,94.42,94.55,92.08,92.13,88.2676,1993553
2025-08-26,92.47,92.62,91.07,91.39,87.5586,2659170
2025-08-27,93,93,91.07,91.68,87.8365,1552739
2025-08-28,92.06,93.08,90.39,92.06,88.2005,1784711
2025-08-29,92.51,92.97,91.15,91.81,87.961,1842237
2025-09-01,91.18,91.79,90.1,90.88,87.07,1383613
2025-09-02,88.88,88.99,87.73,88.25,85.5957,1281247
2025-09-03,88.21,89.29,88.1,88.67,86.0031,1636976
2025-09-04,89.53,90.91,89.42,90.91,88.1757,1741655
2025-09-05,90.96,92.56,90.96,92.56,89.7761,1472261
2025-09-08,91.72,92.17,91.29,91.79,89.0292,1485250
2025-09-09,91.79,92.29,90.91,92.29,89.5142,1514312
2025-09-10,91.65,92.99,91.61,92.84,90.0477,1252933
2025-09-11,92.95,93.5,92.13,92.52,89.7373,1605948
2025-09-12,93.2,93.3,92.09,92.65,89.8634,1165088
2025-09-15,91.78,93.04,91.66,93.03,90.2319,990650
2025-09-16,93.54,94.4,93.21,94.2,91.3668,1598372
2025-09-17,93.65,93.81,91.93,92.43,89.65,1441171
2025-09-18,92.43,93.11,91.21,92.47,89.6888,1936771
2025-09-19,92.5,93.89,92.3,93.08,90.2804,4000459
2025-09-22,93.57,93.87,92.575,92.9,90.1059,725186
2025-09-23,92.82,93.72,92.02,93.1,90.2998,903783
2025-09-24,92.8,93,91.405,92.08,89.3105,1205492
2025-09-25,91.78,93.07,91.4,92.36,89.5821,1438161
2025-09-26,92.92,92.99,91.44,92.13,89.359,1029791
2025-09-29,92,93.04,91.88,92.42,89.6403,887159
2025-09-30,92.95,92.97,91.9,92.02,89.2523,1227492
2025-10-01,92.3,92.38,90.52,90.81,88.0787,1131629
2025-10-02,91.26,92.13,90.27,91.44,88.6898,1307918
2025-10-03,91.67,91.8,91.17,91.55,88.7965,1199264
2025-10-06,91.8,91.88,91.03,91.51,88.7577,574752
2025-10-07,91.44,91.49,89.53,90.28,87.5647,1301489
2025-10-08,90.2,90.25,87.92,88.29,85.6345,1882649
2025-10-09,88.74,89.24,88.02,88.27,85.6151,1053796
2025-10-10,88.27,89.04,87.91,89.04,86.362,1367715
2025-10-13,88.63,89.61,88.42,89.01,86.3329,1197310
2025-10-14,88.89,88.91,86.72,87.94,85.295,1159491
2025-10-15,88.71,89,88.02,88.48,85.8188,1551335
2025-10-16,88.92,90.265,88.26,89.6,86.9051,1452736
2025-10-17,89.53,90.16,88.55,88.83,86.1583,1539277
