Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.78,2.9,2.77,2.86,2.8371,4012046
2025-07-23,2.94,2.97,2.86,2.87,2.847,7898425
2025-07-24,2.82,2.85,2.715,2.73,2.7082,6166378
2025-07-25,2.73,2.75,2.63,2.64,2.6189,6972440
2025-07-28,2.65,2.73,2.63,2.65,2.6288,5474440
2025-07-29,2.63,2.64,2.59,2.62,2.599,2300676
2025-07-30,2.64,2.645,2.59,2.61,2.5891,3238352
2025-07-31,2.53,2.57,2.51,2.56,2.5395,4310958
2025-08-01,2.54,2.57,2.52,2.53,2.5098,5629653
2025-08-04,2.6,2.66,2.57,2.59,2.5693,3852347
2025-08-05,2.65,2.65,2.59,2.64,2.6189,4174328
2025-08-06,2.69,2.76,2.68,2.76,2.7379,5516870
2025-08-07,2.88,2.95,2.85,2.9,2.8768,7809202
2025-08-08,2.99,3.1,2.97,3.08,3.0554,7799694
2025-08-11,3.04,3.07,2.965,3.01,2.9859,2911834
2025-08-12,2.97,3.01,2.94,2.98,2.9562,2645364
2025-08-13,2.97,3.02,2.95,2.97,2.9462,3566710
2025-08-14,2.99,3.08,2.98,3.01,2.9859,4748273
2025-08-15,3,3.095,3,3.09,3.0653,3284730
2025-08-18,3.1,3.145,3.09,3.14,3.1149,4716923
2025-08-19,3.18,3.19,3.12,3.18,3.1546,3827537
2025-08-20,3.1,3.16,3.06,3.16,3.1347,4531033
2025-08-21,3.21,3.27,3.2,3.23,3.2042,4967217
2025-08-22,3.28,3.29,3.22,3.22,3.1942,3509997
2025-08-25,3.28,3.3,3.225,3.24,3.2141,5091644
2025-08-26,3.25,3.33,3.22,3.29,3.2637,5345340
2025-08-27,3.38,3.42,3.315,3.37,3.343,3723978
2025-08-28,3.36,3.44,3.29,3.41,3.3827,6730841
2025-08-29,3.5,3.5,3.33,3.44,3.4125,5971514
2025-09-01,3.53,3.73,3.53,3.71,3.6803,5170541
2025-09-02,3.75,3.79,3.66,3.68,3.6506,4284351
2025-09-03,3.78,3.82,3.63,3.65,3.6208,6109817
2025-09-04,3.7,3.71,3.585,3.6,3.5712,6574883
2025-09-05,3.55,3.74,3.55,3.72,3.6902,4033225
2025-09-08,3.76,3.81,3.71,3.74,3.7101,4612603
2025-09-09,3.77,3.8,3.72,3.74,3.7101,5557984
2025-09-10,3.63,3.75,3.62,3.75,3.72,4674151
2025-09-11,3.7,3.84,3.7,3.81,3.81,3164165
2025-09-12,3.89,3.955,3.865,3.95,3.95,5644480
2025-09-15,3.92,3.94,3.8,3.88,3.88,3628511
2025-09-16,3.98,4.05,3.925,3.98,3.98,3959496
2025-09-17,3.91,3.96,3.85,3.88,3.88,3891745
2025-09-18,3.91,3.99,3.88,3.97,3.97,5377787
2025-09-19,3.92,3.97,3.88,3.97,3.97,20444228
2025-09-22,4.13,4.26,4.11,4.21,4.21,5158901
2025-09-23,4.32,4.41,4.27,4.37,4.37,6903309
2025-09-24,4.39,4.45,4.34,4.44,4.44,3538668
2025-09-25,4.28,4.35,4.2,4.2,4.2,6827912
2025-09-26,4.19,4.32,4.17,4.32,4.32,4601521
2025-09-29,4.38,4.45,4.315,4.45,4.45,4528380
2025-09-30,4.46,4.53,4.43,4.48,4.48,4961511
2025-10-01,4.66,5.02,4.65,4.96,4.96,10849202
2025-10-02,5.11,5.37,5.09,5.37,5.37,9081779
2025-10-03,5.24,5.52,5.2,5.51,5.51,7573264
2025-10-06,5.5,5.63,5.42,5.6,5.6,4956399
2025-10-07,5.6,5.61,5.42,5.51,5.51,6151478
2025-10-08,5.46,5.5,5.33,5.5,5.5,7450701
2025-10-09,5.55,5.57,5.36,5.5,5.5,6462433
2025-10-10,5.14,5.44,5.06,5.32,5.32,6312857
2025-10-13,5.49,5.56,5.41,5.42,5.42,3737902
2025-10-14,5.58,5.73,5.54,5.6,5.6,6679136
2025-10-15,5.59,5.665,5.545,5.59,5.59,2528320
2025-10-16,5.67,5.77,5.63,5.64,5.64,4751712
2025-10-17,5.92,5.965,5.79,5.83,5.83,7543306
2025-10-20,5.54,5.57,5.41,5.55,5.55,5134160
2025-10-21,5.65,5.675,5.59,5.65,5.65,4271684
2025-10-22,5.01,5.15,4.8,5.14,5.14,7628834
2025-10-23,5.2,5.3,5.16,5.26,5.26,4624071
2025-10-24,5.26,5.28,5.12,5.14,5.14,3169634
2025-10-27,5.15,5.25,5.08,5.2,5.2,3438179
2025-10-28,4.83,5.01,4.725,4.9,4.9,6120359
2025-10-29,4.9,5.07,4.865,5.04,5.04,4288812
2025-10-30,5,5.06,4.93,5.05,5.05,2915708
2025-10-31,5.19,5.38,5.17,5.32,5.32,6305891
2025-11-03,5.3,5.38,5.255,5.31,5.31,3193290
2025-11-04,5.35,5.4,5.3,5.3,5.3,4157592
2025-11-05,5.11,5.29,4.94,5.27,5.27,3838989
2025-11-06,5.35,5.55,5.32,5.55,5.55,2509408
2025-11-07,5.55,5.62,5.455,5.5,5.5,3177324
2025-11-10,5.635,5.73,5.585,5.72,5.72,1920634
2025-11-11,5.85,5.85,5.74,5.77,5.77,2958766
2025-11-12,5.73,5.83,5.69,5.78,5.78,1960839
2025-11-13,5.9,5.99,5.85,5.98,5.98,3128137
2025-11-14,5.5,5.76,5.4,5.69,5.69,3823650
2025-11-17,5.59,5.75,5.51,5.71,5.71,3419558
2025-11-18,5.6,5.66,5.37,5.41,5.41,2645941
2025-11-19,5.56,5.7,5.53,5.66,5.66,2094524
2025-11-20,5.77,5.88,5.69,5.85,5.85,2967940
2025-11-21,5.6,5.68,5.45,5.45,5.45,3165452
2025-11-24,5.63,5.73,5.52,5.7,5.7,5545281
2025-11-25,5.86,5.97,5.815,5.96,5.96,2965880
2025-11-26,5.96,6.01,5.84,6.01,6.01,3749438
2025-11-27,6.16,6.17,6.01,6.06,6.06,3418169
2025-11-28,6.06,6.16,6.05,6.1,6.1,1648776
2025-12-01,6.24,6.25,5.98,6.04,6.04,2174753
2025-12-02,6,6.07,5.91,5.98,5.98,2762204
2025-12-03,5.87,6.02,5.85,5.95,5.95,2780968
2025-12-04,5.91,5.915,5.78,5.86,5.86,1986065
2025-12-05,6.11,6.11,5.87,5.88,5.88,1829621
2025-12-08,5.86,5.86,5.74,5.75,5.75,2293076
2025-12-09,5.68,5.75,5.62,5.65,5.65,1508969
2025-12-10,5.82,5.96,5.76,5.91,5.91,2797286
2025-12-11,5.89,6.07,5.8,5.92,5.92,2691506
2025-12-12,6.15,6.21,6.065,6.1,6.1,1995080
2025-12-15,6.15,6.16,5.87,5.93,5.93,4345925
2025-12-16,5.87,5.955,5.74,5.84,5.84,5040934
2025-12-17,5.88,6.25,5.695,6.22,6.22,4452166
2025-12-18,6.08,6.31,6.08,6.19,6.19,4593364
2025-12-19,6.28,6.28,6.07,6.22,6.22,14456685
2025-12-22,6.28,6.6,6.21,6.55,6.55,3895012
2025-12-23,6.55,6.56,6.34,6.47,6.47,2969391
2025-12-24,6.54,6.58,6.44,6.5,6.5,1131492
2025-12-29,6.52,6.67,6.39,6.48,6.48,2118129
2025-12-30,6.18,6.39,6.08,6.38,6.38,2263449
2025-12-31,6.34,6.445,6.245,6.44,6.44,1432907
2026-01-02,6.3,6.455,6.265,6.45,6.45,774269
2026-01-05,6.36,6.49,6.29,6.45,6.45,2201564
2026-01-06,6.5,6.56,6.3,6.38,6.38,2133915
2026-01-07,6.5,6.54,6.32,6.41,6.41,2446332
2026-01-08,6.33,6.39,6.25,6.31,6.31,2138547
2026-01-09,6.35,6.4,6.285,6.32,6.32,2108304
2026-01-12,6.48,6.76,6.425,6.6,6.6,3917513
2026-01-13,6.63,6.63,6.49,6.59,6.59,3181991
2026-01-14,6.76,6.82,6.58,6.75,6.75,3448564
2026-01-15,6.61,6.74,6.51,6.55,6.55,2834936
2026-01-16,6.66,6.73,6.54,6.65,6.65,2464313
2026-01-19,6.65,6.99,6.63,6.94,6.94,2285749
2026-01-20,6.83,6.93,6.74,6.87,6.87,3178572
2026-01-21,7.43,7.63,7.26,7.53,7.53,7295432
2026-01-22,7.25,7.36,7.13,7.27,7.27,4117659
2026-01-23,7.64,7.8,7.54,7.67,7.67,4605280
2026-01-27,7.76,7.86,7.565,7.6,7.6,3942601
2026-01-28,7.63,7.7,7.51,7.69,7.69,3886257
2026-01-29,7.74,7.9,7.555,7.76,7.76,4242853
2026-01-30,7.49,7.6,7.135,7.36,7.36,5487029
2026-02-02,6.71,6.985,6.54,6.95,6.95,6510134
2026-02-03,6.8,7.09,6.62,6.96,6.96,5974788
2026-02-04,7.27,7.34,7.06,7.16,7.16,4960878
2026-02-05,6.97,7.11,6.75,6.92,6.92,3750609
2026-02-06,6.64,6.87,6.6,6.68,6.68,4742205
2026-02-09,6.96,7.04,6.795,7.04,7.04,3356114
2026-02-10,7.25,7.32,7.02,7.14,7.14,2376687
2026-02-11,7.08,7.31,7.01,7.31,7.31,2557291
2026-02-12,7.33,7.43,7.27,7.34,7.34,3570363
2026-02-13,6.97,7.19,6.93,7.16,7.16,3983947
2026-02-16,7.25,7.38,7.18,7.26,7.26,2879991
2026-02-17,7.21,7.28,7.06,7.08,7.08,2602712
2026-02-18,6.99,7.04,6.8,7.04,7.04,4078874
2026-02-19,7.15,7.18,7.02,7.12,7.12,2714021
2026-02-20,7.31,7.44,7.17,7.27,7.27,2071158
2026-02-23,7.5,7.6,7.365,7.57,7.57,3885665
2026-02-24,7.7,7.93,7.56,7.7,7.7,4912548
2026-02-25,7.81,7.9,7.7,7.81,7.81,4263149
2026-02-26,7.93,7.93,7.58,7.63,7.63,3919846
2026-02-27,7.8,7.915,7.59,7.75,7.75,9200236
2026-03-02,7.93,8.16,7.86,8.05,8.05,4556958
2026-03-03,7.86,8.09,7.81,7.98,7.98,12257947
2026-03-04,7.49,7.5,7.16,7.41,7.41,5692710
2026-03-05,7.44,7.49,7.08,7.22,7.22,4124276
2026-03-06,7.03,7.08,6.6,6.63,6.63,5492050
2026-03-09,6.52,6.575,6.15,6.25,6.25,7678313
2026-03-10,6.57,6.61,6.34,6.45,6.45,5966798
2026-03-11,6.5,6.505,6.375,6.4,6.4,6489004
2026-03-12,6.34,6.41,6.12,6.21,6.21,4431869
2026-03-13,6.29,6.37,6.16,6.21,6.21,4838219
2026-03-16,5.87,6.01,5.76,5.95,5.95,7109161
2026-03-17,6.16,6.25,6.03,6.24,6.24,4617817
2026-03-18,6.17,6.27,5.98,6.17,6.17,6987222
2026-03-19,5.74,5.75,5.37,5.38,5.38,12002746
2026-03-20,5.25,5.38,5.1,5.29,5.29,30366942
2026-03-23,5.03,5.08,4.85,5.02,5.02,8648278
2026-03-24,5.27,5.35,5.11,5.16,5.16,7864870
2026-03-25,5.32,5.68,5.31,5.62,5.62,9286997
2026-03-26,5.51,5.61,5.38,5.54,5.54,3349983
2026-03-27,5.32,5.45,5.22,5.42,5.42,3997035
2026-03-30,5.53,5.65,5.425,5.61,5.61,4038711
2026-03-31,5.59,5.905,5.515,5.89,5.89,4705659
2026-04-01,6.14,6.3,6.08,6.29,6.29,5277538
2026-04-02,6.42,6.57,6.01,6.01,6.01,6949015
2026-04-07,6.26,6.27,6.07,6.16,6.16,2696962
2026-04-08,6.54,6.85,6.54,6.79,6.79,6856583
2026-04-09,6.54,6.74,6.5,6.73,6.73,2771432
2026-04-10,6.64,6.7,6.52,6.66,6.66,2388943
2026-04-13,6.42,6.5,6.35,6.47,6.47,2190161
2026-04-14,6.45,6.525,6.405,6.47,6.47,1918427
2026-04-15,6.57,6.6,6.46,6.56,6.56,4658221
2026-04-16,6.24,6.5,6.24,6.47,6.47,2797885
2026-04-17,6.3,6.36,6.22,6.3,6.3,4887091
2026-04-20,6.3,6.43,6.18,6.35,6.35,3165779
2026-04-21,6.25,6.52,6.25,6.43,6.43,3859214
2026-04-22,6.14,6.26,6.11,6.24,6.24,3179605
2026-04-23,6.31,6.32,6.11,6.19,6.19,2735949
2026-04-24,6.11,6.16,6.025,6.07,6.07,2240791
2026-04-27,6,6.21,5.97,6.17,6.17,1585189
2026-04-28,6.01,6.11,5.97,6.1,6.1,2051055
2026-04-29,6.04,6.1,5.85,5.9,5.9,3605907
2026-04-30,5.61,5.7,5.35,5.35,5.35,6960737
2026-05-01,5.59,5.67,5.3,5.36,5.36,3609991
2026-05-04,5.34,5.47,5.32,5.45,5.45,3415340
2026-05-05,5.44,5.48,5.33,5.38,5.38,3609309
2026-05-06,5.45,5.45,5.2,5.45,5.45,5868115
2026-05-07,5.74,5.79,5.66,5.74,5.74,8166183
2026-05-08,5.65,5.78,5.59,5.6,5.6,2660546
2026-05-11,5.6,5.68,5.57,5.58,5.58,2769978
2026-05-12,5.74,5.83,5.63,5.67,5.67,4858133
2026-05-13,5.66,5.82,5.61,5.67,5.67,4022806
2026-05-14,5.56,5.575,5.39,5.44,5.44,3543086
2026-05-15,5.37,5.43,5.23,5.29,5.29,4233266
2026-05-18,5.13,5.19,4.99,5.14,5.14,5000014
2026-05-19,5.2,5.26,5.09,5.21,5.21,6119881
2026-05-20,5.02,5.1,4.935,4.95,4.95,3783234
2026-05-21,5.15,5.15,5,5.03,5.03,3157068
2026-05-22,5.03,5.06,4.95,4.96,4.96,3821255
2026-05-25,5.07,5.24,5.07,5.24,5.24,4850199
2026-05-26,5.26,5.3,5.14,5.2,5.2,2630199
2026-05-27,5.27,5.31,5.17,5.22,5.22,1898104
2026-05-28,5.1,5.13,4.74,4.87,4.87,5272099
2026-05-29,5.15,5.26,5.12,5.13,5.13,4286544
2026-06-01,5.15,5.27,5.11,5.17,5.17,2206921
2026-06-02,5,5.26,5,5.26,5.26,2629145
2026-06-03,5.13,5.285,5.13,5.25,5.25,2586506
2026-06-04,5.11,5.14,5,5.1,5.1,2429597
2026-06-05,5.02,5.1,4.855,4.89,4.89,4215720
2026-06-09,4.69,4.69,4.545,4.67,4.67,6562588
2026-06-10,4.53,4.57,4.44,4.52,4.52,4352660
2026-06-11,4.32,4.53,4.24,4.49,4.49,5516165
2026-06-12,4.69,4.77,4.66,4.76,4.76,5150090
2026-06-15,5,5.15,4.93,5.15,5.15,4656369
2026-06-16,5.14,5.21,5.03,5.17,5.17,2950642
2026-06-17,5.25,5.43,5.205,5.43,5.43,2734691
2026-06-18,5.25,5.29,5.17,5.2,5.2,3962389
2026-06-19,5.07,5.1,5,5.01,5.01,10573594
2026-06-22,5,5.17,4.975,5.13,5.13,1692209
2026-06-23,5.13,5.13,5.01,5.01,5.01,2308967
2026-06-24,4.92,5,4.87,4.89,4.89,4240268
2026-06-25,4.74,4.78,4.62,4.67,4.67,2936977
2026-06-26,4.75,4.84,4.71,4.83,4.83,2640328
2026-06-29,4.89,4.96,4.805,4.86,4.86,3410844
2026-06-30,4.81,4.84,4.58,4.7,4.7,4658062
2026-07-01,4.84,4.84,4.625,4.69,4.69,2909206
2026-07-02,4.75,4.82,4.66,4.75,4.75,3042448
2026-07-03,5.01,5.095,4.915,5.08,5.08,4415046
2026-07-06,5.06,5.15,4.93,4.93,4.93,2019780
2026-07-07,4.96,4.96,4.785,4.82,4.82,2620539
2026-07-08,4.75,4.75,4.6,4.73,4.73,2728982
2026-07-09,4.63,4.68,4.55,4.66,4.66,1649220
2026-07-10,4.75,4.8,4.7,4.76,4.76,1542736
2026-07-13,4.7,4.71,4.63,4.67,4.67,1353457
2026-07-14,4.59,4.79,4.54,4.75,4.75,2270442
2026-07-15,4.86,4.88,4.67,4.67,4.67,2158943
2026-07-16,4.74,4.74,4.6,4.68,4.68,1754437
2026-07-17,4.57,4.58,4.34,4.35,4.35,3478263
2026-07-20,4.37,4.46,4.29,4.44,4.44,3494379
2026-07-21,4.43,4.57,4.36,4.57,4.57,2865113
2026-07-22,4.7,4.865,4.52,4.85,4.85,7098206
2026-07-23,4.87,4.96,4.7,4.74,4.74,4767806
2026-07-24,4.72,4.74,4.58,4.62,4.62,2912947
2026-07-27,4.76,4.99,4.72,4.9,4.9,2521391
2026-07-28,4.81,4.88,4.75,4.81,4.81,1455351
2026-07-29,4.85,4.87,4.67,4.75,4.75,2069117
2026-07-30,4.75,4.79,4.53,4.57,4.57,2398340
2026-07-31,4.78,4.82,4.72,4.73,4.73,2810344
2026-08-03,4.7,4.775,4.68,4.75,4.75,1712827
2026-08-04,4.79,4.87,4.76,4.85,4.85,3414393
2026-08-05,4.91,5.16,4.91,5.16,5.16,4791072
2026-08-06,5.44,5.485,5.35,5.44,5.44,5239204
2026-08-07,5.43,5.68,5.4,5.67,5.67,5099435
2026-08-10,5.89,5.9,5.69,5.81,5.81,3280056
2026-08-11,5.85,5.96,5.79,5.84,5.84,2996314
2026-08-12,5.86,5.94,5.83,5.85,5.85,1976613
2026-08-13,5.85,5.92,5.8,5.82,5.82,2063823
2026-08-14,5.72,5.72,5.59,5.65,5.65,1771589
2026-08-17,5.77,5.85,5.71,5.83,5.83,1922438
2026-08-18,5.85,5.925,5.81,5.83,5.83,2706183
2026-08-19,5.65,5.81,5.59,5.72,5.72,2253503
2026-08-20,6.12,6.24,6.1,6.23,6.23,4244687
2026-08-21,6.25,6.3,6.15,6.29,6.29,3506337
2026-08-24,6.39,6.43,6.16,6.39,6.39,3563384
2026-08-25,6.33,6.575,6.285,6.52,6.52,3752796
2026-08-26,6.6,6.95,6.56,6.83,6.83,3273810
