Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,6.41,6.745,6.36,6.74,6.6452,7761141
2025-07-23,6.9,7.2,6.85,7.18,7.079,16536916
2025-07-24,7.11,7.13,6.99,7.03,6.9311,5095697
2025-07-25,6.94,7.09,6.83,6.95,6.8522,6592980
2025-07-28,6.79,6.88,6.6,6.66,6.5663,6252740
2025-07-29,6.58,6.685,6.475,6.6,6.5072,5434572
2025-07-30,6.62,6.71,6.55,6.64,6.5466,4465899
2025-07-31,6.52,6.56,6.39,6.44,6.3494,4482739
2025-08-01,6.39,6.41,6.3,6.4,6.31,3435775
2025-08-04,6.34,6.54,6.31,6.5,6.4086,2774119
2025-08-05,6.64,6.7,6.55,6.59,6.4973,3446500
2025-08-06,6.65,6.84,6.64,6.72,6.6255,3650001
2025-08-07,6.7,6.82,6.64,6.75,6.6551,2546235
2025-08-08,6.77,6.99,6.77,6.96,6.8621,3978904
2025-08-11,6.95,7.08,6.92,7.04,6.941,3336626
2025-08-12,7.05,7.25,7.02,7.24,7.1382,5015491
2025-08-13,7.24,7.26,7.1,7.18,7.079,3689181
2025-08-14,7.2,7.21,6.94,7.02,6.9213,4574152
2025-08-15,6.99,7.005,6.9,6.93,6.8325,3345608
2025-08-18,6.8,6.82,6.71,6.79,6.6945,3979979
2025-08-19,6.65,6.675,6.55,6.64,6.5466,5063195
2025-08-20,6.58,6.73,6.42,6.43,6.3396,7087632
2025-08-21,6.56,6.65,6.16,6.63,6.5367,8210206
2025-08-22,6.61,6.61,6.41,6.53,6.4381,7717411
2025-08-25,6.66,6.75,6.56,6.73,6.6353,5627453
2025-08-26,6.75,6.845,6.71,6.75,6.6551,3178167
2025-08-27,6.78,6.82,6.74,6.8,6.7043,2618285
2025-08-28,6.82,6.82,6.66,6.69,6.5959,2588758
2025-08-29,6.69,6.72,6.575,6.62,6.5269,4606712
2025-09-01,6.67,6.79,6.59,6.75,6.6551,3081210
2025-09-02,6.78,6.795,6.61,6.64,6.5466,3763306
2025-09-03,6.48,6.5,6.315,6.37,6.3377,5414080
2025-09-04,6.38,6.48,6.38,6.44,6.4073,4098811
2025-09-05,6.45,6.45,6.29,6.42,6.3874,4126818
2025-09-08,6.56,6.56,6.295,6.33,6.2979,6192707
2025-09-09,6.25,6.29,6.19,6.29,6.2581,4423649
2025-09-10,6.31,6.34,6.165,6.24,6.2083,8604041
2025-09-11,6.21,6.24,6.1,6.12,6.0889,3733926
2025-09-12,6.09,6.12,6.03,6.1,6.069,7372543
2025-09-15,5.97,6.22,5.94,6.22,6.1884,5630474
2025-09-16,6.32,6.51,6.29,6.34,6.3078,9068776
2025-09-17,6.45,6.73,6.415,6.67,6.6361,7566306
2025-09-18,6.65,6.77,6.62,6.67,6.6361,4053866
2025-09-19,6.68,6.82,6.62,6.76,6.7257,31199989
2025-09-22,6.66,6.74,6.51,6.59,6.5565,3704927
2025-09-23,6.58,6.65,6.55,6.57,6.5366,2386697
2025-09-24,6.55,6.67,6.54,6.62,6.5864,2999610
2025-09-25,6.67,6.82,6.65,6.7,6.666,6728623
2025-09-26,6.65,6.86,6.65,6.8,6.7655,2684108
2025-09-29,6.75,6.79,6.55,6.57,6.5366,4363182
2025-09-30,6.59,6.7,6.56,6.59,6.5565,6559739
2025-10-01,6.53,6.57,6.43,6.46,6.4272,5574762
2025-10-02,6.53,6.71,6.52,6.65,6.6162,4439233
2025-10-03,6.61,6.72,6.6,6.63,6.5963,3382587
2025-10-06,6.65,6.77,6.65,6.7,6.666,2002402
2025-10-07,6.68,6.74,6.51,6.52,6.4869,3359823
2025-10-08,6.57,6.63,6.48,6.51,6.477,3014472
2025-10-09,6.46,6.56,6.4,6.51,6.477,3869399
2025-10-10,6.44,6.56,6.4,6.5,6.467,3186765
2025-10-13,6.43,6.465,6.33,6.44,6.4073,3257986
2025-10-14,6.45,6.69,6.42,6.69,6.656,6572484
2025-10-15,6.73,6.79,6.62,6.75,6.7157,3885949
2025-10-16,6.79,6.95,6.73,6.92,6.8849,5580398
2025-10-17,6.93,6.94,6.78,6.91,6.8749,4420816
2025-10-20,6.88,7.07,6.84,7.04,7.0043,5252869
2025-10-21,7.08,7.165,6.88,6.94,6.9048,3975703
2025-10-22,6.8,6.93,6.78,6.89,6.855,3700710
2025-10-23,6.89,7.03,6.76,7.01,6.9744,4397281
2025-10-24,7.05,7.08,6.69,6.98,6.9446,7375644
2025-10-27,6.93,7.14,6.86,7.13,7.0938,6995366
2025-10-28,7.1,7.1,6.95,7.07,7.0341,3895898
2025-10-29,7.07,7.17,6.92,7.04,7.0043,5290579
2025-10-30,7.05,7.31,7.05,7.22,7.1834,5373763
2025-10-31,7.15,7.3,7.15,7.2,7.1635,4941812
2025-11-03,7.24,7.35,7.18,7.22,7.1834,3810052
2025-11-04,7.35,7.35,7.18,7.2,7.1635,3830422
2025-11-05,7.15,7.19,6.99,7.15,7.1137,3755470
2025-11-06,7.2,7.2,7.05,7.19,7.1535,2631633
2025-11-07,7.25,7.27,7.175,7.23,7.1933,3266693
2025-11-10,7.18,7.32,7.17,7.32,7.2828,3526841
2025-11-11,7.32,7.39,7.11,7.17,7.1336,3424682
2025-11-12,7.04,7.12,6.9,7.01,6.9744,5197710
2025-11-13,7.04,7.115,6.96,7.05,7.0142,2709451
2025-11-14,6.95,7.02,6.91,7.02,6.9844,2630129
2025-11-17,6.96,7.07,6.895,7.05,7.0142,2350104
2025-11-18,7.01,7.07,6.925,6.97,6.9346,4315851
2025-11-19,6.93,7.04,6.925,7,6.9645,2657139
2025-11-20,6.93,7.03,6.885,6.93,6.8948,3142636
2025-11-21,6.83,6.85,6.66,6.73,6.6958,5572441
2025-11-24,6.7,6.86,6.69,6.8,6.7655,5515152
2025-11-25,6.85,6.98,6.81,6.95,6.9147,3343282
2025-11-26,6.99,7.08,6.99,7.04,7.0043,2015781
2025-11-27,7.07,7.07,6.91,6.93,6.8948,2885515
2025-11-28,6.82,6.95,6.82,6.93,6.8948,2794787
2025-12-01,6.95,7.02,6.9,6.98,6.9446,2183349
2025-12-02,7.07,7.14,7.01,7.12,7.0839,2379973
2025-12-03,7.2,7.32,7.15,7.28,7.243,4251185
2025-12-04,7.43,7.52,7.36,7.36,7.3226,4805023
2025-12-05,7.45,7.93,7.4,7.82,7.7803,9279926
2025-12-08,7.78,7.78,7.47,7.57,7.5316,4549712
2025-12-09,7.5,7.56,7.42,7.51,7.4719,4374055
2025-12-10,7.51,7.52,7.29,7.4,7.3624,6313373
2025-12-11,7.45,7.63,7.39,7.63,7.5913,4051643
2025-12-12,7.6,7.82,7.55,7.73,7.6908,5216452
2025-12-15,7.54,7.8,7.54,7.77,7.7306,5380703
2025-12-16,7.72,7.83,7.64,7.68,7.641,3737676
2025-12-17,7.64,7.82,7.59,7.79,7.7505,3473487
2025-12-18,7.85,7.9,7.75,7.88,7.84,3635292
2025-12-19,7.77,7.98,7.77,7.82,7.7803,11460116
2025-12-22,7.88,8.03,7.85,7.87,7.8301,2642904
2025-12-23,7.81,7.87,7.77,7.83,7.7903,1456702
2025-12-24,7.85,7.915,7.795,7.86,7.8201,1121996
2025-12-29,7.74,7.84,7.74,7.81,7.7704,1279970
2025-12-30,7.75,7.83,7.75,7.79,7.7505,1386761
2025-12-31,7.75,7.8,7.705,7.75,7.7107,1151199
2026-01-02,7.77,7.84,7.74,7.81,7.7704,1122191
2026-01-05,7.82,8.03,7.73,7.75,7.7107,5300776
2026-01-06,7.76,7.82,7.525,7.82,7.7803,3945732
2026-01-07,7.84,7.89,7.68,7.79,7.7505,5665331
2026-01-08,7.67,7.86,7.65,7.83,7.7903,4016952
2026-01-09,7.78,7.84,7.72,7.83,7.7903,3983075
2026-01-12,7.9,8.29,7.9,8.23,8.1882,8037893
2026-01-13,7.97,8.28,7.96,8.27,8.228,4329950
2026-01-14,8.29,8.59,8.27,8.59,8.5464,5597928
2026-01-15,8.62,8.8,8.565,8.77,8.7255,4430050
2026-01-16,8.71,8.88,8.7,8.88,8.8349,5546006
2026-01-19,8.62,8.8,8.51,8.8,8.7553,3589735
2026-01-20,8.91,8.99,8.81,8.95,8.9046,3117915
2026-01-21,8.93,9.06,8.86,9.04,8.9941,3641424
2026-01-22,9.08,9.11,8.875,9.06,9.014,4145011
2026-01-23,8.92,9.07,8.86,9,8.9543,4580124
2026-01-27,9,9.13,8.9,9.1,9.0538,5279704
2026-01-28,9.12,9.24,9.08,9.19,9.1434,4961625
2026-01-29,9.47,9.59,9.35,9.46,9.412,8222713
2026-01-30,9.15,9.29,8.76,8.83,8.7852,8809615
2026-02-02,8.9,9.16,8.67,9.12,9.0737,6040229
2026-02-03,9,9.325,8.95,9.28,9.2329,4675888
2026-02-04,9.3,9.59,9.2,9.56,9.5115,6799713
2026-02-05,9.45,9.57,9.15,9.25,9.203,5746271
2026-02-06,9.2,9.21,8.87,8.87,8.825,4895475
2026-02-09,9.07,9.17,9.025,9.16,9.1135,3025109
2026-02-10,9.24,9.25,9.04,9.08,9.0339,2376887
2026-02-11,8.93,8.97,8.71,8.84,8.7951,4155029
2026-02-12,8.92,8.94,8.51,8.58,8.5364,4668171
2026-02-13,8.41,8.67,8.33,8.6,8.5563,3979418
2026-02-16,8.6,8.62,8.49,8.59,8.5464,1929391
2026-02-17,8.56,8.635,8.46,8.51,8.4668,1981709
2026-02-18,8.41,8.49,8.37,8.44,8.3972,2652050
2026-02-19,8.07,8.18,7.87,8.03,7.9892,7395440
2026-02-20,8.03,8.09,7.735,7.81,7.7704,10063698
2026-02-23,7.81,7.87,7.73,7.77,7.7306,5108180
2026-02-24,7.75,8.02,7.71,7.94,7.8997,6442983
2026-02-25,7.93,7.93,7.8,7.88,7.84,5245509
2026-02-26,7.8,7.91,7.72,7.75,7.75,5269436
2026-02-27,7.85,7.9,7.76,7.81,7.81,4124731
2026-03-02,7.68,8.11,7.66,7.94,7.94,4873907
2026-03-03,8.2,8.37,8.05,8.19,8.19,5925410
2026-03-04,8.45,8.5,8,8.34,8.34,8801373
2026-03-05,8.63,8.75,8.39,8.7,8.7,7161517
2026-03-06,8.44,8.75,8.395,8.48,8.48,4845196
2026-03-09,8.63,8.85,8.48,8.85,8.85,13046080
2026-03-10,8.66,8.78,8.51,8.74,8.74,5885558
2026-03-11,8.7,8.74,8.5,8.71,8.71,5862980
2026-03-12,8.94,9.33,8.85,9.29,9.29,9158145
2026-03-13,9.29,9.5,9.23,9.35,9.35,5392059
2026-03-16,9.25,9.25,8.79,8.85,8.85,5384266
2026-03-17,8.57,8.75,8.5,8.69,8.69,8738272
2026-03-18,8.63,8.81,8.55,8.75,8.75,6158450
2026-03-19,9,9.28,8.9,8.95,8.95,9356817
2026-03-20,9.29,9.39,9.05,9.3,9.3,16449216
2026-03-23,9.16,9.43,8.88,9.39,9.39,8834261
2026-03-24,9.05,9.5,9.05,9.31,9.31,11426439
2026-03-25,9.55,9.6,8.83,8.88,8.88,7821337
2026-03-26,8.94,9,8.68,8.8,8.8,4414878
2026-03-27,8.78,9.25,8.75,9.23,9.23,6731718
2026-03-30,9.4,9.9,9.39,9.84,9.84,8770747
2026-03-31,9.83,9.87,9.23,9.25,9.25,6976597
2026-04-01,8.9,9.3,8.85,9.24,9.24,7473605
2026-04-02,9,9.18,8.81,9.08,9.08,4649980
2026-04-07,8.9,9.12,8.9,9.05,9.05,6013266
2026-04-08,8.85,8.85,8.42,8.57,8.57,6967676
2026-04-09,8.6,8.695,8.34,8.39,8.39,4845340
2026-04-10,8.18,8.19,7.87,8.12,8.12,9096525
2026-04-13,8.44,8.54,8.24,8.33,8.33,6453149
2026-04-14,8.2,8.53,8.13,8.51,8.51,4239247
2026-04-15,8.34,8.69,8.15,8.5,8.5,4619795
2026-04-16,8.42,8.46,8.31,8.42,8.42,3859879
2026-04-17,8.46,8.52,7.96,8,8,7112918
2026-04-20,8.09,8.13,7.6,7.65,7.65,8486577
2026-04-21,7.76,7.95,7.7,7.94,7.94,4709675
2026-04-22,7.95,8.04,7.83,7.88,7.88,6725525
2026-04-23,8.02,8.06,7.83,7.94,7.94,6251056
2026-04-24,8.04,8.04,7.87,7.93,7.93,2323569
2026-04-27,7.89,7.93,7.66,7.7,7.7,6370940
2026-04-28,7.9,8.03,7.76,8,8,5837063
2026-04-29,8.16,8.38,8.05,8.23,8.23,5006349
2026-04-30,8.3,8.46,8.27,8.41,8.41,4612319
2026-05-01,8.35,8.69,8.35,8.63,8.63,4466327
2026-05-04,8.49,8.67,8.45,8.5,8.5,3501160
2026-05-05,8.55,8.63,8.43,8.51,8.51,3129997
2026-05-06,8.43,8.5,8.29,8.38,8.38,3839160
2026-05-07,7.91,8.23,7.91,8.11,8.11,5647352
2026-05-08,8.14,8.14,7.86,7.89,7.89,3434772
2026-05-11,7.9,7.97,7.82,7.9,7.9,2276885
2026-05-12,8.03,8.05,7.68,7.68,7.68,6154101
2026-05-13,7.7,7.93,7.7,7.85,7.85,3463609
2026-05-14,7.7,7.85,7.63,7.72,7.72,3184395
2026-05-15,7.8,7.99,7.69,7.97,7.97,3748342
2026-05-18,8.02,8.06,7.925,8.04,8.04,4044060
2026-05-19,7.95,8.22,7.925,8.15,8.15,2531893
2026-05-20,8.13,8.27,8.12,8.19,8.19,2443971
2026-05-21,8.06,8.22,8.02,8.2,8.2,3095909
2026-05-22,8.21,8.21,8.02,8.16,8.16,2796700
2026-05-25,8.21,9.07,8.13,8.87,8.87,9372718
2026-05-26,8.82,8.94,8.38,8.54,8.54,4892678
2026-05-27,8.62,8.84,8.56,8.73,8.73,4663012
2026-05-28,8.78,8.96,8.69,8.72,8.72,5469919
2026-05-29,8.92,8.92,8.6,8.75,8.75,4692477
2026-06-01,8.59,9.09,8.48,9.01,9.01,4081789
2026-06-02,9.24,9.3,8.95,9,9,5438726
2026-06-03,9.08,9.28,9.06,9.25,9.25,3696310
2026-06-04,9.42,9.62,9.35,9.53,9.53,5673943
2026-06-05,9.5,9.5,9.305,9.37,9.37,3520971
2026-06-09,9.38,9.47,9.09,9.18,9.18,6399529
2026-06-10,8.96,9.12,8.78,8.78,8.78,5501785
2026-06-11,8.82,9.02,8.82,8.92,8.92,3519464
2026-06-12,8.85,9.05,8.73,8.88,8.88,3106752
2026-06-15,8.8,8.855,8.3,8.45,8.45,6534343
2026-06-16,8.4,8.63,8.36,8.55,8.55,4842334
2026-06-17,8.4,8.44,8.2,8.36,8.36,3572578
2026-06-18,8.29,8.39,8.08,8.11,8.11,2972301
2026-06-19,8.05,8.21,7.91,8.16,8.16,4134713
2026-06-22,8.18,8.33,8.13,8.27,8.27,1854111
2026-06-23,8.23,8.37,8.175,8.25,8.25,2142465
2026-06-24,8.35,8.35,8.17,8.22,8.22,2764233
2026-06-25,8.1,8.1,7.83,7.98,7.98,6284410
2026-06-26,8.08,8.09,7.94,8.07,8.07,2372006
2026-06-29,8.01,8.05,7.81,7.97,7.97,2949826
2026-06-30,7.93,7.94,7.59,7.63,7.63,5810471
2026-07-01,7.52,7.555,7.31,7.48,7.48,3496802
2026-07-02,7.45,7.59,7.42,7.53,7.53,2650576
2026-07-03,7.6,7.63,7.47,7.59,7.59,1360223
2026-07-06,7.58,7.72,7.46,7.55,7.55,3033293
2026-07-07,7.54,7.54,7.08,7.11,7.11,4585464
2026-07-08,7.27,7.36,7.18,7.26,7.26,4328051
2026-07-09,7.48,7.61,7.4,7.4,7.4,4062349
2026-07-10,7.2,7.46,7.18,7.42,7.42,2131411
