Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.275,1.28,1.265,1.265,1.1802,726017
2025-07-23,1.27,1.275,1.265,1.265,1.1802,710359
2025-07-24,1.27,1.28,1.265,1.27,1.1848,917929
2025-07-25,1.27,1.285,1.27,1.285,1.1988,563119
2025-07-28,1.285,1.29,1.275,1.28,1.1942,944406
2025-07-29,1.285,1.3,1.285,1.3,1.2128,601056
2025-07-30,1.295,1.31,1.29,1.31,1.2222,1148737
2025-07-31,1.3,1.315,1.3,1.305,1.2175,1214113
2025-08-01,1.31,1.31,1.295,1.3,1.2128,1223332
2025-08-04,1.3,1.315,1.2975,1.31,1.2222,1029069
2025-08-05,1.31,1.31,1.3,1.305,1.2175,1039259
2025-08-06,1.305,1.325,1.3,1.325,1.2361,995889
2025-08-07,1.32,1.34,1.31,1.34,1.2501,1009958
2025-08-08,1.34,1.345,1.315,1.315,1.2268,1217107
2025-08-11,1.315,1.335,1.315,1.32,1.2315,1133675
2025-08-12,1.32,1.335,1.315,1.335,1.2455,753846
2025-08-13,1.335,1.34,1.325,1.325,1.2361,1279829
2025-08-14,1.33,1.34,1.32,1.325,1.2361,948481
2025-08-15,1.325,1.345,1.325,1.345,1.2548,1782799
2025-08-18,1.345,1.35,1.34,1.345,1.2548,1083855
2025-08-19,1.345,1.345,1.31,1.31,1.2222,1720943
2025-08-20,1.32,1.33,1.3,1.33,1.2408,1137266
2025-08-21,1.33,1.35,1.32,1.35,1.2595,985397
2025-08-22,1.345,1.35,1.325,1.325,1.2361,1375317
2025-08-25,1.33,1.35,1.33,1.35,1.2595,1371499
2025-08-26,1.345,1.36,1.34,1.35,1.2595,1434494
2025-08-27,1.345,1.345,1.33,1.33,1.2408,792260
2025-08-28,1.335,1.34,1.32,1.33,1.2408,1001054
2025-08-29,1.33,1.34,1.33,1.335,1.2455,802843
2025-09-01,1.33,1.34,1.32,1.33,1.2408,808680
2025-09-02,1.325,1.345,1.325,1.335,1.2455,631143
2025-09-03,1.34,1.34,1.31,1.315,1.2268,1529689
2025-09-04,1.32,1.345,1.32,1.345,1.2548,1269590
2025-09-05,1.35,1.36,1.34,1.36,1.2688,1216324
2025-09-08,1.35,1.36,1.345,1.36,1.2688,859004
2025-09-09,1.36,1.36,1.345,1.36,1.2688,944871
2025-09-10,1.36,1.365,1.345,1.355,1.2641,1131131
2025-09-11,1.35,1.355,1.34,1.355,1.2641,926169
2025-09-12,1.35,1.365,1.345,1.345,1.2548,1311246
2025-09-15,1.355,1.365,1.35,1.35,1.2595,675246
2025-09-16,1.35,1.365,1.35,1.355,1.2641,1174904
2025-09-17,1.36,1.37,1.355,1.36,1.2688,499670
2025-09-18,1.36,1.375,1.36,1.36,1.2688,680959
2025-09-19,1.365,1.365,1.345,1.345,1.2548,1109498
2025-09-22,1.35,1.375,1.35,1.36,1.2688,1135801
2025-09-23,1.365,1.38,1.365,1.38,1.2875,1053926
2025-09-24,1.37,1.38,1.3625,1.37,1.2781,1470089
2025-09-25,1.37,1.375,1.36,1.365,1.2735,769724
2025-09-26,1.37,1.375,1.36,1.375,1.2828,657728
2025-09-29,1.37,1.375,1.36,1.37,1.2781,1061037
2025-09-30,1.37,1.38,1.3675,1.38,1.2875,842308
2025-10-01,1.38,1.39,1.375,1.385,1.2921,913416
2025-10-02,1.38,1.385,1.375,1.375,1.2828,783146
2025-10-03,1.38,1.385,1.37,1.37,1.2781,998859
2025-10-06,1.37,1.375,1.365,1.365,1.2735,1312203
2025-10-07,1.365,1.38,1.36,1.365,1.2735,908474
2025-10-08,1.37,1.38,1.365,1.38,1.2875,938413
2025-10-09,1.375,1.385,1.365,1.365,1.2735,1075142
2025-10-10,1.375,1.385,1.37,1.375,1.2828,1425301
2025-10-13,1.365,1.385,1.365,1.38,1.2875,1376509
2025-10-14,1.38,1.38,1.365,1.37,1.2781,1258122
2025-10-15,1.37,1.38,1.365,1.365,1.2735,1530528
2025-10-16,1.37,1.38,1.36,1.37,1.2781,1338225
2025-10-17,1.37,1.37,1.365,1.365,1.2735,1087334
2025-10-20,1.37,1.375,1.365,1.375,1.2828,2050796
2025-10-21,1.375,1.4,1.375,1.39,1.2968,1857874
2025-10-22,1.39,1.405,1.39,1.395,1.3015,1243077
2025-10-23,1.395,1.405,1.39,1.4,1.3061,2015814
2025-10-24,1.4,1.405,1.385,1.405,1.3108,955626
2025-10-27,1.41,1.415,1.4,1.4,1.3061,1409313
2025-10-28,1.405,1.425,1.395,1.395,1.3015,2573050
2025-10-29,1.395,1.41,1.38,1.385,1.2921,1475562
2025-10-30,1.39,1.395,1.375,1.375,1.2828,1669712
2025-10-31,1.38,1.4,1.375,1.4,1.3061,1788390
2025-11-03,1.4,1.41,1.385,1.385,1.2921,2144063
2025-11-04,1.32,1.32,1.295,1.295,1.2506,2126548
2025-11-05,1.3,1.32,1.3,1.315,1.2699,1690690
2025-11-06,1.315,1.32,1.3,1.305,1.2603,849052
2025-11-07,1.31,1.31,1.29,1.29,1.2458,1589038
2025-11-10,1.3,1.31,1.295,1.3,1.2554,998167
2025-11-11,1.31,1.32,1.3,1.31,1.2651,1068054
2025-11-12,1.315,1.32,1.305,1.305,1.2603,929254
2025-11-13,1.305,1.315,1.3,1.3,1.2554,880210
2025-11-14,1.3,1.315,1.295,1.31,1.2651,1193724
2025-11-17,1.315,1.33,1.305,1.33,1.2844,769575
2025-11-18,1.315,1.325,1.3,1.3,1.2554,1028575
2025-11-19,1.31,1.31,1.295,1.295,1.2506,1036787
2025-11-20,1.3,1.31,1.3,1.3,1.2554,817822
2025-11-21,1.295,1.315,1.295,1.295,1.2506,894181
2025-11-24,1.305,1.305,1.29,1.29,1.2458,1433215
2025-11-25,1.295,1.3,1.275,1.285,1.2409,1422220
2025-11-26,1.29,1.29,1.275,1.28,1.2361,1192270
2025-11-27,1.29,1.3,1.27,1.275,1.2313,2196326
2025-11-28,1.285,1.295,1.28,1.28,1.2361,827508
2025-12-01,1.285,1.295,1.285,1.29,1.2458,599533
2025-12-02,1.285,1.3,1.285,1.295,1.2506,815641
2025-12-03,1.295,1.305,1.275,1.275,1.2313,1580702
2025-12-04,1.28,1.305,1.28,1.305,1.2603,831043
2025-12-05,1.305,1.305,1.29,1.305,1.2603,744360
2025-12-08,1.3,1.31,1.295,1.3,1.2554,419082
2025-12-09,1.3,1.305,1.29,1.295,1.2506,1309756
2025-12-10,1.295,1.3,1.29,1.29,1.2458,621095
2025-12-11,1.3,1.3,1.28,1.28,1.2361,937025
2025-12-12,1.29,1.295,1.28,1.285,1.2409,1431022
2025-12-15,1.285,1.295,1.28,1.28,1.2361,885902
2025-12-16,1.29,1.295,1.28,1.285,1.2409,929717
2025-12-17,1.29,1.3,1.28,1.285,1.2409,1106614
2025-12-18,1.295,1.3,1.2875,1.3,1.2554,451353
2025-12-19,1.3,1.305,1.2875,1.3,1.2554,757208
2025-12-22,1.305,1.31,1.29,1.295,1.2506,969802
2025-12-23,1.3,1.305,1.295,1.295,1.2506,741461
2025-12-24,1.3,1.31,1.3,1.305,1.2603,293564
2025-12-29,1.305,1.31,1.295,1.305,1.2603,929393
2025-12-30,1.31,1.32,1.305,1.315,1.2699,483451
2025-12-31,1.31,1.315,1.31,1.315,1.2699,137114
2026-01-02,1.315,1.32,1.31,1.32,1.2747,347282
2026-01-05,1.315,1.32,1.31,1.32,1.2747,631447
2026-01-06,1.315,1.335,1.315,1.32,1.2747,997110
2026-01-07,1.33,1.35,1.33,1.34,1.2941,618165
2026-01-08,1.34,1.365,1.34,1.345,1.2989,702344
2026-01-09,1.37,1.38,1.34,1.34,1.2941,801683
2026-01-12,1.36,1.36,1.345,1.35,1.3037,604814
2026-01-13,1.35,1.355,1.345,1.35,1.3037,909509
2026-01-14,1.355,1.375,1.35,1.36,1.3134,688867
2026-01-15,1.36,1.375,1.36,1.37,1.323,547016
2026-01-16,1.38,1.38,1.365,1.37,1.323,980286
2026-01-19,1.37,1.38,1.365,1.365,1.3182,684810
2026-01-20,1.37,1.375,1.36,1.375,1.3279,964658
2026-01-21,1.37,1.375,1.355,1.375,1.3279,911168
2026-01-22,1.37,1.375,1.36,1.36,1.3134,734495
2026-01-23,1.37,1.37,1.36,1.37,1.323,794310
2026-01-27,1.37,1.375,1.365,1.37,1.323,746093
2026-01-28,1.37,1.375,1.365,1.37,1.323,616542
2026-01-29,1.375,1.38,1.37,1.375,1.3279,789916
2026-01-30,1.37,1.38,1.365,1.375,1.3279,750498
2026-02-02,1.375,1.375,1.36,1.36,1.3134,1310606
2026-02-03,1.365,1.375,1.36,1.36,1.3134,947186
2026-02-04,1.36,1.37,1.355,1.365,1.3182,663767
2026-02-05,1.37,1.375,1.36,1.375,1.3279,912680
2026-02-06,1.37,1.37,1.335,1.35,1.3037,1441129
2026-02-09,1.355,1.38,1.355,1.38,1.3327,1437452
2026-02-10,1.38,1.385,1.365,1.375,1.3279,1175462
2026-02-11,1.375,1.375,1.36,1.36,1.3134,781671
2026-02-12,1.37,1.38,1.365,1.365,1.3182,1103835
2026-02-13,1.38,1.39,1.375,1.375,1.3279,2123392
2026-02-16,1.38,1.39,1.37,1.38,1.3327,990506
2026-02-17,1.39,1.405,1.39,1.4,1.352,1175593
2026-02-18,1.395,1.395,1.385,1.39,1.3423,974233
2026-02-19,1.395,1.4,1.385,1.39,1.3423,1011904
2026-02-20,1.38,1.4,1.38,1.38,1.3327,1076339
2026-02-23,1.385,1.4,1.38,1.39,1.3423,922857
2026-02-24,1.39,1.4,1.39,1.39,1.3423,837525
2026-02-25,1.395,1.405,1.3925,1.4,1.352,910071
2026-02-26,1.405,1.445,1.405,1.425,1.3761,2357039
2026-02-27,1.43,1.445,1.41,1.43,1.381,1969941
2026-03-02,1.41,1.425,1.4,1.42,1.3713,1285264
2026-03-03,1.41,1.415,1.395,1.395,1.3472,1805959
2026-03-04,1.4,1.405,1.38,1.38,1.3327,1664143
2026-03-05,1.4,1.41,1.39,1.41,1.3617,1358960
2026-03-06,1.395,1.4,1.385,1.4,1.352,1007813
2026-03-09,1.38,1.38,1.36,1.375,1.3279,1431379
2026-03-10,1.39,1.4,1.39,1.39,1.3423,707102
2026-03-11,1.395,1.42,1.395,1.41,1.3617,1183293
2026-03-12,1.41,1.42,1.38,1.39,1.3423,1435730
2026-03-13,1.395,1.405,1.37,1.37,1.323,1138102
2026-03-16,1.375,1.38,1.36,1.36,1.3134,968801
2026-03-17,1.37,1.4,1.365,1.395,1.3472,882294
2026-03-18,1.395,1.405,1.38,1.38,1.3327,2275966
2026-03-19,1.375,1.385,1.3675,1.38,1.3327,1921856
2026-03-20,1.38,1.38,1.36,1.375,1.3279,1816907
2026-03-23,1.365,1.365,1.34,1.34,1.2941,2565856
2026-03-24,1.34,1.355,1.325,1.345,1.2989,1222293
2026-03-25,1.355,1.37,1.345,1.37,1.323,1187789
2026-03-26,1.37,1.39,1.36,1.365,1.3182,1377262
2026-03-27,1.36,1.37,1.355,1.365,1.3182,723627
2026-03-30,1.355,1.37,1.345,1.35,1.3037,1150872
2026-03-31,1.355,1.365,1.345,1.355,1.3085,1543502
2026-04-01,1.365,1.38,1.365,1.365,1.3182,1613477
2026-04-02,1.38,1.385,1.37,1.37,1.323,1130762
2026-04-07,1.375,1.4,1.375,1.39,1.3423,1733161
2026-04-08,1.39,1.42,1.39,1.41,1.3617,2482379
2026-04-09,1.42,1.42,1.4,1.41,1.3617,1106677
2026-04-10,1.41,1.41,1.395,1.405,1.3568,1328840
2026-04-13,1.41,1.415,1.39,1.4,1.352,1470581
2026-04-14,1.41,1.41,1.395,1.4,1.352,2053954
2026-04-15,1.345,1.345,1.31,1.33,1.33,2070020
2026-04-16,1.33,1.345,1.325,1.335,1.335,1397663
2026-04-17,1.345,1.345,1.3225,1.33,1.33,732614
2026-04-20,1.34,1.345,1.32,1.32,1.32,656402
