Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,31.23,31.35,31.02,31.13,30.2691,1283817
2025-07-23,31.15,31.36,31.05,31.25,30.3857,1646981
2025-07-24,31.26,31.32,30.8,30.8,29.9482,2474147
2025-07-25,30.77,30.93,30.62,30.65,29.8023,1570043
2025-07-28,30.7,30.92,30.62,30.89,30.0357,1328442
2025-07-29,30.63,31,30.63,30.95,30.094,1338690
2025-07-30,30.94,31.54,30.87,31.44,30.5705,2686047
2025-07-31,31.4,31.52,31.19,31.51,30.6385,2185683
2025-08-01,31.5,31.5,31.16,31.26,30.3955,2238448
2025-08-04,31.2,31.96,31.2,31.68,30.8038,1630479
2025-08-05,31.68,31.91,31.68,31.78,30.9011,1603719
2025-08-06,31.7,31.77,31.54,31.75,30.8719,1333973
2025-08-07,31.89,31.98,31.77,31.83,30.9497,1576060
2025-08-08,31.75,31.88,31.51,31.51,30.6385,1946619
2025-08-11,31.59,31.98,31.4,31.98,31.0955,1457189
2025-08-12,31.96,32.3,31.77,32.13,31.2414,2524400
2025-08-13,32.17,32.29,32.08,32.28,31.3873,1262111
2025-08-14,32.39,32.76,32.24,32.48,31.5817,5017514
2025-08-15,32.4,32.455,32.24,32.35,31.4553,1483991
2025-08-18,32.2,32.55,32.14,32.42,31.5234,1689192
2025-08-19,32.55,32.63,32.155,32.32,31.4261,1099223
2025-08-20,32.57,32.84,32.38,32.74,31.8345,2310252
2025-08-21,33.07,33.76,32.965,33.61,32.6805,3183373
2025-08-22,33.44,33.48,32.99,33.12,32.204,3236537
2025-08-25,33.17,33.25,32.35,32.61,31.7081,2742049
2025-08-26,32.72,33.6,32.66,33.42,32.4957,4369585
2025-08-27,30,30.27,28.08,28.51,27.7215,15711380
2025-08-28,28.5,28.7,28.05,28.34,27.5562,8830171
2025-08-29,28.51,28.94,28.47,28.8,28.0035,7317108
2025-09-01,28.8,28.97,28.59,28.75,27.9549,3862126
2025-09-02,28.15,28.27,27.73,27.85,27.5104,6333704
2025-09-03,27.76,27.8,27.08,27.15,26.8189,6450538
2025-09-04,27.18,27.81,27.18,27.67,27.3326,5525414
2025-09-05,27.99,28.08,27.52,27.59,27.2535,3132349
2025-09-08,27.62,27.82,27.42,27.74,27.4017,2951682
2025-09-09,27.81,27.88,27.5,27.62,27.2832,3006576
2025-09-10,27.64,27.93,27.51,27.93,27.5894,4974905
2025-09-11,27.92,28.06,27.77,27.9,27.5598,3055181
2025-09-12,27.95,28.04,27.77,27.97,27.6289,2150976
2025-09-15,27.95,28.105,27.78,28.07,27.7277,3202343
2025-09-16,27.94,28,27.76,27.84,27.5005,2364060
2025-09-17,27.7,27.92,27.505,27.66,27.3227,2440858
2025-09-18,27.86,27.86,27.46,27.49,27.1548,3497237
2025-09-19,27.58,27.65,27.32,27.38,27.0461,7138198
2025-09-22,27.4,27.43,27.23,27.29,26.9572,1690306
2025-09-23,27.3,27.3,27.01,27.15,26.8189,2611439
2025-09-24,27.15,27.15,26.95,26.98,26.651,3088688
2025-09-25,26.98,27.03,26.61,26.8,26.4732,3438667
2025-09-26,26.8,26.9,26.76,26.79,26.4633,2056299
2025-09-29,26.85,26.965,26.78,26.9,26.572,2097843
2025-09-30,26.89,27.07,26.7,26.7,26.3744,2323275
2025-10-01,26.66,26.69,26.43,26.47,26.1472,3247988
2025-10-02,26.45,26.79,26.35,26.57,26.246,3481673
2025-10-03,26.67,26.78,26.55,26.55,26.2262,3373797
2025-10-06,26.6,26.67,26.25,26.39,26.0682,2625852
2025-10-07,26.26,26.295,26.05,26.21,25.8904,3910444
2025-10-08,26.21,26.26,25.95,26.02,25.7027,4241622
2025-10-09,25.97,26.21,25.97,26.18,25.8607,2710276
2025-10-10,26.08,26.19,25.955,26.09,25.7718,4437508
2025-10-13,26.1,26.31,25.98,25.99,25.673,2138601
2025-10-14,25.96,25.96,25.51,25.91,25.594,4182737
2025-10-15,26.1,26.18,25.84,26.02,25.7027,2394580
2025-10-16,26.02,26.51,25.89,26.51,26.1867,4292249
2025-10-17,26.41,26.84,26.38,26.72,26.3941,7637216
2025-10-20,26.9,26.92,26.65,26.79,26.4633,2711513
2025-10-21,26.8,26.875,26.63,26.8,26.4732,2889299
2025-10-22,26.89,26.89,26.64,26.75,26.4238,2068511
2025-10-23,26.75,26.86,26.64,26.82,26.4929,2568991
2025-10-24,26.8,26.85,26.6,26.72,26.3941,2610195
2025-10-27,26.8,26.91,26.72,26.82,26.4929,1807271
2025-10-28,26.85,26.98,26.8,26.96,26.6312,3116536
2025-10-29,26.8,27.61,26.36,27.61,27.2733,7668843
2025-10-30,27.92,28.59,27.85,28.53,28.1821,8239312
2025-10-31,28.37,28.53,28.14,28.41,28.0635,4903834
2025-11-03,28.39,28.4,28.12,28.22,27.8759,2221374
2025-11-04,28.21,28.27,27.98,28.07,27.7277,2218712
2025-11-05,28.12,28.33,28.06,28.12,27.7771,2245176
2025-11-06,28.12,28.49,28.12,28.18,27.8363,2348605
2025-11-07,28.18,28.39,28.16,28.3,27.9549,1825085
2025-11-10,28.25,28.26,27.9,28.04,27.698,2112320
2025-11-11,28.18,28.37,28.05,28.26,27.9154,1902593
2025-11-12,28.3,28.64,28.22,28.64,28.2907,2198159
2025-11-13,28.6,28.6,28.025,28.18,27.8363,1782701
2025-11-14,28.08,28.32,28.01,28.24,27.8956,1426317
2025-11-17,28.24,28.31,28.01,28.15,27.8067,1782994
2025-11-18,28,28.15,27.8,27.98,27.6388,2495678
2025-11-19,27.98,28.13,27.825,27.87,27.5301,2823138
2025-11-20,27.8,28.2,27.79,28.09,27.7474,1968053
2025-11-21,28,28.1,27.85,28.08,27.7376,4114680
2025-11-24,28.06,28.35,28.04,28.09,27.7474,4291888
2025-11-25,27.97,28.06,27.78,27.95,27.6091,1358166
2025-11-26,28.38,28.53,28.24,28.39,28.0438,4091802
2025-11-27,28.33,28.5,28.31,28.4,28.0537,1717837
2025-11-28,28.64,29.44,28.64,29.32,28.9624,5336888
2025-12-01,29.05,29.33,29.05,29.26,28.9032,2708463
2025-12-02,29.5,29.52,29.19,29.39,29.0316,2136275
2025-12-03,29.4,29.49,29.25,29.42,29.0612,1865989
2025-12-04,29.41,29.45,29.07,29.39,29.0316,2266463
2025-12-05,29.25,29.42,29.14,29.37,29.0118,1999332
2025-12-08,29.31,29.39,29.18,29.28,28.9229,1271979
2025-12-09,29.26,29.4,29.14,29.32,28.9624,1688369
2025-12-10,29.3,29.64,29.13,29.52,29.16,2991300
2025-12-11,29.64,29.74,29.34,29.39,29.0316,2573709
2025-12-12,29.5,29.58,29.29,29.56,29.1995,1885467
2025-12-15,29.13,29.47,28.83,29.43,29.0711,2658627
2025-12-16,29.5,29.585,29.37,29.37,29.0118,1976299
2025-12-17,29.25,29.365,29.125,29.19,28.834,2132033
2025-12-18,29.22,29.62,29.1,29.48,29.1205,3444654
2025-12-19,29.6,29.65,29.3,29.32,28.9624,5398713
2025-12-22,29.26,29.415,29.15,29.38,29.0217,1251659
2025-12-23,29.3,29.47,29.16,29.38,29.0217,986178
2025-12-24,29.28,29.36,29.22,29.3,28.9427,820516
2025-12-29,29.28,29.39,29.2,29.23,28.8735,761729
2025-12-30,29.35,29.485,29.26,29.37,29.0118,974842
2025-12-31,29.48,29.48,29.23,29.38,29.0217,986713
2026-01-02,29.36,29.43,29.27,29.43,29.0711,776525
2026-01-05,29.3,29.39,29.19,29.3,28.9427,1765244
2026-01-06,29.15,29.195,28.77,28.84,28.4883,3297204
2026-01-07,28.77,29.42,28.72,29.33,28.9723,1980052
2026-01-08,29.42,29.55,29.24,29.55,29.1896,1822659
2026-01-09,29.74,30.15,29.69,30.08,29.7132,3015048
2026-01-12,30.05,30.45,30.01,30.31,29.9404,2521932
2026-01-13,30.3,30.42,29.99,30.16,29.7922,2698587
2026-01-14,30.4,30.45,30.08,30.12,29.7527,2704379
2026-01-15,30.19,30.38,29.97,30.2,29.8317,2613075
2026-01-16,30.2,30.41,30.09,30.35,29.9799,4324205
2026-01-19,30.33,30.53,30.3,30.46,30.0885,1363471
2026-01-20,30.5,31,30.37,30.57,30.1972,2885277
2026-01-21,30.5,30.78,30.4,30.48,30.1083,1586913
2026-01-22,30.3,30.76,30.3,30.76,30.3849,2039795
2026-01-23,30.77,30.84,30.25,30.38,30.0095,2391124
2026-01-27,30.53,30.78,30.34,30.64,30.2663,2178105
2026-01-28,30.7,30.76,30.13,30.41,30.0391,2297931
2026-01-29,30.35,30.84,29.88,30.59,30.217,2592074
2026-01-30,30.77,30.94,30.69,30.94,30.5627,3081640
2026-02-02,30.91,30.91,30.79,30.91,30.533,3049991
2026-02-03,31.06,31.17,30.86,31.01,30.6318,2778142
2026-02-04,30.76,31.29,30.75,31.2,30.8195,2483177
2026-02-05,31.32,31.62,31.21,31.61,31.2245,3217491
