Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.47,2.48,2.45,2.45,2.2918,1398554
2025-07-23,2.46,2.48,2.45,2.47,2.3105,1256470
2025-07-24,2.48,2.49,2.45,2.47,2.3105,1463086
2025-07-25,2.49,2.49,2.46,2.46,2.3011,1914015
2025-07-28,2.48,2.5,2.47,2.49,2.3292,1154888
2025-07-29,2.5,2.5,2.46,2.46,2.3011,1388400
2025-07-30,2.46,2.525,2.45,2.51,2.3479,1372052
2025-07-31,2.5,2.525,2.5,2.52,2.3572,1912457
2025-08-01,2.51,2.51,2.49,2.5,2.3385,1856678
2025-08-04,2.49,2.5,2.48,2.49,2.3292,819141
2025-08-05,2.49,2.535,2.49,2.53,2.3666,997350
2025-08-06,2.53,2.56,2.53,2.54,2.376,1372926
2025-08-07,2.56,2.57,2.555,2.57,2.404,883511
2025-08-08,2.56,2.56,2.53,2.55,2.3853,1034492
2025-08-11,2.55,2.56,2.53,2.55,2.3853,873435
2025-08-12,2.57,2.58,2.55,2.57,2.404,1095301
2025-08-13,2.58,2.585,2.55,2.57,2.404,653842
2025-08-14,2.58,2.6,2.575,2.58,2.4134,691289
2025-08-15,2.57,2.595,2.57,2.59,2.4227,674531
2025-08-18,2.59,2.6,2.56,2.58,2.4134,885524
2025-08-19,2.59,2.6,2.575,2.59,2.4227,1126358
2025-08-20,2.63,2.64,2.6,2.62,2.4508,1307635
2025-08-21,2.63,2.64,2.61,2.63,2.4601,1126937
2025-08-22,2.61,2.64,2.6,2.63,2.4601,513098
2025-08-25,2.64,2.65,2.63,2.64,2.4695,937068
2025-08-26,2.64,2.645,2.625,2.64,2.4695,1491516
2025-08-27,2.64,2.645,2.6,2.63,2.4601,1017937
2025-08-28,2.63,2.64,2.59,2.64,2.4695,1009962
2025-08-29,2.65,2.66,2.63,2.65,2.4789,1404932
2025-09-01,2.66,2.74,2.655,2.72,2.5443,1368941
2025-09-02,2.72,2.74,2.69,2.73,2.5537,1344285
2025-09-03,2.71,2.74,2.67,2.71,2.535,1841460
2025-09-04,2.71,2.72,2.685,2.72,2.5443,1169517
2025-09-05,2.72,2.73,2.69,2.71,2.535,854805
2025-09-08,2.7,2.74,2.7,2.73,2.5537,1353374
2025-09-09,2.72,2.74,2.7,2.74,2.563,1343946
2025-09-10,2.74,2.76,2.72,2.75,2.5724,1821521
2025-09-11,2.75,2.81,2.74,2.78,2.6005,2184013
2025-09-12,2.77,2.8,2.765,2.79,2.6098,1294968
2025-09-15,2.78,2.795,2.765,2.78,2.6005,814228
2025-09-16,2.79,2.81,2.75,2.79,2.6098,2502483
2025-09-17,2.8,2.82,2.76,2.76,2.5817,1948597
2025-09-18,2.76,2.79,2.745,2.78,2.6005,1801833
2025-09-19,2.75,2.79,2.74,2.74,2.563,11368157
2025-09-22,2.74,2.79,2.72,2.76,2.5817,1391033
2025-09-23,2.74,2.775,2.74,2.77,2.5911,1692037
2025-09-24,2.75,2.77,2.75,2.75,2.5724,893179
2025-09-25,2.74,2.77,2.74,2.75,2.5724,1687236
2025-09-26,2.75,2.76,2.74,2.75,2.5724,1110225
2025-09-29,2.71,2.735,2.67,2.71,2.5743,1120228
2025-09-30,2.71,2.74,2.7,2.7,2.5648,1560999
2025-10-01,2.71,2.72,2.67,2.69,2.5553,1609297
2025-10-02,2.7,2.72,2.67,2.7,2.5648,3420139
2025-10-03,2.69,2.71,2.645,2.67,2.5363,2175869
2025-10-06,2.67,2.68,2.65,2.65,2.5173,1517340
2025-10-07,2.65,2.66,2.625,2.66,2.5268,4590922
2025-10-08,2.65,2.66,2.63,2.64,2.5078,1285929
2025-10-09,2.64,2.65,2.61,2.62,2.4888,1654481
2025-10-10,2.61,2.64,2.6,2.63,2.4983,835413
2025-10-13,2.63,2.64,2.59,2.63,2.4983,1300388
2025-10-14,2.61,2.64,2.585,2.64,2.5078,3444896
2025-10-15,2.65,2.65,2.59,2.64,2.5078,3277406
2025-10-16,2.65,2.66,2.62,2.66,2.5268,3317602
2025-10-17,2.66,2.68,2.645,2.67,2.5363,1682388
2025-10-20,2.67,2.69,2.66,2.68,2.5458,2611812
2025-10-21,2.7,2.71,2.67,2.67,2.5363,2744335
2025-10-22,2.68,2.69,2.655,2.68,2.5458,2650306
2025-10-23,2.69,2.74,2.685,2.72,2.5838,1402334
2025-10-24,2.7,2.73,2.7,2.73,2.5933,903188
2025-10-27,2.73,2.73,2.71,2.72,2.5838,1300410
2025-10-28,2.73,2.73,2.7,2.73,2.5933,1273430
2025-10-29,2.72,2.725,2.69,2.7,2.5648,1469688
2025-10-30,2.68,2.7,2.615,2.63,2.4983,2196384
2025-10-31,2.63,2.67,2.63,2.65,2.5173,1593123
2025-11-03,2.64,2.64,2.61,2.64,2.5078,2543237
2025-11-04,2.63,2.66,2.62,2.65,2.5173,1311495
2025-11-05,2.65,2.66,2.63,2.66,2.5268,970954
2025-11-06,2.67,2.67,2.63,2.66,2.5268,1305812
2025-11-07,2.68,2.68,2.65,2.68,2.5458,938179
2025-11-10,2.665,2.69,2.65,2.67,2.5363,1618311
2025-11-11,2.68,2.7,2.67,2.69,2.5553,1273840
2025-11-12,2.7,2.72,2.675,2.71,2.5743,1220650
2025-11-13,2.7,2.72,2.62,2.62,2.4888,1837013
2025-11-14,2.61,2.62,2.59,2.62,2.4888,1906495
2025-11-17,2.6,2.65,2.6,2.65,2.5173,1221466
2025-11-18,2.63,2.65,2.62,2.63,2.4983,706944
2025-11-19,2.62,2.65,2.62,2.62,2.4888,1213049
2025-11-20,2.62,2.66,2.62,2.65,2.5173,1955457
2025-11-21,2.64,2.64,2.61,2.61,2.4793,619028
2025-11-24,2.64,2.65,2.61,2.64,2.5078,2658859
2025-11-25,2.64,2.65,2.615,2.63,2.4983,1865759
2025-11-26,2.64,2.69,2.63,2.65,2.5173,2323154
2025-11-27,2.68,2.68,2.65,2.66,2.5268,1053746
2025-11-28,2.65,2.66,2.63,2.65,2.5173,1791431
2025-12-01,2.63,2.67,2.63,2.65,2.5173,867537
2025-12-02,2.64,2.7,2.64,2.69,2.5553,1034501
2025-12-03,2.68,2.73,2.68,2.7,2.5648,1546120
2025-12-04,2.69,2.69,2.62,2.63,2.4983,860708
2025-12-05,2.63,2.63,2.6,2.62,2.4888,1256875
2025-12-08,2.6,2.62,2.58,2.61,2.4793,932898
