Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,180,181.46,178.63,180.85,180.85,271207
2025-07-23,179.96,181.8,177.8,180.17,180.17,408680
2025-07-24,181.13,181.3,176.86,178.05,178.05,405067
2025-07-25,179.69,180.3,177.5,178.09,178.09,225394
2025-07-28,178.85,180.68,177.84,178.82,178.82,362503
2025-07-29,178.45,180.78,177.25,179.72,179.72,309203
2025-07-30,178.22,181.1,178.01,180,180,275217
2025-07-31,179.02,181.88,178.9,180.99,180.99,471854
2025-08-01,179.3,179.85,174.75,174.75,174.75,473758
2025-08-04,174.75,177.02,174.01,175.35,175.35,291297
2025-08-05,177.57,178,176.5,176.5,176.5,274644
2025-08-06,177.75,179.27,176.16,178.5,178.5,343883
2025-08-07,179.33,179.33,177.14,178.4,178.4,279257
2025-08-08,175.65,179.685,175.56,178.83,178.83,313403
2025-08-11,177.51,177.99,175.39,176.54,176.54,226844
2025-08-12,175.95,177,171.86,172.7,172.7,497135
2025-08-13,172.7,173.31,168.06,168.78,168.78,581608
2025-08-14,168.04,169.1,165.7,165.99,165.99,687598
2025-08-15,166,167.835,165.58,166.81,166.81,553379
2025-08-18,167,168.64,165.29,168.64,168.64,537760
2025-08-19,169.4,172.96,168.74,171.5,171.5,522620
2025-08-20,173.12,173.15,169.83,170.3,170.3,317658
2025-08-21,173.44,173.44,169,169,169,448902
2025-08-22,167.77,169.19,167,167.98,167.98,514353
2025-08-25,169,169.25,164.6,165.86,165.86,578471
2025-08-26,165,166.54,163.38,164.05,164.05,1492021
2025-08-27,165,165,162.47,163.11,163.11,293400
2025-08-28,165.23,165.86,161.84,162.05,162.05,409545
2025-08-29,163,164.99,161.86,163.59,163.59,802593
2025-09-01,161.1,161.42,156.82,156.96,156.96,411263
2025-09-02,157.31,159.65,156.9,159.65,159.65,498028
2025-09-03,155,156,149.4,149.75,149.75,764601
2025-09-04,154.92,157.36,152.95,157,157,836192
2025-09-05,158.9,159.65,157.805,158.89,158.89,621377
2025-09-08,159,162.15,158.96,160.99,160.99,585774
