Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,16.82,17,16.3,16.57,16.57,23663
2025-07-23,16.55,17.11,16.43,16.7,16.7,15317
2025-07-24,16.69,16.89,16.32,16.65,16.65,4684
2025-07-25,16.49,16.66,16.21,16.52,16.52,13594
2025-07-28,16.52,16.8,16.34,16.5,16.5,6824
2025-07-29,16.2,16.35,15.52,16,16,30442
2025-07-30,16.16,16.44,15.7,15.7,15.7,6287
2025-07-31,15.6,15.68,15.2,15.68,15.68,16685
2025-08-01,15.2,15.51,15,15.51,15.51,8141
2025-08-04,15.74,15.74,15,15.5,15.5,1989
2025-08-05,15.5,15.75,15,15.32,15.32,9992
2025-08-06,15.35,15.36,15,15,15,6159
2025-08-07,15.4,16,15.2,15.82,15.82,16519
2025-08-08,16,16,15.33,15.7,15.7,4115
2025-08-11,15.7,15.7,15.3,15.69,15.69,6279
2025-08-12,15.32,15.5,15.27,15.4,15.4,2088
2025-08-13,15.3,15.85,15.1,15.85,15.85,27423
2025-08-14,15.4,15.82,15.4,15.41,15.41,6669
2025-08-15,15.59,15.59,15.15,15.38,15.38,3730
2025-08-18,15.3,15.3,15.02,15.27,15.27,6711
2025-08-19,15.24,15.55,15.05,15.27,15.27,10800
2025-08-20,15.26,15.27,14.37,15.27,15.27,38234
2025-08-21,15,15.35,14.98,15,15,11000
2025-08-22,15,15.4,14.51,15.4,15.4,19372
2025-08-25,15.56,15.58,15.31,15.39,15.39,8866
2025-08-26,15.2,16.73,15.2,16.48,16.48,49827
2025-08-27,16.48,16.98,16.02,16.5,16.5,17070
2025-08-28,16.51,16.68,16,16.15,16.15,12276
2025-08-29,16.15,16.4,15.6,16,16,7209
2025-09-01,16,16.34,15.8,16,16,5269
2025-09-02,16.26,17.79,16.2,17.3,17.3,98535
2025-09-03,17.3,17.94,16.73,17.2,17.2,53838
2025-09-04,17.47,17.5,16.24,16.44,16.44,21392
2025-09-05,16.44,17.49,16.44,17,17,19034
2025-09-08,17.02,17.02,16,16.22,16.22,18616
2025-09-09,16.99,16.99,16.5,16.85,16.85,10635
2025-09-10,16.5,16.54,15.71,15.81,15.81,20160
